date,score
2019-7-1,41
2019-7-2,76
2019-7-3,69
2019-7-4,107
2019-7-5,62
2019-7-6,24
2019-7-7,35
2019-7-12,62
2019-7-13,89
2019-7-14,46
2019-7-15,91
2019-6-1,72
2019-6-2,94
2019-6-3,75
2019-6-4,87
2019-6-5,73
2019-6-6,74
2019-6-7,88
2019-6-8,70
2019-6-9,40
2019-6-10,68
2019-6-11,79
2019-6-14,47
2019-6-15,59
2019-6-17,73
2019-6-18,104
2019-6-19,105
2019-6-20,102
2019-6-25,118
2019-6-26,107
2019-6-27,105
2019-6-28,72
2019-6-29,52
2019-6-30,36
2019-5-1,42
2019-5-2,59
2019-5-3,82
2019-5-4,90
2019-5-5,56
2019-5-6,43
2019-5-7,52
2019-5-8,68
2019-5-9,66
2019-5-10,94
2019-5-11,117
2019-5-12,166
2019-5-13,58
2019-5-14,85
2019-5-15,133
2019-5-16,111
2019-5-17,124
2019-5-18,56
2019-5-19,64
2019-5-20,48
2019-5-21,44
2019-5-22,58
2019-5-23,105
2019-5-24,99
2019-5-25,115
2019-5-26,65
2019-5-27,44
2019-5-28,46
2019-5-29,74
2019-5-30,60
2019-5-31,37
2019-4-1,39
2019-4-2,57
2019-4-3,80
2019-4-4,106
2019-4-5,210
2019-4-6,137
2019-4-7,76
2019-4-8,62
2019-4-9,38
2019-4-10,44
2019-4-11,64
2019-4-12,82
2019-4-13,118
2019-4-14,56
2019-4-15,76
2019-4-16,98
2019-4-17,141
2019-4-18,124
2019-4-19,62
2019-4-20,56
2019-4-21,112
2019-4-22,127
2019-4-23,127
2019-4-24,66
2019-4-25,38
2019-4-26,44
2019-4-27,56
2019-4-28,64
2019-4-29,135
2019-4-30,94
2019-3-1,150
2019-3-2,235
2019-3-3,212
2019-3-4,141
2019-3-5,126
2019-3-6,37
2019-3-7,37
2019-3-8,81
2019-3-9,111
2019-3-10,144
2019-3-11,51
2019-3-12,36
2019-3-13,34
2019-3-14,39
2019-3-15,50
2019-3-16,56
2019-3-17,75
2019-3-18,130
2019-3-19,168
2019-3-20,93
2019-3-21,38
2019-3-22,35
2019-3-23,41
2019-3-24,68
2019-3-25,54
2019-3-26,84
2019-3-27,103
2019-3-28,59
2019-3-29,73
2019-3-30,36
2019-3-31,33
2019-2-1,67
2019-2-2,138
2019-2-3,115
2019-2-4,77
2019-2-5,153
2019-2-6,83
2019-2-7,35
2019-2-8,43
2019-2-9,31
2019-2-10,39
2019-2-11,55
2019-2-12,49
2019-2-13,39
2019-2-14,70
2019-2-15,35
2019-2-16,32
2019-2-17,33
2019-2-18,42
2019-2-19,115
2019-2-20,58
2019-2-21,120
2019-2-22,131
2019-2-23,168
2019-2-24,110
2019-2-25,70
2019-2-26,71
2019-2-27,118
2019-2-28,106
2019-1-1,53
2019-1-2,65
2019-1-3,163
2019-1-4,49
2019-1-5,31
2019-1-6,85
2019-1-7,57
2019-1-8,31
2019-1-9,59
2019-1-10,104
2019-1-11,136
2019-1-12,241
2019-1-13,159
2019-1-14,154
2019-1-15,54
2019-1-16,60
2019-1-17,66
2019-1-18,86
2019-1-19,34
2019-1-20,34
2019-1-21,53
2019-1-22,60
2019-1-23,47
2019-1-24,80
2019-1-25,35
2019-1-26,35
2019-1-27,90
2019-1-28,52
2019-1-29,135
2019-1-30,74
2019-1-31,33
2018-12-1,165
2018-12-2,233
2018-12-3,193
2018-12-4,61
2018-12-5,75
2018-12-6,37
2018-12-7,36
2018-12-8,38
2018-12-9,62
2018-12-10,78
2018-12-11,53
2018-12-12,54
2018-12-13,41
2018-12-14,71
2018-12-15,118
2018-12-16,101
2018-12-17,53
2018-12-18,52
2018-12-19,60
2018-12-20,81
2018-12-21,89
2018-12-28,41
2018-12-29,28
2018-12-30,31
2018-12-31,56
2018-11-1,70
2018-11-2,151
2018-11-3,210
2018-11-4,107
2018-11-5,29
2018-11-6,33
2018-11-7,52
2018-11-8,91
2018-11-9,63
2018-11-10,37
2018-11-11,70
2018-11-12,126
2018-11-13,222
2018-11-14,274
2018-11-15,92
2018-11-16,33
2018-11-17,67
2018-11-18,67
2018-11-19,77
2018-11-20,71
2018-11-21,44
2018-11-22,56
2018-11-23,92
2018-11-24,118
2018-11-25,117
2018-11-26,252
2018-11-27,192
2018-11-28,115
2018-11-29,104
2018-11-30,120
2018-10-1,31
2018-10-2,32
2018-10-3,37
2018-10-4,67
2018-10-5,105
2018-10-6,33
2018-10-7,35
2018-10-8,39
2018-10-9,23
2018-10-10,25
2018-10-11,32
2018-10-12,63
2018-10-13,107
2018-10-14,179
2018-10-15,200
2018-10-16,82
2018-10-17,54
2018-10-18,49
2018-10-19,60
2018-10-20,86
2018-10-21,144
2018-10-22,168
2018-10-23,38
2018-10-24,70
2018-10-25,112
2018-10-26,45
