date,score
2019-07-01,23
2019-07-02,40
2019-07-03,37
2019-07-04,56
2019-07-05,59
2019-07-06,60
2019-07-07,66
2019-07-12,36
2019-07-13,36
2019-07-14,43
2019-07-15,39
2019-06-01,38
2019-06-02,83
2019-06-03,50
2019-06-04,49
2019-06-05,56
2019-06-06,62
2019-06-07,66
2019-06-08,49
2019-06-09,38
2019-06-10,42
2019-06-11,39
2019-06-14,20
2019-06-15,13
2019-06-17,44
2019-06-18,47
2019-06-19,62
2019-06-20,39
2019-06-25,77
2019-06-26,56
2019-06-27,70
2019-06-28,36
2019-06-29,30
2019-06-30,18
2019-05-01,70
2019-05-02,59
2019-05-03,65
2019-05-04,89
2019-05-05,48
2019-05-06,41
2019-05-07,52
2019-05-08,70
2019-05-09,72
2019-05-10,90
2019-05-11,92
2019-05-12,70
2019-05-13,97
2019-05-14,66
2019-05-15,83
2019-05-16,129
2019-05-17,57
2019-05-18,42
2019-05-19,41
2019-05-20,35
2019-05-21,32
2019-05-22,32
2019-05-23,50
2019-05-24,99
2019-05-25,114
2019-05-26,45
2019-05-27,34
2019-05-28,40
2019-05-29,40
2019-05-30,54
2019-05-31,39
2019-04-01,53
2019-04-02,63
2019-04-03,64
2019-04-04,194
2019-04-05,75
2019-04-06,60
2019-04-07,46
2019-04-08,49
2019-04-09,62
2019-04-10,64
2019-04-11,61
2019-04-12,76
2019-04-13,87
2019-04-14,59
2019-04-15,68
2019-04-16,198
2019-04-17,135
2019-04-18,65
2019-04-19,60
2019-04-20,70
2019-04-21,104
2019-04-22,107
2019-04-23,86
2019-04-24,72
2019-04-25,46
2019-04-26,47
2019-04-27,61
2019-04-28,58
2019-04-29,57
2019-04-30,56
2019-03-01,114
2019-03-02,158
2019-03-03,202
2019-03-04,151
2019-03-05,153
2019-03-06,51
2019-03-07,67
2019-03-08,76
2019-03-09,80
2019-03-10,80
2019-03-11,82
2019-03-12,51
2019-03-13,55
2019-03-14,58
2019-03-15,56
2019-03-16,61
2019-03-17,81
2019-03-18,110
2019-03-19,106
2019-03-20,193
2019-03-21,82
2019-03-22,68
2019-03-23,45
2019-03-24,49
2019-03-25,111
2019-03-26,46
2019-03-27,44
2019-03-28,53
2019-03-29,65
2019-03-30,66
2019-03-31,48
2019-02-01,102
2019-02-02,129
2019-02-03,116
2019-02-04,46
2019-02-05,59
2019-02-06,95
2019-02-07,50
2019-02-08,78
2019-02-09,112
2019-02-10,123
2019-02-11,110
2019-02-12,106
2019-02-13,147
2019-02-14,159
2019-02-15,144
2019-02-16,79
