date,score
2019-07-01,50
2019-07-02,21
2019-07-03,23
2019-07-04,30
2019-07-05,36
2019-07-06,26
2019-07-07,38
2019-07-12,41
2019-07-13,44
2019-07-14,51
2019-07-15,54
2019-06-01,35
2019-06-02,34
2019-06-03,32
2019-06-04,43
2019-06-05,53
2019-06-06,43
2019-06-07,45
2019-06-08,49
2019-06-09,41
2019-06-10,21
2019-06-11,26
2019-06-14,31
2019-06-15,42
2019-06-17,43
2019-06-18,46
2019-06-19,41
2019-06-20,51
2019-06-25,20
2019-06-26,42
2019-06-27,48
2019-06-28,49
2019-06-29,49
2019-06-30,47
2019-05-01,32
2019-05-02,74
2019-05-03,57
2019-05-04,59
2019-05-05,55
2019-05-06,44
2019-05-07,50
2019-05-08,54
2019-05-09,51
2019-05-10,62
2019-05-11,62
2019-05-12,55
2019-05-13,54
2019-05-14,58
2019-05-15,41
2019-05-16,33
2019-05-17,31
2019-05-18,44
2019-05-19,65
2019-05-20,42
2019-05-21,67
2019-05-22,75
2019-05-23,61
2019-05-24,48
2019-05-25,53
2019-05-26,60
2019-05-27,39
2019-05-28,32
2019-05-29,47
2019-05-30,51
2019-05-31,57
2019-04-01,49
2019-04-02,54
2019-04-03,36
2019-04-04,38
2019-04-05,46
2019-04-06,55
2019-04-07,71
2019-04-08,66
2019-04-09,64
2019-04-10,53
2019-04-11,30
2019-04-12,35
2019-04-13,39
2019-04-14,48
2019-04-15,65
2019-04-16,51
2019-04-17,49
2019-04-18,67
2019-04-19,76
2019-04-20,54
2019-04-21,50
2019-04-22,57
2019-04-23,54
2019-04-24,74
2019-04-25,52
2019-04-26,45
2019-04-27,47
2019-04-28,43
2019-04-29,65
2019-04-30,52
2019-03-01,27
2019-03-02,43
2019-03-03,31
2019-03-04,37
2019-03-05,44
2019-03-06,26
2019-03-07,63
2019-03-08,50
2019-03-09,27
2019-03-10,25
2019-03-11,53
2019-03-12,61
2019-03-13,70
2019-03-14,61
2019-03-15,42
2019-03-16,59
2019-03-17,59
2019-03-18,47
2019-03-19,57
2019-03-20,60
2019-03-21,67
2019-03-22,46
2019-03-23,38
2019-03-24,51
2019-03-25,38
2019-03-26,49
2019-03-27,56
2019-03-28,69
2019-03-29,43
2019-03-30,38
2019-03-31,65
2019-02-01,36
2019-02-02,45
2019-02-03,82
2019-02-04,65
2019-02-05,102
2019-02-06,65
2019-02-07,64
2019-02-08,33
2019-02-09,27
2019-02-10,30
2019-02-11,25
2019-02-12,25
2019-02-13,30
2019-02-14,23
2019-02-15,34
2019-02-16,27
2019-02-17,30
2019-02-18,28
2019-02-19,38
2019-02-20,37
2019-02-21,18
2019-02-22,27
2019-02-23,32
2019-02-24,24
2019-02-25,29
2019-02-26,48
2019-02-27,65
2019-02-28,35
2019-01-01,24
2019-01-02,32
2019-01-03,22
2019-01-04,35
2019-01-05,36
2019-01-06,22
2019-01-07,38
2019-01-08,36
2019-01-09,29
2019-01-10,48
2019-01-11,54
2019-01-12,42
2019-01-13,36
2019-01-14,48
2019-01-15,53
2019-01-16,31
2019-01-17,46
2019-01-18,58
2019-01-19,62
2019-01-20,71
2019-01-21,94
2019-01-22,85
2019-01-23,69
2019-01-24,67
2019-01-25,68
2019-01-26,70
2019-01-27,46
2019-01-28,37
2019-01-29,45
2019-01-30,45
2019-01-31,45
2018-12-01,61
2018-12-02,56
2018-12-03,63
2018-12-04,57
2018-12-05,28
2018-12-06,34
2018-12-07,25
2018-12-08,21
2018-12-09,20
2018-12-10,24
2018-12-11,27
2018-12-12,17
2018-12-13,20
2018-12-14,23
2018-12-15,45
2018-12-16,31
2018-12-17,43
2018-12-18,56
2018-12-19,62
2018-12-20,82
2018-12-21,85
2018-12-28,31
2018-12-29,48
2018-12-30,31
2018-12-31,27
2018-11-01,63
2018-11-02,29
2018-11-03,23
2018-11-04,25
2018-11-05,37
2018-11-06,37
2018-11-07,41
2018-11-08,42
2018-11-09,33
2018-11-10,43
2018-11-11,48
2018-11-12,44
2018-11-13,28
2018-11-14,42
2018-11-15,50
2018-11-16,27
2018-11-17,23
2018-11-18,29
2018-11-19,18
2018-11-20,24
2018-11-21,26
2018-11-22,25
2018-11-23,47
2018-11-24,41
2018-11-25,46
2018-11-26,28
2018-11-27,33
2018-11-28,48
2018-11-29,54
2018-11-30,59
2018-10-01,73
2018-10-02,88
2018-10-03,65
2018-10-04,66
2018-10-05,58
2018-10-06,64
2018-10-07,83
2018-10-08,63
2018-10-09,64
2018-10-10,53
2018-10-11,37
2018-10-12,39
2018-10-13,39
2018-10-14,30
2018-10-15,28
2018-10-16,23
2018-10-17,32
2018-10-18,50
2018-10-19,57
2018-10-20,46
2018-10-21,44
2018-10-22,36
2018-10-23,40
2018-10-24,48
2018-10-25,51
2018-10-26,48
2018-10-27,56
2018-10-28,65
2018-10-29,54
2018-10-30,68
2018-10-31,68
2018-09-02,44
2018-09-03,55
2018-09-04,47
2018-09-05,47
2018-09-06,49
2018-09-07,53
2018-09-08,40
2018-09-09,39
2018-09-10,46
2018-09-11,41
2018-09-12,30
2018-09-13,26
2018-09-14,20
2018-09-15,22
2018-09-16,29
2018-09-17,30
2018-09-18,27
2018-09-19,27
2018-09-20,38
2018-09-21,65
2018-09-22,43
2018-09-23,40
2018-09-24,40
2018-09-25,64
2018-09-26,51
2018-09-27,44
2018-09-28,43
2018-09-29,50
2018-09-30,67
2018-08-01,53
2018-08-02,51
2018-08-03,46
2018-08-04,57
2018-08-05,68
2018-08-06,56
2018-08-07,40
2018-08-08,37
2018-08-09,50
2018-08-10,59
2018-08-11,77
2018-08-12,78
2018-08-13,60
2018-08-14,27
2018-08-15,20
2018-08-16,46
2018-08-17,55
2018-08-18,44
2018-08-19,37
2018-08-20,42
2018-08-21,47
2018-08-22,36
2018-08-23,42
2018-08-25,31
2018-08-27,34
2018-08-29,20
2018-08-31,29
2018-07-01,52
2018-07-02,43
2018-07-03,41
2018-07-04,54
2018-07-05,54
2018-07-06,44
2018-07-07,44
2018-07-08,46
2018-07-09,39
2018-07-10,27
2018-07-11,36
2018-07-12,32
2018-07-13,21
2018-07-14,18
2018-07-15,17
2018-07-16,18
2018-07-17,19
2018-07-18,17
2018-07-19,21
2018-07-20,26
2018-07-21,40
2018-07-22,51
2018-07-23,58
2018-07-24,57
2018-07-25,52
2018-07-26,66
2018-07-27,61
2018-07-28,70
2018-07-29,83
2018-07-30,68
2018-07-31,69
2018-06-01,57
2018-06-02,69
2018-06-03,71
2018-06-04,60
2018-06-05,47
2018-06-06,39
2018-06-07,51
2018-06-08,40
2018-06-09,37
2018-06-10,39
2018-06-11,45
2018-06-12,72
2018-06-13,69
2018-06-14,47
2018-06-15,46
2018-06-16,53
2018-06-17,47
2018-06-18,26
2018-06-19,42
2018-06-20,43
2018-06-21,30
2018-06-22,37
2018-06-23,33
2018-06-24,39
2018-06-25,53
2018-06-26,58
2018-06-27,77
2018-06-28,71
2018-06-29,60
2018-06-30,58
2018-05-01,82
2018-05-02,54
2018-05-03,60
2018-05-04,51
2018-05-05,61
2018-05-06,52
2018-05-07,32
2018-05-08,41
2018-05-09,80
2018-05-10,82
2018-05-11,60
2018-05-12,81
2018-05-13,76
2018-05-14,67
2018-05-15,68
2018-05-16,72
2018-05-17,65
2018-05-18,75
2018-05-19,65
2018-05-20,59
2018-05-21,38
2018-05-22,55
2018-05-23,44
2018-05-24,80
2018-05-25,80
2018-05-26,74
2018-05-27,68
2018-05-28,53
2018-05-29,49
2018-05-30,44
2018-05-31,47
2018-04-01,67
2018-04-02,76
2018-04-03,78
2018-04-04,76
2018-04-05,67
2018-04-05,67
2018-04-06,46
2018-04-07,88
2018-04-08,83
2018-04-09,78
2018-04-10,86
2018-04-11,84
2018-04-12,63
2018-04-13,50
2018-04-14,55
2018-04-15,45
2018-04-16,97
2018-04-17,75
2018-04-18,68
2018-04-19,55
2018-04-20,56
2018-04-21,55
2018-04-22,63
2018-04-23,49
2018-04-24,37
2018-04-25,51
2018-04-26,87
2018-04-27,84
2018-04-28,94
2018-04-29,88
2018-04-30,111
2018-03-01,44
2018-03-02,53
2018-03-03,91
2018-03-04,93
2018-03-05,50
2018-03-06,32
2018-03-07,42
2018-03-08,27
2018-03-09,52
2018-03-10,80
2018-03-11,54
2018-03-12,48
2018-03-13,52
2018-03-14,61
2018-03-15,64
2018-03-16,44
2018-03-17,45
2018-03-18,61
2018-03-19,80
2018-03-20,21
2018-03-21,43
2018-03-22,44
2018-03-23,54
2018-03-24,66
2018-03-25,63
2018-03-26,49
2018-03-27,49
2018-03-28,52
2018-03-29,45
2018-03-30,34
2018-03-31,47
2018-02-01,35
2018-02-02,51
2018-02-03,64
2018-02-04,69
2018-02-05,55
2018-02-06,49
2018-02-07,51
2018-02-08,56
2018-02-09,66
2018-02-10,61
2018-02-11,76
2018-02-12,85
2018-02-13,74
2018-02-14,60
2018-02-15,67
2018-02-16,101
2018-02-17,45
2018-02-18,59
2018-02-19,66
2018-02-20,36
2018-02-21,36
2018-02-22,38
2018-02-23,34
2018-02-24,40
2018-02-25,35
2018-02-26,32
2018-02-27,46
2018-02-28,60
2018-01-01,83
2018-01-02,68
2018-01-03,58
2018-01-04,32
2018-01-05,29
2018-01-06,20
2018-01-07,27
2018-01-08,22
2018-01-09,40
2018-01-10,39
2018-01-11,45
2018-01-12,51
2018-01-13,49
2018-01-14,41
2018-01-15,53
2018-01-16,57
2018-01-17,74
2018-01-18,86
2018-01-19,55
2018-01-20,58
2018-01-21,70
2018-01-22,51
2018-01-23,49
2018-01-24,46
2018-01-25,31
2018-01-26,30
2018-01-27,29
2018-01-28,23
2018-01-29,19
2018-01-30,60
2018-01-31,29
2017-12-01,33
2017-12-02,40
2017-12-03,39
2017-12-04,56
2017-12-05,85
2017-12-06,76
2017-12-07,71
2017-12-08,70
2017-12-09,80
2017-12-10,60
2017-12-11,64
2017-12-12,51
2017-12-13,33
2017-12-14,32
2017-12-15,23
2017-12-16,15
2017-12-17,49
2017-12-18,56
2017-12-19,46
2017-12-20,57
2017-12-21,56
2017-12-22,58
2017-12-23,65
2017-12-24,58
2017-12-25,81
2017-12-26,62
2017-12-27,56
2017-12-28,60
