date,score
2019-07-01,48
2019-07-02,34
2019-07-03,23
2019-07-04,26
2019-07-05,35
2019-07-06,38
2019-07-07,34
2019-07-12,34
2019-07-13,40
2019-07-14,39
2019-07-15,46
2019-06-01,37
2019-06-02,25
2019-06-03,37
2019-06-04,40
2019-06-05,31
2019-06-06,27
2019-06-07,29
2019-06-08,26
2019-06-09,27
2019-06-10,29
2019-06-11,27
2019-06-14,38
2019-06-15,53
2019-06-17,43
2019-06-18,19
2019-06-19,28
2019-06-20,27
2019-06-25,47
2019-06-26,33
2019-06-27,44
2019-06-28,47
2019-06-29,48
2019-06-30,52
2019-05-01,29
2019-05-02,28
2019-05-03,36
2019-05-04,59
2019-05-05,23
2019-05-06,18
2019-05-07,21
2019-05-08,22
2019-05-09,23
2019-05-10,46
2019-05-11,98
2019-05-12,78
2019-05-13,57
2019-05-14,53
2019-05-15,38
2019-05-16,45
2019-05-17,45
2019-05-18,48
2019-05-19,47
2019-05-20,38
2019-05-21,54
2019-05-22,61
2019-05-23,38
2019-05-24,46
2019-05-25,36
2019-05-26,27
2019-05-27,29
2019-05-28,31
2019-05-29,25
2019-05-30,34
2019-05-31,43
2019-04-01,31
2019-04-02,52
2019-04-03,59
2019-04-04,45
2019-04-05,52
2019-04-06,65
2019-04-07,50
2019-04-08,43
2019-04-09,36
2019-04-10,49
2019-04-11,40
2019-04-12,24
2019-04-13,37
2019-04-14,47
2019-04-15,26
2019-04-16,32
2019-04-17,55
2019-04-18,41
2019-04-19,32
2019-04-20,31
2019-04-21,42
2019-04-22,33
2019-04-23,42
2019-04-24,40
2019-04-25,46
2019-04-26,48
2019-04-27,32
2019-04-28,42
2019-04-29,45
2019-04-30,35
2019-03-01,59
2019-03-02,48
2019-03-03,32
2019-03-04,41
2019-03-05,33
2019-03-06,20
2019-03-07,19
2019-03-08,21
2019-03-09,21
2019-03-10,24
2019-03-11,50
2019-03-12,82
2019-03-13,75
2019-03-14,45
2019-03-15,47
2019-03-16,69
2019-03-17,66
2019-03-18,85
2019-03-19,66
2019-03-20,52
2019-03-21,44
2019-03-22,51
2019-03-23,30
2019-03-24,25
2019-03-25,35
2019-03-26,71
2019-03-27,55
2019-03-28,57
2019-03-29,51
2019-03-30,51
2019-03-31,51
2019-02-01,32
2019-02-02,45
2019-02-03,47
2019-02-04,50
2019-02-05,52
2019-02-06,47
2019-02-07,32
2019-02-08,32
2019-02-09,34
2019-02-10,26
2019-02-11,15
2019-02-12,33
2019-02-13,55
2019-02-14,44
2019-02-15,44
2019-02-16,40
2019-02-17,50
2019-02-18,29
2019-02-19,34
2019-02-20,43
2019-02-21,32
2019-02-22,23
2019-02-23,20
2019-02-24,17
2019-02-25,31
2019-02-26,41
2019-02-27,80
2019-02-28,79
2019-01-01,40
2019-01-02,33
2019-01-03,35
2019-01-04,66
2019-01-05,54
2019-01-06,27
2019-01-07,64
2019-01-08,37
2019-01-09,40
2019-01-10,78
2019-01-11,117
2019-01-12,70
2019-01-13,71
2019-01-14,76
2019-01-15,75
2019-01-16,35
2019-01-17,42
2019-01-18,51
2019-01-19,91
2019-01-20,93
2019-01-21,45
2019-01-22,91
2019-01-23,68
2019-01-24,87
2019-01-25,117
2019-01-26,64
2019-01-27,81
2019-01-28,87
2019-01-29,83
2019-01-30,59
2019-01-31,47
2018-12-01,89
2018-12-02,73
2018-12-03,60
2018-12-04,62
2018-12-05,67
2018-12-06,60
2018-12-07,26
2018-12-08,16
2018-12-09,13
2018-12-10,25
2018-12-11,28
2018-12-12,21
2018-12-13,35
2018-12-14,32
2018-12-15,45
2018-12-16,51
2018-12-17,41
2018-12-18,55
2018-12-19,86
2018-12-20,85
2018-12-21,60
2018-12-28,30
2018-12-29,25
2018-12-30,52
2018-12-31,40
2018-11-01,56
2018-11-02,64
2018-11-03,29
2018-11-04,42
2018-11-05,69
2018-11-06,61
2018-11-07,75
2018-11-08,51
2018-11-09,43
2018-11-10,78
2018-11-11,89
2018-11-12,75
2018-11-13,34
2018-11-14,62
2018-11-15,54
2018-11-16,42
2018-11-17,22
2018-11-18,56
2018-11-19,20
2018-11-20,49
2018-11-21,62
2018-11-22,30
2018-11-23,55
2018-11-24,67
2018-11-25,68
2018-11-26,57
2018-11-27,58
2018-11-28,74
2018-11-29,60
2018-11-30,85
2018-10-01,62
2018-10-02,66
2018-10-03,70
2018-10-04,69
2018-10-05,76
2018-10-06,68
2018-10-07,73
2018-10-08,105
2018-10-09,86
2018-10-10,75
2018-10-11,36
2018-10-12,48
2018-10-13,44
2018-10-14,62
2018-10-15,48
2018-10-16,25
2018-10-17,22
2018-10-18,32
2018-10-19,46
2018-10-20,62
2018-10-21,60
2018-10-22,52
2018-10-23,35
2018-10-24,46
2018-10-25,81
2018-10-26,72
2018-10-27,47
2018-10-28,56
2018-10-29,56
2018-10-30,56
2018-10-31,56
2018-09-02,29
2018-09-03,44
2018-09-04,47
2018-09-05,57
2018-09-06,65
2018-09-07,67
