date,score
2019-07-01,23
2019-07-02,35
2019-07-03,39
2019-07-04,45
2019-07-05,48
2019-07-06,62
2019-07-07,53
2019-07-12,47
2019-07-13,44
2019-07-14,33
2019-07-15,35
2019-06-01,33
2019-06-02,45
2019-06-03,34
2019-06-04,41
2019-06-05,45
2019-06-06,41
2019-06-07,39
2019-06-08,37
2019-06-09,38
2019-06-10,34
2019-06-11,39
2019-06-14,19
2019-06-15,20
2019-06-17,34
2019-06-18,29
2019-06-19,40
2019-06-20,27
2019-06-25,80
2019-06-26,67
2019-06-27,52
2019-06-28,27
2019-06-29,17
2019-06-30,18
2019-05-01,52
2019-05-02,49
2019-05-03,60
2019-05-04,78
2019-05-05,44
2019-05-06,33
2019-05-07,46
2019-05-08,54
2019-05-09,53
2019-05-10,75
2019-05-11,90
2019-05-12,69
2019-05-13,63
2019-05-14,54
2019-05-15,82
2019-05-16,200
2019-05-17,67
2019-05-18,57
2019-05-19,30
2019-05-20,38
2019-05-21,26
2019-05-22,30
2019-05-23,43
2019-05-24,76
2019-05-25,102
2019-05-26,31
2019-05-27,34
2019-05-28,34
2019-05-29,34
2019-05-30,41
2019-05-31,30
2019-04-01,60
2019-04-02,60
2019-04-03,70
2019-04-04,62
2019-04-05,60
2019-04-06,43
2019-04-07,33
2019-04-08,35
2019-04-09,46
2019-04-10,61
2019-04-11,62
2019-04-12,56
2019-04-13,62
2019-04-14,48
2019-04-15,67
2019-04-16,302
2019-04-17,157
2019-04-18,39
2019-04-19,39
2019-04-20,85
2019-04-21,140
2019-04-22,79
2019-04-23,172
2019-04-24,145
2019-04-25,42
2019-04-26,44
2019-04-27,57
2019-04-28,78
2019-04-29,61
2019-04-30,70
2019-03-01,210
2019-03-02,172
2019-03-03,103
2019-03-04,78
2019-03-05,155
2019-03-06,38
2019-03-07,54
2019-03-08,91
2019-03-09,124
2019-03-10,71
2019-03-11,69
2019-03-12,40
2019-03-13,37
2019-03-14,62
2019-03-15,72
2019-03-16,62
2019-03-17,65
2019-03-18,83
2019-03-19,111
2019-03-20,72
2019-03-21,88
2019-03-22,55
2019-03-23,55
2019-03-24,54
2019-03-25,78
2019-03-26,45
2019-03-27,48
2019-03-28,53
2019-03-29,95
2019-03-30,71
2019-03-31,53
2019-02-01,148
2019-02-02,134
2019-02-03,101
2019-02-04,41
2019-02-05,59
2019-02-06,42
2019-02-07,59
2019-02-08,62
2019-02-09,128
2019-02-10,94
2019-02-11,136
2019-02-12,65
2019-02-13,74
2019-02-14,89
2019-02-15,176
2019-02-16,69
2019-02-17,60
2019-02-18,69
2019-02-19,202
2019-02-20,268
2019-02-21,131
2019-02-22,98
2019-02-23,89
2019-02-24,137
2019-02-25,163
2019-02-26,183
2019-02-27,358
2019-02-28,222
2019-01-01,46
2019-01-02,69
2019-01-03,115
2019-01-04,53
2019-01-05,53
2019-01-06,118
2019-01-07,175
2019-01-08,67
2019-01-09,81
2019-01-10,85
2019-01-11,174
2019-01-12,172
2019-01-13,263
2019-01-14,217
