date,score
2019-07-01,39
2019-07-02,44
2019-07-03,42
2019-07-04,44
2019-07-05,51
2019-07-06,51
2019-07-07,48
2019-07-12,53
2019-07-13,23
2019-07-14,38
2019-07-15,40
2019-06-01,77
2019-06-02,83
2019-06-03,85
2019-06-04,83
2019-06-05,100
2019-06-06,38
2019-06-07,58
2019-06-08,69
2019-06-09,60
2019-06-10,80
2019-06-11,56
2019-06-14,56
2019-06-15,70
2019-06-17,47
2019-06-18,31
2019-06-19,28
2019-06-20,32
2019-06-25,31
2019-06-26,29
2019-06-27,81
2019-06-28,84
2019-06-29,38
2019-06-30,41
2019-05-01,59
2019-05-02,67
2019-05-03,79
2019-05-04,74
2019-05-05,88
2019-05-06,61
2019-05-07,54
2019-05-08,64
2019-05-09,88
2019-05-10,104
2019-05-11,102
2019-05-12,99
2019-05-13,55
2019-05-14,50
2019-05-15,33
2019-05-16,47
2019-05-17,61
2019-05-18,60
2019-05-19,64
2019-05-20,67
2019-05-21,77
2019-05-22,93
2019-05-23,106
2019-05-24,83
2019-05-25,50
2019-05-26,33
2019-05-27,36
2019-05-28,55
2019-05-29,52
2019-05-30,55
2019-05-31,67
2019-04-01,58
2019-04-02,68
2019-04-03,56
2019-04-04,52
2019-04-05,44
2019-04-06,54
2019-04-07,63
2019-04-08,116
2019-04-09,57
2019-04-10,46
2019-04-11,49
2019-04-12,62
2019-04-13,67
2019-04-14,75
2019-04-15,67
2019-04-16,61
2019-04-17,65
2019-04-18,75
2019-04-19,84
2019-04-20,58
2019-04-21,58
2019-04-22,52
2019-04-23,44
2019-04-24,74
2019-04-25,63
2019-04-26,39
2019-04-27,45
2019-04-28,64
2019-04-29,59
2019-04-30,36
2019-03-01,80
2019-03-02,57
2019-03-03,59
2019-03-04,67
2019-03-05,86
2019-03-06,54
2019-03-07,121
2019-03-08,51
2019-03-09,63
2019-03-10,64
2019-03-11,66
2019-03-12,70
2019-03-13,75
2019-03-14,56
2019-03-15,53
2019-03-16,81
2019-03-17,88
2019-03-18,77
2019-03-19,67
2019-03-20,57
2019-03-21,56
2019-03-22,41
2019-03-23,45
2019-03-24,75
2019-03-25,64
2019-03-26,50
2019-03-27,55
2019-03-28,50
2019-03-29,43
2019-03-30,73
2019-03-31,47
2019-02-01,67
2019-02-02,69
2019-02-03,70
2019-02-04,136
2019-02-05,126
2019-02-06,64
2019-02-07,42
2019-02-08,34
2019-02-09,30
2019-02-10,34
2019-02-11,37
2019-02-12,41
2019-02-13,23
2019-02-14,36
2019-02-15,21
2019-02-16,56
2019-02-17,48
2019-02-18,38
2019-02-19,29
2019-02-20,39
2019-02-21,48
2019-02-22,46
2019-02-23,80
2019-02-24,115
2019-02-25,166
2019-02-26,105
2019-02-27,47
2019-02-28,73
2019-01-01,73
2019-01-02,90
2019-01-03,126
2019-01-04,79
2019-01-05,31
2019-01-06,55
2019-01-07,55
2019-01-08,64
2019-01-09,66
2019-01-10,36
2019-01-11,26
2019-01-12,39
2019-01-13,84
2019-01-14,120
2019-01-15,102
2019-01-16,84
2019-01-17,81
2019-01-18,91
2019-01-19,92
2019-01-20,150
2019-01-21,73
2019-01-22,92
2019-01-23,95
2019-01-24,118
2019-01-25,143
2019-01-26,49
2019-01-27,60
2019-01-28,92
2019-01-29,133
2019-01-30,127
2019-01-31,39
2018-12-01,128
2018-12-02,119
2018-12-03,58
2018-12-04,32
2018-12-05,45
2018-12-06,26
2018-12-07,36
2018-12-08,43
2018-12-09,39
2018-12-10,23
2018-12-11,20
2018-12-12,98
2018-12-13,144
2018-12-14,134
2018-12-15,104
2018-12-16,53
2018-12-17,77
2018-12-18,76
2018-12-19,79
2018-12-20,96
2018-12-21,100
2018-12-28,50
2018-12-29,52
2018-12-30,65
2018-12-31,60
2018-11-01,51
2018-11-02,39
2018-11-03,48
2018-11-04,49
2018-11-05,36
2018-11-06,34
2018-11-07,26
2018-11-08,15
2018-11-09,39
2018-11-10,68
2018-11-11,67
2018-11-12,38
2018-11-13,51
2018-11-14,62
2018-11-15,62
2018-11-16,34
2018-11-17,42
2018-11-18,24
2018-11-19,35
2018-11-20,65
2018-11-21,45
2018-11-22,59
2018-11-23,72
2018-11-24,68
2018-11-25,96
2018-11-26,83
2018-11-27,68
2018-11-28,105
2018-11-29,91
2018-11-30,127
2018-10-01,59
2018-10-02,64
2018-10-03,76
2018-10-04,63
2018-10-05,61
2018-10-06,70
2018-10-07,77
2018-10-08,71
2018-10-09,61
2018-10-10,53
2018-10-11,48
2018-10-12,52
2018-10-13,54
2018-10-14,49
2018-10-15,35
2018-10-16,42
2018-10-17,57
2018-10-18,63
2018-10-19,45
2018-10-20,54
2018-10-21,47
2018-10-22,38
2018-10-23,48
2018-10-24,74
2018-10-25,71
2018-10-26,56
2018-10-27,68
2018-10-28,66
2018-10-29,58
2018-10-30,84
2018-10-31,57
2018-09-02,44
2018-09-03,41
2018-09-04,71
2018-09-05,102
2018-09-06,101
2018-09-07,59
2018-09-08,36
2018-09-09,57
2018-09-10,53
2018-09-11,50
2018-09-12,37
2018-09-13,54
2018-09-14,73
2018-09-15,70
2018-09-16,37
2018-09-17,19
2018-09-18,45
2018-09-19,57
2018-09-20,36
2018-09-21,41
2018-09-22,39
2018-09-23,64
2018-09-24,73
2018-09-25,56
2018-09-26,42
2018-09-27,46
2018-09-28,53
2018-09-29,65
2018-09-30,76
2018-08-01,63
2018-08-02,53
2018-08-03,31
2018-08-04,61
2018-08-05,80
2018-08-06,89
2018-08-07,94
2018-08-08,59
2018-08-09,63
2018-08-10,91
2018-08-11,98
2018-08-12,38
2018-08-13,35
2018-08-14,32
2018-08-15,35
2018-08-16,43
2018-08-17,26
2018-08-18,37
2018-08-19,31
2018-08-20,57
2018-08-21,66
2018-08-22,54
2018-08-23,66
2018-08-25,46
2018-08-27,38
2018-08-29,37
2018-08-31,37
2018-07-01,34
2018-07-02,60
2018-07-03,33
2018-07-04,38
2018-07-05,45
2018-07-06,41
2018-07-07,44
2018-07-08,63
2018-07-09,48
2018-07-10,50
2018-07-11,37
2018-07-12,30
2018-07-13,29
2018-07-14,39
2018-07-15,42
2018-07-16,34
2018-07-17,29
2018-07-18,36
2018-07-19,42
2018-07-20,53
2018-07-21,51
2018-07-22,30
2018-07-23,46
2018-07-24,39
2018-07-25,54
2018-07-26,58
2018-07-27,69
2018-07-28,100
2018-07-29,98
2018-07-30,85
2018-07-31,71
2018-06-01,88
2018-06-02,64
2018-06-03,64
2018-06-04,88
2018-06-05,55
2018-06-06,72
2018-06-07,82
2018-06-08,70
2018-06-09,70
2018-06-10,43
2018-06-11,66
2018-06-12,73
2018-06-13,86
2018-06-14,92
2018-06-15,75
2018-06-16,62
2018-06-17,66
2018-06-18,78
2018-06-19,54
2018-06-20,36
2018-06-21,43
2018-06-22,38
2018-06-23,36
2018-06-24,64
2018-06-25,61
2018-06-26,51
2018-06-27,41
2018-06-28,44
2018-06-29,55
2018-06-30,36
2018-05-01,39
2018-05-02,57
2018-05-03,59
2018-05-04,78
2018-05-05,48
2018-05-06,50
2018-05-07,42
2018-05-08,51
2018-05-09,83
2018-05-10,67
2018-05-11,73
2018-05-12,70
2018-05-13,79
2018-05-14,89
2018-05-15,59
2018-05-16,60
2018-05-17,56
2018-05-18,95
2018-05-19,43
2018-05-20,29
2018-05-21,40
2018-05-22,40
2018-05-23,74
2018-05-24,101
2018-05-25,86
2018-05-26,52
2018-05-27,58
2018-05-28,76
2018-05-29,78
2018-05-30,103
2018-05-31,60
2018-04-01,76
2018-04-02,81
2018-04-03,66
2018-04-04,67
2018-04-05,57
2018-04-05,57
2018-04-06,79
2018-04-07,72
2018-04-08,64
2018-04-09,67
2018-04-10,73
2018-04-11,81
2018-04-12,76
2018-04-13,53
2018-04-14,42
2018-04-15,73
2018-04-16,103
2018-04-17,111
2018-04-18,93
2018-04-19,96
2018-04-20,72
2018-04-21,63
2018-04-22,61
2018-04-23,44
2018-04-24,37
2018-04-25,69
2018-04-26,97
2018-04-27,98
2018-04-28,111
2018-04-29,92
2018-04-30,55
2018-03-01,65
2018-03-02,48
2018-03-03,44
2018-03-04,53
2018-03-05,34
2018-03-06,50
2018-03-07,40
2018-03-08,43
2018-03-09,123
2018-03-10,104
2018-03-11,96
2018-03-12,72
2018-03-13,65
2018-03-14,71
2018-03-15,83
2018-03-16,42
2018-03-17,56
2018-03-18,58
2018-03-19,37
2018-03-20,46
2018-03-21,46
2018-03-22,64
2018-03-23,73
2018-03-24,87
2018-03-25,79
2018-03-26,62
2018-03-27,58
2018-03-28,72
2018-03-29,74
2018-03-30,60
2018-03-31,63
2018-02-01,140
2018-02-02,127
2018-02-03,70
2018-02-04,67
2018-02-05,76
2018-02-06,87
2018-02-07,93
2018-02-08,150
2018-02-09,172
2018-02-10,129
2018-02-11,88
2018-02-12,72
2018-02-13,56
2018-02-14,68
2018-02-15,98
2018-02-16,64
2018-02-17,65
2018-02-18,60
2018-02-19,27
2018-02-20,67
2018-02-21,51
2018-02-22,69
2018-02-23,41
2018-02-24,66
2018-02-25,63
2018-02-26,52
2018-02-27,51
2018-02-28,39
2018-01-01,156
2018-01-02,117
2018-01-03,52
2018-01-04,25
2018-01-05,35
2018-01-06,98
2018-01-07,42
2018-01-08,76
2018-01-09,45
2018-01-10,49
2018-01-11,60
2018-01-12,69
2018-01-13,98
2018-01-14,99
2018-01-15,75
2018-01-16,97
2018-01-17,172
2018-01-18,153
2018-01-19,144
2018-01-20,117
2018-01-21,71
2018-01-22,39
2018-01-23,114
2018-01-24,57
2018-01-25,34
2018-01-26,35
2018-01-27,46
2018-01-28,43
2018-01-29,131
2018-01-30,160
2018-01-31,167
2017-12-01,63
2017-12-02,88
2017-12-03,92
2017-12-04,124
2017-12-05,75
2017-12-06,99
2017-12-07,149
2017-12-08,93
2017-12-09,65
2017-12-10,80
2017-12-11,88
2017-12-12,91
2017-12-13,51
2017-12-14,57
2017-12-15,43
2017-12-16,99
2017-12-17,83
2017-12-18,71
2017-12-19,81
2017-12-20,78
2017-12-21,89
2017-12-22,113
2017-12-23,125
2017-12-24,120
2017-12-25,92
2017-12-26,132
2017-12-27,106
2017-12-28,107
2017-12-29,69
2017-12-30,119
2017-12-31,231
2017-11-01,68
2017-11-02,76
2017-11-03,99
2017-11-04,46
2017-11-05,57
2017-11-06,80
2017-11-07,76
2017-11-08,106
2017-11-09,68
2017-11-10,80
2017-11-11,60
2017-11-12,58
2017-11-13,74
2017-11-14,88
2017-11-15,65
2017-11-16,33
2017-11-17,30
2017-11-18,37
2017-11-19,50
2017-11-20,54
2017-11-21,66
2017-11-22,60
2017-11-23,100
2017-11-24,71
2017-11-25,63
2017-11-26,73
2017-11-27,113
2017-11-28,95
2017-11-29,104
2017-11-30,40
2017-10-01,52
2017-10-02,55
2017-10-03,45
2017-10-05,47
2017-10-06,59
2017-10-07,89
2017-10-08,83
2017-10-09,54
2017-10-10,51
2017-10-11,35
2017-10-12,26
2017-10-13,32
2017-10-14,41
2017-10-15,28
2017-10-16,29
2017-10-17,37
2017-10-18,53
2017-10-19,50
2017-10-20,53
2017-10-21,58
2017-10-22,77
2017-10-23,63
2017-10-24,60
2017-10-25,66
2017-10-26,63
2017-10-27,73
2017-10-28,62
2017-10-29,77
2017-10-30,55
2017-10-31,63
2017-09-01,59
2017-09-02,63
2017-09-03,51
2017-09-04,56
2017-09-05,89
2017-09-06,88
2017-09-07,33
2017-09-08,41
2017-09-09,63
2017-09-10,47
2017-09-11,26
2017-09-12,47
2017-09-13,69
2017-09-14,56
2017-09-15,46
2017-09-16,57
2017-09-17,67
2017-09-18,96
2017-09-19,120
2017-09-20,46
2017-09-21,27
2017-09-22,46
2017-09-23,36
2017-09-24,59
2017-09-25,80
2017-09-26,66
2017-09-27,43
2017-09-28,31
2017-09-29,43
2017-09-30,49
2017-08-01,31
2017-08-02,35
2017-08-03,52
2017-08-04,61
2017-08-05,55
2017-08-06,56
2017-08-07,65
2017-08-08,52
2017-08-09,34
2017-08-10,43
2017-08-11,71
2017-08-12,45
2017-08-13,44
2017-08-14,36
2017-08-15,43
2017-08-16,30
2017-08-17,42
2017-08-18,54
2017-08-19,60
2017-08-20,37
2017-08-21,66
2017-08-22,37
2017-08-23,35
2017-08-24,34
2017-08-25,53
2017-08-26,32
2017-08-27,47
2017-08-28,44
2017-08-29,64
2017-08-30,39
2017-08-31,44
2017-07-01,50
2017-07-02,44
2017-07-03,29
