date,score
2019-07-01,77
2019-07-02,72
2019-07-03,67
2019-07-04,82
2019-07-05,76
2019-07-06,50
2019-07-07,69
2019-07-12,47
2019-07-13,36
2019-07-14,51
2019-07-15,73
2019-06-01,102
2019-06-02,95
2019-06-03,67
2019-06-04,81
2019-06-05,74
2019-06-06,50
2019-06-07,63
2019-06-08,81
2019-06-09,96
2019-06-10,77
2019-06-11,59
2019-06-14,59
2019-06-15,74
2019-06-17,41
2019-06-18,24
2019-06-19,27
2019-06-20,29
2019-06-25,65
2019-06-26,65
2019-06-27,79
2019-06-28,76
2019-06-29,45
2019-06-30,48
2019-05-01,63
2019-05-02,70
2019-05-03,71
2019-05-04,73
2019-05-05,81
2019-05-06,61
2019-05-07,58
2019-05-08,67
2019-05-09,75
2019-05-10,81
2019-05-11,86
2019-05-12,86
2019-05-13,80
2019-05-14,83
2019-05-15,60
2019-05-16,70
2019-05-17,77
2019-05-18,36
2019-05-19,41
2019-05-20,69
2019-05-21,74
2019-05-22,86
2019-05-23,94
2019-05-24,98
2019-05-25,46
2019-05-26,33
2019-05-27,57
2019-05-28,58
2019-05-29,67
2019-05-30,59
2019-05-31,59
2019-04-01,69
2019-04-02,75
2019-04-03,77
2019-04-04,88
2019-04-05,82
2019-04-06,66
2019-04-07,85
2019-04-08,114
2019-04-09,60
2019-04-10,67
2019-04-11,65
2019-04-12,75
2019-04-13,94
2019-04-14,72
2019-04-15,65
2019-04-16,69
2019-04-17,77
2019-04-18,65
2019-04-19,86
2019-04-20,65
2019-04-21,68
2019-04-22,40
2019-04-23,48
2019-04-24,52
2019-04-25,74
2019-04-26,45
2019-04-27,55
2019-04-28,52
2019-04-29,35
2019-04-30,39
2019-03-01,100
2019-03-02,148
2019-03-03,93
2019-03-04,83
2019-03-05,106
2019-03-06,131
2019-03-07,64
2019-03-08,62
2019-03-09,76
2019-03-10,124
2019-03-11,119
2019-03-12,80
2019-03-13,87
2019-03-14,66
2019-03-15,71
2019-03-16,77
2019-03-17,82
2019-03-18,75
2019-03-19,66
2019-03-20,54
2019-03-21,89
2019-03-22,43
2019-03-23,53
2019-03-24,78
2019-03-25,49
2019-03-26,61
2019-03-27,63
2019-03-28,76
2019-03-29,123
2019-03-30,114
2019-03-31,64
2019-02-01,81
2019-02-02,68
2019-02-03,123
2019-02-04,143
2019-02-05,180
2019-02-06,103
2019-02-07,107
2019-02-08,31
2019-02-09,54
2019-02-10,61
2019-02-11,66
2019-02-12,72
2019-02-13,44
2019-02-14,38
2019-02-15,57
2019-02-16,118
2019-02-17,56
2019-02-18,48
2019-02-19,49
2019-02-20,101
2019-02-21,119
2019-02-22,62
2019-02-23,108
2019-02-24,137
2019-02-25,142
2019-02-26,144
2019-02-27,44
2019-02-28,80
2019-01-01,72
2019-01-02,108
2019-01-03,149
2019-01-04,134
2019-01-05,151
2019-01-06,135
2019-01-07,81
2019-01-08,123
2019-01-09,62
2019-01-10,50
2019-01-11,47
2019-01-12,115
2019-01-13,144
2019-01-14,186
2019-01-15,202
2019-01-16,69
2019-01-17,91
2019-01-18,99
2019-01-19,143
2019-01-20,210
2019-01-21,128
2019-01-22,92
2019-01-23,131
2019-01-24,120
2019-01-25,163
2019-01-26,45
2019-01-27,71
2019-01-28,168
2019-01-29,152
2019-01-30,114
2019-01-31,50
2018-12-01,224
2018-12-02,191
2018-12-03,116
2018-12-04,51
2018-12-05,56
2018-12-06,32
2018-12-07,55
2018-12-08,45
2018-12-09,54
2018-12-10,44
2018-12-11,85
2018-12-12,191
2018-12-13,155
2018-12-14,106
2018-12-15,75
2018-12-16,110
2018-12-17,111
2018-12-18,112
2018-12-19,85
2018-12-20,65
2018-12-21,87
2018-12-28,55
2018-12-29,60
2018-12-30,58
2018-12-31,56
2018-11-01,66
2018-11-02,56
2018-11-03,57
2018-11-04,69
2018-11-05,68
2018-11-06,31
2018-11-07,16
2018-11-08,26
2018-11-09,48
2018-11-10,67
2018-11-11,82
2018-11-12,52
2018-11-13,59
2018-11-14,61
2018-11-15,59
2018-11-16,71
2018-11-17,36
2018-11-18,37
2018-11-19,70
2018-11-20,78
2018-11-21,161
2018-11-22,118
2018-11-23,97
2018-11-24,92
2018-11-25,134
2018-11-26,141
2018-11-27,140
2018-11-28,138
2018-11-29,164
2018-11-30,218
2018-10-01,62
2018-10-02,64
2018-10-03,76
2018-10-04,68
2018-10-05,77
2018-10-06,95
2018-10-07,110
2018-10-08,82
2018-10-09,93
2018-10-10,53
2018-10-11,59
2018-10-12,64
2018-10-13,59
2018-10-14,69
2018-10-15,50
2018-10-16,52
2018-10-17,84
2018-10-18,44
2018-10-19,47
2018-10-20,56
2018-10-21,55
2018-10-22,50
2018-10-23,60
2018-10-24,78
2018-10-25,103
2018-10-26,72
2018-10-27,71
2018-10-28,59
2018-10-29,71
2018-10-30,86
2018-10-31,66
2018-09-02,50
2018-09-03,56
2018-09-04,81
2018-09-05,88
2018-09-06,60
2018-09-07,60
2018-09-08,64
2018-09-09,63
2018-09-10,49
2018-09-11,57
2018-09-12,57
2018-09-13,31
2018-09-14,49
2018-09-15,58
