date,score
2019-07-01,47
2019-07-02,43
2019-07-03,58
2019-07-04,75
2019-07-05,61
2019-07-06,39
2019-07-07,46
2019-07-12,46
2019-07-13,44
2019-07-14,39
2019-07-15,64
2019-06-01,71
2019-06-02,63
2019-06-03,55
2019-06-04,67
2019-06-05,46
2019-06-06,82
2019-06-07,58
2019-06-08,40
2019-06-09,51
2019-06-10,53
2019-06-11,61
2019-06-14,37
2019-06-15,59
2019-06-17,46
2019-06-18,61
2019-06-19,39
2019-06-20,55
2019-06-25,75
2019-06-26,60
2019-06-27,43
2019-06-28,50
2019-06-29,46
2019-06-30,41
2019-05-01,54
2019-05-02,73
2019-05-03,82
2019-05-04,140
2019-05-05,64
2019-05-06,44
2019-05-07,63
2019-05-08,56
2019-05-09,59
2019-05-10,63
2019-05-11,55
2019-05-12,184
2019-05-13,65
2019-05-14,89
2019-05-15,124
2019-05-16,116
2019-05-17,98
2019-05-18,78
2019-05-19,80
2019-05-20,46
2019-05-21,52
2019-05-22,58
2019-05-23,78
2019-05-24,87
2019-05-25,81
2019-05-26,54
2019-05-27,44
2019-05-28,53
2019-05-29,74
2019-05-30,46
2019-05-31,45
2019-04-01,47
2019-04-02,43
2019-04-03,61
2019-04-04,82
2019-04-05,72
2019-04-06,43
2019-04-07,61
2019-04-08,56
2019-04-09,41
2019-04-10,42
2019-04-11,46
2019-04-12,62
2019-04-13,46
2019-04-14,59
2019-04-15,73
2019-04-16,94
2019-04-17,110
2019-04-18,70
2019-04-19,108
2019-04-20,347
2019-04-21,166
2019-04-22,94
2019-04-23,73
2019-04-24,47
2019-04-25,36
2019-04-26,54
2019-04-27,46
2019-04-28,62
2019-04-29,110
2019-04-30,114
2019-03-01,92
2019-03-02,123
2019-03-03,181
2019-03-04,83
2019-03-05,49
2019-03-06,39
2019-03-07,56
2019-03-08,105
2019-03-09,138
2019-03-10,85
2019-03-11,44
2019-03-12,38
2019-03-13,50
2019-03-14,44
2019-03-15,52
2019-03-16,61
2019-03-17,61
2019-03-18,92
2019-03-19,106
2019-03-20,96
2019-03-21,37
2019-03-22,43
2019-03-23,46
2019-03-24,78
2019-03-25,73
2019-03-26,95
2019-03-27,52
2019-03-28,41
2019-03-29,49
2019-03-30,37
2019-03-31,51
2019-02-01,102
2019-02-02,126
2019-02-03,112
2019-02-04,151
2019-02-05,230
2019-02-06,117
2019-02-07,30
2019-02-08,46
2019-02-09,39
2019-02-10,64
2019-02-11,39
2019-02-12,44
2019-02-13,37
2019-02-14,66
2019-02-15,34
2019-02-16,55
2019-02-17,43
2019-02-18,62
2019-02-19,116
2019-02-20,101
2019-02-21,94
2019-02-22,97
2019-02-23,82
2019-02-24,42
2019-02-25,42
2019-02-26,92
2019-02-27,59
2019-02-28,84
2019-01-01,64
2019-01-02,104
2019-01-03,127
2019-01-04,49
2019-01-05,70
2019-01-06,109
2019-01-07,34
2019-01-08,46
2019-01-09,83
2019-01-10,198
2019-01-11,167
2019-01-12,148
2019-01-13,110
2019-01-14,85
2019-01-15,43
2019-01-16,79
2019-01-17,97
2019-01-18,81
2019-01-19,36
2019-01-20,45
2019-01-21,70
2019-01-22,96
2019-01-23,112
2019-01-24,75
2019-01-25,34
2019-01-26,72
2019-01-27,78
2019-01-28,63
2019-01-29,92
2019-01-30,50
2019-01-31,76
2018-12-01,119
2018-12-02,167
2018-12-03,138
2018-12-04,83
2018-12-05,83
2018-12-06,32
2018-12-07,29
2018-12-08,48
2018-12-09,70
2018-12-10,98
2018-12-11,51
2018-12-12,94
2018-12-13,126
2018-12-14,102
2018-12-15,150
2018-12-16,123
2018-12-17,101
2018-12-18,111
2018-12-19,119
2018-12-20,86
2018-12-21,97
2018-12-28,52
2018-12-29,78
2018-12-30,74
2018-12-31,81
2018-11-01,101
2018-11-02,117
2018-11-03,103
2018-11-04,28
2018-11-05,58
2018-11-06,50
2018-11-07,76
2018-11-08,119
2018-11-09,76
2018-11-10,79
2018-11-11,106
2018-11-12,125
2018-11-13,107
2018-11-14,91
2018-11-15,27
2018-11-16,50
2018-11-17,75
2018-11-18,82
2018-11-19,96
2018-11-20,73
2018-11-21,56
2018-11-22,76
2018-11-23,68
2018-11-24,88
2018-11-25,106
2018-11-26,301
2018-11-27,118
2018-11-28,113
2018-11-29,88
2018-11-30,125
2018-10-01,33
2018-10-02,55
2018-10-03,67
2018-10-04,77
2018-10-05,63
2018-10-06,29
2018-10-07,58
2018-10-08,42
2018-10-09,31
2018-10-10,42
2018-10-11,48
2018-10-12,70
2018-10-13,91
2018-10-14,86
2018-10-15,63
2018-10-16,47
2018-10-17,48
2018-10-18,62
2018-10-19,100
2018-10-20,105
2018-10-21,113
2018-10-22,80
2018-10-23,81
2018-10-24,94
2018-10-25,90
2018-10-26,31
2018-10-27,66
2018-10-28,45
2018-10-29,33
2018-10-30,70
2018-10-31,89
2018-09-02,49
2018-09-03,37
2018-09-04,44
2018-09-05,56
2018-09-06,37
2018-09-07,28
2018-09-08,41
2018-09-09,53
2018-09-10,55
2018-09-11,52
2018-09-12,53
2018-09-13,64
2018-09-14,48
2018-09-15,30
2018-09-16,40
2018-09-17,63
2018-09-18,72
2018-09-19,76
2018-09-20,82
2018-09-21,40
2018-09-22,45
2018-09-23,33
2018-09-24,39
2018-09-25,62
2018-09-26,63
2018-09-27,43
2018-09-28,46
2018-09-29,30
2018-09-30,23
2018-08-01,64
2018-08-02,67
2018-08-03,78
2018-08-04,75
2018-08-05,64
2018-08-06,70
2018-08-07,35
2018-08-08,46
2018-08-09,60
2018-08-10,61
2018-08-11,58
2018-08-12,56
2018-08-13,60
2018-08-14,54
2018-08-15,52
2018-08-16,60
2018-08-17,55
2018-08-18,51
2018-08-19,65
2018-08-20,62
2018-08-21,45
2018-08-22,62
2018-08-23,58
2018-08-25,67
2018-08-27,85
2018-08-29,51
2018-08-31,46
2018-07-01,88
2018-07-02,68
2018-07-03,86
2018-07-04,68
2018-07-05,78
2018-07-06,92
2018-07-07,54
2018-07-08,48
2018-07-09,66
2018-07-10,49
2018-07-11,35
2018-07-12,61
2018-07-13,71
2018-07-14,59
2018-07-15,54
2018-07-16,44
2018-07-17,35
2018-07-18,58
2018-07-19,55
2018-07-20,45
2018-07-21,45
2018-07-22,58
2018-07-23,58
2018-07-24,53
2018-07-25,40
2018-07-26,53
2018-07-27,78
2018-07-28,73
2018-07-29,78
2018-07-30,85
2018-07-31,67
2018-06-01,106
2018-06-02,113
2018-06-03,155
2018-06-04,86
2018-06-05,86
2018-06-06,68
2018-06-07,66
2018-06-08,50
2018-06-09,66
2018-06-10,65
2018-06-11,76
2018-06-12,71
2018-06-13,51
2018-06-14,65
2018-06-15,86
2018-06-16,94
2018-06-17,74
2018-06-18,78
2018-06-19,56
2018-06-20,60
2018-06-21,83
2018-06-22,80
2018-06-23,98
2018-06-24,80
2018-06-25,62
2018-06-26,72
2018-06-27,47
2018-06-28,39
2018-06-29,58
2018-06-30,79
2018-05-01,149
2018-05-02,55
2018-05-03,63
2018-05-04,134
2018-05-05,223
2018-05-06,84
2018-05-07,94
2018-05-08,105
2018-05-09,105
2018-05-10,83
2018-05-11,72
2018-05-12,88
2018-05-13,113
2018-05-14,133
2018-05-15,117
2018-05-16,96
2018-05-17,71
2018-05-18,69
2018-05-19,70
2018-05-20,54
2018-05-21,69
2018-05-22,160
2018-05-23,79
2018-05-24,85
2018-05-25,100
2018-05-26,218
2018-05-27,88
2018-05-28,78
2018-05-29,47
2018-05-30,63
2018-05-31,76
2018-04-01,112
2018-04-02,355
2018-04-03,68
2018-04-04,52
2018-04-05,90
2018-04-05,90
2018-04-06,55
2018-04-07,90
2018-04-08,96
2018-04-09,193
2018-04-10,146
2018-04-11,60
2018-04-12,82
2018-04-13,171
2018-04-14,108
2018-04-15,63
2018-04-16,88
2018-04-17,113
2018-04-18,121
2018-04-19,113
2018-04-20,110
2018-04-21,51
2018-04-22,44
2018-04-23,53
2018-04-24,52
2018-04-25,84
2018-04-26,83
2018-04-27,72
2018-04-28,104
2018-04-29,231
2018-04-30,117
2018-03-01,51
2018-03-02,131
2018-03-03,238
2018-03-04,80
2018-03-05,59
2018-03-06,74
2018-03-07,71
2018-03-08,46
2018-03-09,90
2018-03-10,69
2018-03-11,106
2018-03-12,147
2018-03-13,181
2018-03-14,228
2018-03-15,78
2018-03-16,80
2018-03-17,116
2018-03-18,100
2018-03-19,51
2018-03-20,85
2018-03-21,90
2018-03-22,84
2018-03-23,66
2018-03-24,57
2018-03-25,86
2018-03-26,115
2018-03-27,196
2018-03-28,473
2018-03-29,260
2018-03-30,170
2018-03-31,150
2018-02-01,88
2018-02-02,42
2018-02-03,55
2018-02-04,60
2018-02-05,47
2018-02-06,66
2018-02-07,57
2018-02-08,93
2018-02-09,148
2018-02-10,46
2018-02-11,69
2018-02-12,83
2018-02-13,91
2018-02-14,34
2018-02-15,89
2018-02-16,103
2018-02-17,241
2018-02-18,136
2018-02-19,71
2018-02-20,44
2018-02-21,58
2018-02-22,62
2018-02-23,60
2018-02-24,49
2018-02-25,83
2018-02-26,97
2018-02-27,65
2018-02-28,114
2018-01-01,89
2018-01-02,39
2018-01-03,43
2018-01-04,45
2018-01-05,73
2018-01-06,66
2018-01-07,56
2018-01-08,59
2018-01-09,50
2018-01-10,42
2018-01-11,60
2018-01-12,90
2018-01-13,127
2018-01-14,158
2018-01-15,109
2018-01-16,145
2018-01-17,85
2018-01-18,91
2018-01-19,85
2018-01-20,71
2018-01-21,77
2018-01-22,45
2018-01-23,50
2018-01-24,59
2018-01-25,34
2018-01-26,71
2018-01-27,97
2018-01-28,57
2018-01-29,65
2018-01-30,84
2018-01-31,98
2017-12-01,90
2017-12-02,107
2017-12-03,33
2017-12-04,51
