date,score
2019-07-01,79
2019-07-02,108
2019-07-03,115
2019-07-04,110
2019-07-05,109
2019-07-06,80
2019-07-07,58
2019-07-12,68
2019-07-13,81
2019-07-14,82
2019-07-15,88
2019-06-01,88
2019-06-02,117
2019-06-03,109
2019-06-04,121
2019-06-05,100
2019-06-06,69
2019-06-07,74
2019-06-08,100
2019-06-09,83
2019-06-10,74
2019-06-11,71
2019-06-14,101
2019-06-15,103
2019-06-17,90
2019-06-18,89
2019-06-19,83
2019-06-20,71
2019-06-25,96
2019-06-26,92
2019-06-27,99
2019-06-28,69
2019-06-29,92
2019-06-30,93
2019-05-01,66
2019-05-02,80
2019-05-03,93
2019-05-04,80
2019-05-05,108
2019-05-06,74
2019-05-07,82
2019-05-08,80
2019-05-09,90
2019-05-10,87
2019-05-11,86
2019-05-12,83
2019-05-13,174
2019-05-14,147
2019-05-15,103
2019-05-16,77
2019-05-17,57
2019-05-18,50
2019-05-19,89
2019-05-20,68
2019-05-21,79
2019-05-22,90
2019-05-23,110
2019-05-24,92
2019-05-25,85
2019-05-26,66
2019-05-27,50
2019-05-28,68
2019-05-29,79
2019-05-30,82
2019-05-31,72
2019-04-01,85
2019-04-02,92
2019-04-03,85
2019-04-04,104
2019-04-05,122
2019-04-06,121
2019-04-07,127
2019-04-08,122
2019-04-09,43
2019-04-10,58
2019-04-11,103
2019-04-12,105
2019-04-13,101
2019-04-14,79
2019-04-15,76
2019-04-16,84
2019-04-17,95
2019-04-18,123
2019-04-19,82
2019-04-20,96
2019-04-21,109
2019-04-22,104
2019-04-23,49
2019-04-24,84
2019-04-25,56
2019-04-26,50
2019-04-27,58
2019-04-28,60
2019-04-29,95
2019-04-30,110
2019-03-01,157
2019-03-02,185
2019-03-03,134
2019-03-04,96
2019-03-05,121
2019-03-06,105
2019-03-07,84
2019-03-08,82
2019-03-09,80
2019-03-10,119
2019-03-11,88
2019-03-12,59
2019-03-13,65
2019-03-14,81
2019-03-15,77
2019-03-16,81
2019-03-17,97
2019-03-18,96
2019-03-19,81
2019-03-20,79
2019-03-21,70
2019-03-22,58
2019-03-23,58
2019-03-24,89
2019-03-25,86
2019-03-26,93
2019-03-27,101
2019-03-28,95
2019-03-29,96
2019-03-30,78
2019-03-31,74
2019-02-01,86
2019-02-02,91
2019-02-03,148
2019-02-04,113
2019-02-05,150
2019-02-06,193
2019-02-07,55
2019-02-08,68
2019-02-09,74
2019-02-10,65
2019-02-11,106
2019-02-12,143
2019-02-13,100
2019-02-14,98
2019-02-15,126
2019-02-16,60
2019-02-17,57
2019-02-18,78
2019-02-19,158
2019-02-20,202
2019-02-21,176
2019-02-22,177
2019-02-23,175
2019-02-24,161
2019-02-25,205
2019-02-26,197
2019-02-27,114
2019-02-28,113
2019-01-01,134
2019-01-02,176
2019-01-03,216
2019-01-04,223
2019-01-05,72
2019-01-06,141
2019-01-07,236
2019-01-08,78
2019-01-09,74
2019-01-10,114
2019-01-11,130
2019-01-12,205
2019-01-13,294
2019-01-14,327
2019-01-15,152
2019-01-16,64
2019-01-17,89
2019-01-18,115
2019-01-19,162
2019-01-20,67
2019-01-21,98
2019-01-22,95
2019-01-23,97
2019-01-24,126
2019-01-25,107
2019-01-26,82
2019-01-27,81
2019-01-28,86
2019-01-29,103
2019-01-30,142
2019-01-31,61
2018-12-01,312
2018-12-02,228
2018-12-03,187
2018-12-04,120
2018-12-05,77
2018-12-06,73
2018-12-07,50
2018-12-08,63
2018-12-09,83
2018-12-10,125
2018-12-11,118
2018-12-12,75
2018-12-13,104
2018-12-14,100
2018-12-15,92
2018-12-16,131
2018-12-17,110
2018-12-18,100
2018-12-19,184
2018-12-20,151
2018-12-21,185
2018-12-28,52
2018-12-29,75
2018-12-30,82
2018-12-31,94
2018-11-01,98
2018-11-02,111
2018-11-03,92
2018-11-04,90
2018-11-05,59
2018-11-06,49
2018-11-07,72
2018-11-08,58
2018-11-09,82
2018-11-10,112
2018-11-11,96
2018-11-12,125
2018-11-13,138
2018-11-14,116
2018-11-15,97
2018-11-16,44
2018-11-17,69
2018-11-18,105
2018-11-19,85
2018-11-20,109
2018-11-21,118
2018-11-22,86
2018-11-23,104
2018-11-24,179
2018-11-25,154
2018-11-26,158
2018-11-27,300
2018-11-28,258
2018-11-29,271
2018-11-30,205
2018-10-01,57
2018-10-02,69
2018-10-03,71
2018-10-04,98
2018-10-05,109
2018-10-06,96
2018-10-07,69
2018-10-08,99
2018-10-09,67
2018-10-10,50
2018-10-11,69
2018-10-12,86
2018-10-13,82
2018-10-14,78
2018-10-15,77
2018-10-16,114
2018-10-17,65
2018-10-18,65
2018-10-19,73
2018-10-20,86
2018-10-21,81
2018-10-22,82
2018-10-23,81
2018-10-24,82
2018-10-25,112
2018-10-26,109
2018-10-27,77
2018-10-28,74
2018-10-29,64
2018-10-30,69
2018-10-31,77
2018-09-02,55
2018-09-03,81
2018-09-04,50
2018-09-05,67
2018-09-06,68
2018-09-07,46
2018-09-08,64
2018-09-09,67
2018-09-10,59
2018-09-11,74
2018-09-12,73
2018-09-13,84
2018-09-14,78
2018-09-15,84
2018-09-16,56
2018-09-17,76
2018-09-18,98
2018-09-19,86
2018-09-20,53
2018-09-21,69
2018-09-22,77
2018-09-23,65
2018-09-24,56
2018-09-25,73
2018-09-26,79
2018-09-27,87
2018-09-28,81
2018-09-29,79
2018-09-30,60
2018-08-01,91
2018-08-02,101
2018-08-03,115
2018-08-04,75
2018-08-05,61
2018-08-06,71
2018-08-07,83
2018-08-08,85
2018-08-09,96
2018-08-10,141
2018-08-11,103
2018-08-12,112
2018-08-13,59
2018-08-14,29
2018-08-15,35
2018-08-16,42
2018-08-17,72
2018-08-18,58
2018-08-19,17
2018-08-20,30
2018-08-21,87
2018-08-22,114
2018-08-23,83
2018-08-25,88
2018-08-27,94
2018-08-29,99
2018-08-31,64
2018-07-01,100
2018-07-02,93
2018-07-03,102
2018-07-04,107
2018-07-05,124
2018-07-06,134
2018-07-07,92
2018-07-08,53
2018-07-09,56
2018-07-10,62
2018-07-11,80
2018-07-12,59
2018-07-13,64
2018-07-14,50
2018-07-15,53
2018-07-16,85
2018-07-17,97
2018-07-18,85
2018-07-19,88
2018-07-20,103
2018-07-21,110
