date,score
2019/7/1,64
2019/7/2,53
2019/7/3,54
2019/7/4,57
2019/7/5,74
2019/7/6,71
2019/7/7,55
2019/7/12,58
2019/7/13,73
2019/7/14,50
2019/7/15,37
2019/6/1,62
2019/6/2,57
2019/6/3,55
2019/6/4,51
2019/6/5,45
2019/6/6,51
2019/6/7,56
2019/6/8,54
2019/6/9,52
2019/6/10,52
2019/6/11,44
2019/6/14,55
2019/6/15,45
2019/6/17,58
2019/6/18,49
2019/6/19,36
2019/6/20,38
2019/6/25,45
2019/6/26,38
2019/6/27,39
2019/6/28,47
2019/6/29,61
2019/6/30,51
2019/5/1,58
2019/5/2,57
2019/5/3,47
2019/5/4,57
2019/5/5,46
2019/5/6,41
2019/5/7,43
2019/5/8,40
2019/5/9,40
2019/5/10,47
2019/5/11,48
2019/5/12,473
2019/5/13,304
2019/5/14,69
2019/5/15,121
2019/5/16,79
2019/5/17,63
2019/5/18,88
2019/5/19,86
2019/5/20,69
2019/5/21,66
2019/5/22,66
2019/5/23,61
2019/5/24,61
2019/5/25,87
2019/5/26,75
2019/5/27,47
2019/5/28,52
2019/5/29,55
2019/5/30,56
2019/5/31,61
2019/4/1,87
2019/4/2,63
2019/4/3,73
2019/4/4,68
2019/4/5,76
2019/4/6,108
2019/4/7,97
2019/4/8,68
2019/4/9,43
2019/4/10,48
2019/4/11,56
2019/4/12,54
2019/4/13,48
2019/4/14,56
2019/4/15,59
2019/4/16,73
2019/4/17,91
2019/4/18,61
2019/4/19,87
2019/4/20,73
2019/4/21,74
2019/4/22,74
2019/4/23,77
2019/4/24,101
2019/4/25,74
2019/4/26,87
2019/4/27,68
2019/4/28,58
2019/4/29,52
2019/4/30,42
2019/3/1,53
2019/3/2,60
2019/3/3,66
2019/3/4,64
2019/3/5,63
2019/3/6,65
2019/3/7,52
2019/3/8,52
2019/3/9,61
2019/3/10,63
2019/3/11,58
2019/3/12,67
2019/3/13,56
2019/3/14,64
2019/3/15,67
2019/3/16,69
2019/3/17,61
2019/3/18,70
2019/3/19,69
2019/3/20,93
2019/3/21,84
2019/3/22,71
2019/3/23,73
2019/3/24,76
2019/3/25,80
2019/3/26,86
2019/3/27,113
2019/3/28,143
2019/3/29,84
2019/3/30,81
2019/3/31,73
2019/2/1,86
2019/2/2,77
2019/2/3,62
2019/2/4,69
2019/2/5,67
2019/2/6,50
2019/2/7,63
2019/2/8,88
2019/2/9,63
2019/2/10,68
2019/2/11,73
2019/2/12,77
2019/2/13,99
2019/2/14,120
2019/2/15,80
2019/2/16,66
2019/2/17,58
2019/2/18,61
2019/2/19,82
2019/2/20,65
2019/2/21,59
2019/2/22,66
2019/2/23,65
2019/2/24,57
2019/2/25,62
2019/2/26,70
2019/2/27,57
2019/2/28,56
2019/1/1,111
2019/1/2,126
2019/1/3,73
2019/1/4,74
2019/1/5,93
2019/1/6,84
2019/1/7,62
2019/1/8,68
2019/1/9,79
2019/1/10,70
2019/1/11,105
2019/1/12,93
2019/1/13,88
2019/1/14,62
2019/1/15,49
2019/1/16,62
2019/1/17,70
2019/1/18,56
2019/1/19,63
2019/1/20,52
2019/1/21,74
2019/1/22,81
2019/1/23,76
2019/1/24,67
2019/1/25,67
2019/1/26,66
2019/1/27,50
2019/1/28,57
2019/1/29,54
2019/1/30,59
2019/1/31,68
2018/12/1,90
2018/12/2,267
2018/12/3,164
2018/12/4,108
2018/12/5,100
2018/12/6,70
2018/12/7,61
2018/12/8,61
2018/12/9,73
2018/12/10,70
2018/12/11,89
2018/12/12,99
2018/12/13,101
2018/12/14,85
2018/12/15,80
2018/12/16,94
2018/12/17,105
2018/12/18,109
2018/12/19,99
2018/12/20,79
2018/12/21,65
2018/12/28,65
2018/12/29,75
2018/12/30,94
2018/12/31,89
2018/11/1,85
2018/11/2,73
2018/11/3,57
2018/11/4,38
2018/11/5,41
2018/11/6,50
2018/11/7,50
2018/11/8,73
2018/11/9,79
2018/11/10,61
2018/11/11,93
2018/11/12,106
2018/11/13,105
2018/11/14,82
2018/11/15,48
2018/11/16,51
2018/11/17,61
2018/11/18,67
2018/11/19,78
2018/11/20,65
2018/11/21,62
2018/11/22,89
2018/11/23,84
2018/11/24,85
2018/11/25,103
2018/11/26,491
2018/11/27,477
2018/11/28,332
2018/11/29,145
2018/11/30,99
2018/10/1,56
2018/10/2,60
2018/10/3,63
2018/10/4,61
2018/10/5,56
2018/10/6,58
2018/10/7,58
2018/10/8,45
2018/10/9,64
2018/10/10,67
2018/10/11,70
2018/10/12,64
2018/10/13,59
2018/10/14,58
2018/10/15,64
2018/10/16,59
2018/10/17,45
2018/10/18,46
2018/10/19,28
2018/10/20,45
2018/10/21,67
2018/10/22,117
2018/10/23,104
2018/10/24,80
2018/10/25,69
2018/10/26,81
2018/10/27,81
2018/10/28,73
2018/10/29,78
2018/10/30,79
2018/10/31,83
2018/9/2,41
2018/9/3,70
2018/9/4,46
2018/9/5,43
2018/9/6,54
2018/9/7,55
2018/9/8,58
2018/9/9,45
2018/9/10,56
2018/9/11,53
2018/9/12,65
2018/9/13,44
2018/9/14,56
2018/9/15,30
2018/9/16,40
2018/9/17,34
2018/9/18,32
2018/9/19,47
2018/9/20,62
2018/9/21,65
2018/9/22,78
2018/9/23,62
2018/9/24,43
2018/9/25,35
2018/9/26,38
2018/9/27,50
2018/9/28,65
2018/9/29,70
2018/9/30,63
2018/8/1,51
2018/8/2,39
2018/8/3,31
2018/8/4,60
2018/8/5,90
2018/8/6,73
2018/8/7,42
2018/8/8,50
2018/8/9,69
2018/8/10,60
2018/8/11,74
2018/8/12,65
2018/8/13,62
2018/8/14,56
2018/8/15,54
2018/8/16,50
2018/8/17,58
2018/8/18,77
2018/8/19,91
2018/8/20,63
2018/8/21,45
2018/8/22,70
2018/8/23,87
2018/8/25,49
2018/8/27,52
2018/8/29,68
2018/8/31,53
2018/7/1,45
2018/7/2,43
2018/7/3,53
2018/7/4,52
2018/7/5,61
2018/7/6,54
2018/7/7,55
2018/7/8,43
2018/7/9,75
2018/7/10,45
2018/7/11,73
2018/7/12,88
2018/7/13,87
2018/7/14,52
2018/7/15,175
2018/7/16,93
2018/7/17,73
2018/7/18,44
2018/7/19,65
2018/7/20,48
2018/7/21,61
2018/7/22,79
2018/7/23,47
2018/7/24,85
2018/7/25,83
2018/7/26,63
2018/7/27,60
2018/7/28,48
2018/7/29,67
2018/7/30,54
2018/7/31,52
2018/6/1,73
2018/6/2,92
2018/6/3,71
2018/6/4,63
2018/6/5,97
2018/6/6,86
2018/6/7,68
2018/6/8,57
2018/6/9,75
2018/6/10,78
2018/6/11,91
2018/6/12,102
2018/6/13,78
2018/6/14,97
2018/6/15,61
2018/6/16,65
2018/6/17,82
2018/6/18,72
2018/6/19,71
2018/6/20,92
2018/6/21,65
2018/6/22,89
2018/6/23,75
2018/6/24,75
2018/6/25,55
2018/6/26,64
2018/6/27,50
2018/6/28,57
2018/6/29,64
2018/6/30,64
2018/5/1,75
2018/5/2,94
2018/5/3,87
2018/5/4,114
2018/5/5,73
2018/5/6,59
2018/5/7,77
2018/5/8,60
2018/5/9,87
2018/5/10,44
2018/5/11,76
2018/5/12,94
2018/5/13,122
2018/5/14,93
2018/5/15,91
2018/5/16,199
2018/5/17,97
2018/5/18,126
2018/5/19,108
2018/5/20,65
2018/5/21,70
2018/5/22,60
2018/5/23,67
2018/5/24,66
2018/5/25,173
2018/5/26,143
2018/5/27,124
2018/5/28,100
2018/5/29,79
2018/5/30,86
2018/5/31,67
2018/4/1,123
2018/4/2,109
2018/4/3,206
2018/4/4,325
2018/4/5,239
2018/4/5,239
2018/4/6,145
2018/4/7,97
2018/4/8,103
2018/4/9,170
2018/4/10,333
2018/4/11,148
2018/4/12,118
2018/4/13,94
2018/4/14,93
2018/4/15,92
2018/4/16,97
2018/4/17,101
2018/4/18,99
2018/4/19,83
2018/4/20,105
2018/4/21,89
2018/4/22,78
2018/4/23,58
2018/4/24,41
2018/4/25,64
2018/4/26,74
2018/4/27,83
2018/4/28,85
2018/4/29,85
2018/4/30,57
2018/3/1,64
2018/3/2,89
2018/3/3,95
2018/3/4,66
2018/3/5,59
2018/3/6,68
2018/3/7,119
2018/3/8,90
2018/3/9,83
2018/3/10,82
2018/3/11,86
2018/3/12,93
2018/3/13,84
2018/3/14,86
2018/3/15,190
2018/3/16,223
2018/3/17,323
2018/3/18,180
2018/3/19,203
2018/3/20,144
2018/3/21,147
2018/3/22,97
2018/3/23,76
2018/3/24,78
2018/3/25,89
2018/3/26,141
2018/3/27,123
2018/3/28,103
2018/3/29,118
2018/3/30,157
2018/3/31,141
2018/2/1,91
2018/2/2,75
2018/2/3,83
2018/2/4,83
2018/2/5,105
2018/2/6,97
2018/2/7,93
2018/2/8,91
2018/2/9,376
2018/2/10,81
2018/2/11,91
2018/2/12,85
2018/2/13,106
2018/2/14,95
2018/2/15,75
2018/2/16,100
2018/2/17,84
2018/2/18,64
2018/2/19,72
2018/2/20,63
2018/2/21,51
2018/2/22,68
2018/2/23,75
2018/2/24,128
2018/2/25,95
2018/2/26,85
2018/2/27,85
2018/2/28,75
2018/1/1,147
2018/1/2,89
2018/1/3,96
2018/1/4,125
2018/1/5,110
2018/1/6,91
2018/1/7,69
2018/1/8,83
2018/1/9,101
2018/1/10,110
2018/1/11,114
2018/1/12,130
2018/1/13,140
2018/1/14,117
2018/1/15,113
2018/1/16,109
2018/1/17,124
2018/1/18,99
2018/1/19,113
2018/1/20,91
2018/1/21,85
2018/1/22,94
2018/1/23,94
2018/1/24,92
2018/1/25,102
2018/1/26,123
2018/1/27,105
2018/1/28,72
2018/1/29,83
2018/1/30,75
2018/1/31,110
2017/12/1,113
2017/12/2,131
2017/12/3,108
2017/12/4,72
2017/12/5,76
2017/12/6,86
2017/12/7,72
2017/12/8,76
2017/12/9,96
2017/12/10,98
2017/12/11,116
2017/12/12,109
2017/12/13,121
2017/12/14,88
2017/12/15,68
2017/12/16,58
2017/12/17,93
2017/12/18,89
2017/12/19,104
2017/12/20,132
2017/12/21,167
2017/12/22,148
2017/12/23,97
2017/12/24,115
2017/12/25,111
2017/12/26,121
2017/12/27,152
2017/12/28,273
2017/12/29,481
2017/12/30,319
2017/12/31,187
2017/11/1,103
2017/11/2,97
2017/11/3,122
2017/11/4,118
2017/11/5,106
2017/11/6,92
2017/11/7,86
2017/11/8,102
2017/11/9,109
2017/11/10,93
2017/11/11,98
2017/11/12,76
2017/11/13,75
2017/11/14,84
2017/11/15,100
2017/11/16,118
2017/11/17,88
2017/11/18,80
2017/11/19,75
2017/11/20,88
2017/11/21,75
2017/11/22,77
2017/11/23,90
2017/11/24,106
2017/11/25,109
2017/11/26,122
2017/11/27,113
2017/11/28,94
2017/11/29,95
2017/11/30,88
2017/10/1,107
2017/10/2,115
2017/10/3,56
2017/10/5,60
2017/10/6,52
2017/10/7,58
2017/10/8,59
2017/10/9,33
2017/10/10,56
2017/10/11,78
2017/10/12,72
2017/10/13,78
2017/10/14,72
2017/10/15,98
2017/10/16,62
2017/10/17,40
2017/10/18,59
2017/10/19,70
2017/10/20,72
2017/10/21,79
2017/10/22,90
2017/10/23,73
2017/10/24,60
2017/10/25,61
2017/10/26,82
2017/10/27,91
2017/10/28,69
2017/10/29,83
2017/10/30,91
2017/10/31,94
2017/9/1,58
2017/9/2,75
2017/9/3,76
2017/9/4,60
2017/9/5,58
2017/9/6,71
2017/9/7,80
2017/9/8,54
2017/9/9,60
2017/9/10,78
2017/9/11,93
2017/9/12,73
2017/9/13,68
2017/9/14,68
2017/9/15,71
2017/9/16,56
2017/9/17,79
2017/9/18,63
2017/9/19,56
2017/9/20,72
2017/9/21,71
2017/9/22,74
2017/9/23,63
2017/9/24,74
2017/9/25,93
2017/9/26,69
2017/9/27,70
2017/9/28,82
2017/9/29,76
2017/9/30,75
2017/8/1,83
2017/8/2,84
2017/8/3,82
2017/8/4,68
2017/8/5,59
2017/8/6,52
2017/8/7,50
2017/8/8,61
2017/8/9,63
2017/8/10,81
2017/8/11,74
2017/8/12,57
2017/8/13,53
2017/8/14,73
2017/8/15,70
2017/8/16,70
2017/8/17,54
2017/8/18,57
2017/8/19,56
2017/8/20,42
2017/8/21,48
2017/8/22,42
2017/8/23,41
2017/8/24,60
2017/8/25,46
2017/8/26,39
2017/8/27,53
2017/8/28,47
2017/8/29,42
2017/8/30,65
2017/8/31,92
2017/7/1,74
2017/7/2,77
2017/7/3,56
2017/7/4,78
2017/7/5,48
2017/7/6,73
2017/7/7,81
2017/7/8,81
2017/7/9,64
2017/7/10,73
2017/7/11,94
2017/7/12,94
2017/7/13,73
2017/7/14,78
2017/7/15,75
2017/7/16,80
2017/7/17,70
2017/7/18,75
2017/7/19,79
2017/7/20,147
2017/7/21,65
2017/7/22,78
2017/7/23,54
2017/7/24,52
2017/7/25,64
2017/7/26,48
2017/7/27,41
2017/7/28,49
2017/7/29,69
2017/7/30,86
2017/7/31,80
2017/6/1,83
2017/6/2,88
2017/6/3,66
2017/6/4,56
2017/6/5,58
2017/6/6,60
2017/6/7,67
2017/6/8,65
2017/6/9,56
2017/6/10,77
2017/6/11,84
2017/6/12,79
2017/6/13,61
2017/6/14,58
2017/6/15,61
2017/6/16,83
2017/6/17,85
2017/6/18,76
2017/6/19,85
2017/6/20,69
2017/6/21,58
2017/6/22,90
2017/6/23,89
2017/6/24,79
2017/6/25,89
2017/6/26,88
2017/6/27,75
2017/6/28,76
2017/6/29,78
2017/6/30,74
2017/5/1,94
2017/5/2,80
2017/5/3,195
2017/5/4,371
2017/5/5,422
2017/5/6,198
2017/5/7,82
2017/5/8,84
2017/5/9,105
2017/5/10,120
2017/5/11,70
2017/5/12,97
2017/5/13,106
2017/5/14,67
2017/5/15,61
2017/5/16,73
2017/5/17,79
2017/5/18,64
2017/5/19,90
2017/5/20,71
2017/5/20,71
2017/5/21,114
2017/5/22,109
2017/5/23,69
2017/5/24,69
2017/5/25,71
2017/5/26,83
2017/5/27,86
2017/5/28,86
2017/5/29,107
2017/5/30,131
2017/5/31,115
2017/4/1,76
2017/4/2,79
2017/4/3,69
2017/4/4,87
2017/4/5,98
2017/4/6,97
2017/4/7,129
2017/4/8,50
2017/4/9,57
2017/4/10,56
2017/4/11,60
2017/4/12,82
2017/4/13,87
2017/4/14,107
2017/4/15,61
2017/4/16,82
2017/4/17,178
2017/4/18,458
2017/4/19,70
2017/4/20,93
2017/4/21,140
2017/4/22,106
2017/4/23,92
2017/4/23,92
2017/4/24,99
2017/4/25,65
2017/4/26,57
2017/4/27,73
2017/4/28,87
2017/4/29,91
2017/4/30,74
2017/3/1,171
2017/3/2,99
2017/3/3,101
2017/3/4,79
2017/3/5,59
2017/3/6,68
2017/3/7,59
2017/3/8,71
2017/3/9,70
2017/3/10,66
2017/3/11,65
2017/3/12,63
2017/3/13,64
2017/3/14,68
2017/3/15,78
2017/3/16,107
2017/3/17,69
2017/3/18,84
2017/3/19,66
2017/3/20,84
2017/3/21,72
2017/3/22,73
2017/3/23,68
2017/3/24,90
2017/3/25,91
2017/3/26,107
2017/3/27,120
2017/3/28,191
2017/3/29,125
2017/3/30,59
2017/3/31,62
2017/2/1,81
2017/2/2,89
2017/2/3,91
2017/2/4,88
2017/2/5,113
2017/2/6,101
2017/2/7,86
2017/2/8,63
2017/2/9,84
2017/2/10,55
2017/2/11,89
2017/2/12,125
2017/2/13,109
2017/2/14,87
2017/2/15,108
2017/2/16,132
2017/2/17,115
2017/2/18,117
2017/2/19,119
2017/2/20,152
2017/2/21,170
2017/2/22,117
2017/2/23,89
2017/2/24,90
2017/2/25,63
2017/2/26,71
2017/2/27,80
2017/2/28,92
2017/1/1,95
2017/1/2,128
2017/1/3,142
2017/1/4,181
2017/1/5,171
2017/1/6,84
2017/1/7,73
2017/1/8,68
2017/1/9,53
2017/1/10,47
2017/1/11,77
2017/1/12,115
2017/1/13,128
2017/1/14,117
2017/1/15,87
2017/1/16,79
2017/1/17,67
2017/1/18,86
2017/1/19,261
2017/1/20,138
2017/1/21,99
2017/1/22,86
2017/1/23,107
2017/1/24,124
2017/1/25,171
2017/1/26,370
2017/1/27,162
2017/1/28,155
2017/1/29,102
2017/1/30,93
2017/1/31,86
2016/12/1,133
2016/12/2,145
2016/12/3,156
2016/12/4,174
2016/12/5,102
2016/12/6,113
2016/12/7,125
2016/12/8,147
2016/12/9,137
2016/12/10,141
2016/12/11,172
2016/12/12,112
2016/12/13,122
2016/12/14,105
2016/12/15,100
2016/12/16,126
2016/12/17,149
2016/12/18,172
2016/12/19,166
2016/12/20,229
2016/12/21,221
2016/12/22,145
2016/12/23,138
2016/12/24,115
2016/12/25,94
2016/12/26,74
2016/12/27,101
2016/12/28,91
2016/12/29,82
2016/12/30,113
2016/12/31,122
2016/11/1,104
2016/11/2,114
2016/11/3,138
2016/11/4,142
2016/11/5,137
2016/11/6,102
2016/11/7,122
2016/11/8,122
2016/11/9,121
2016/11/10,500
2016/11/11,400
2016/11/12,155
2016/11/13,154
2016/11/14,118
2016/11/15,130
2016/11/16,144
2016/11/17,157
2016/11/18,255
2016/11/19,204
2016/11/20,158
2016/11/21,103
2016/11/22,70
2016/11/23,82
2016/11/24,96
2016/11/25,121
2016/11/26,196
2016/11/27,158
2016/11/28,117
2016/11/29,97
2016/11/30,121
2016/10/1,79
2016/10/2,90
2016/10/3,155
2016/10/4,81
2016/10/5,79
2016/10/6,56
2016/10/7,64
2016/10/8,84
2016/10/9,60
2016/10/10,70
2016/10/11,95
2016/10/12,82
2016/10/13,81
2016/10/14,61
2016/10/15,79
2016/10/16,77
2016/10/17,86
2016/10/18,96
2016/10/19,84
2016/10/20,122
2016/10/21,114
2016/10/22,49
2016/10/23,82
2016/10/24,53
2016/10/25,66
2016/10/26,75
2016/10/27,51
2016/10/28,41
2016/10/29,60
2016/10/30,77
2016/10/31,98
2016/9/1,83
2016/9/2,84
2016/9/3,74
2016/9/4,87
2016/9/5,78
2016/9/6,54
2016/9/7,78
2016/9/8,80
2016/9/9,57
2016/9/10,73
2016/9/11,73
2016/9/12,52
2016/9/13,67
2016/9/14,70
2016/9/15,66
2016/9/16,70
2016/9/17,56
2016/9/18,55
2016/9/19,74
2016/9/20,73
2016/9/21,77
2016/9/22,87
2016/9/23,82
2016/9/24,80
2016/9/25,67
2016/9/26,80
2016/9/27,67
2016/9/28,67
2016/9/29,73
2016/9/30,79
2016/8/1,58
2016/8/2,57
2016/8/3,60
2016/8/4,63
2016/8/5,72
2016/8/6,80
2016/8/7,100
2016/8/8,77
2016/8/9,67
2016/8/10,100
2016/8/11,63
2016/8/12,73
2016/8/13,68
2016/8/14,63
2016/8/15,52
2016/8/16,79
2016/8/17,67
2016/8/18,47
2016/8/19,43
2016/8/20,52
2016/8/21,77
2016/8/22,64
2016/8/23,34
2016/8/24,42
2016/8/25,40
2016/8/26,53
2016/8/27,65
2016/8/28,76
2016/8/29,55
2016/8/30,67
2016/8/31,85
2016/7/1,78
2016/7/2,91
2016/7/3,82
2016/7/4,80
2016/7/5,65
2016/7/6,55
2016/7/7,52
2016/7/8,51
2016/7/9,71
2016/7/10,56
2016/7/11,33
2016/7/12,63
2016/7/13,57
2016/7/14,61
2016/7/15,80
2016/7/16,64
2016/7/17,83
2016/7/18,46
2016/7/19,72
2016/7/20,75
2016/7/21,94
2016/7/22,89
2016/7/23,67
2016/7/24,51
2016/7/25,63
2016/7/26,69
2016/7/27,83
2016/7/28,83
2016/7/29,77
2016/7/30,61
2016/7/31,60
2016/6/1,74
2016/6/2,70
2016/6/3,84
2016/6/4,52
2016/6/5,79
2016/6/6,74
2016/6/7,63
2016/6/8,50
2016/6/9,53
2016/6/10,63
2016/6/11,88
2016/6/12,66
2016/6/13,75
2016/6/14,109
2016/6/15,55
2016/6/16,70
2016/6/17,79
2016/6/18,96
2016/6/19,80
2016/6/20,59
2016/6/21,76
2016/6/22,80
2016/6/23,53
2016/6/24,77
2016/6/25,71
2016/6/26,68
2016/6/27,112
2016/6/28,80
2016/6/29,100
2016/6/30,69
2016/5/1,201
2016/5/2,77
2016/5/3,99
2016/5/4,123
