date,score
2019-07-01,61
2019-07-02,67
2019-07-03,47
2019-07-04,20
2019-07-05,26
2019-07-06,36
2019-07-07,37
2019-07-12,34
2019-07-13,20
2019-07-14,25
2019-07-15,18
2019-06-01,42
2019-06-02,49
2019-06-03,67
2019-06-04,73
2019-06-05,56
2019-06-06,24
2019-06-07,42
2019-06-08,20
2019-06-09,31
2019-06-10,46
2019-06-11,76
2019-06-14,41
2019-06-15,60
2019-06-17,41
2019-06-18,45
2019-06-19,40
2019-06-20,41
2019-06-25,32
2019-06-26,44
2019-06-27,72
2019-06-28,61
2019-06-29,48
2019-06-30,40
2019-05-01,61
2019-05-02,73
2019-05-03,88
2019-05-04,77
2019-05-05,68
2019-05-06,53
2019-05-07,56
2019-05-08,62
2019-05-09,89
2019-05-10,101
2019-05-11,106
2019-05-12,92
2019-05-13,47
2019-05-14,73
2019-05-15,48
2019-05-16,40
2019-05-17,47
2019-05-18,64
2019-05-19,57
2019-05-20,73
2019-05-21,78
2019-05-22,79
2019-05-23,93
2019-05-24,78
2019-05-25,47
2019-05-26,32
2019-05-27,47
2019-05-28,63
2019-05-29,66
2019-05-30,65
2019-05-31,58
2019-04-01,48
2019-04-02,55
2019-04-03,33
2019-04-04,33
2019-04-05,49
2019-04-06,59
2019-04-07,81
2019-04-08,73
2019-04-09,58
2019-04-10,35
2019-04-11,38
2019-04-12,43
2019-04-13,57
2019-04-14,52
2019-04-15,64
2019-04-16,54
2019-04-17,69
2019-04-18,69
2019-04-19,34
2019-04-20,58
2019-04-21,72
2019-04-22,40
2019-04-23,52
2019-04-24,47
2019-04-25,42
2019-04-26,59
2019-04-27,53
2019-04-28,51
2019-04-29,37
2019-04-30,30
2019-03-01,37
2019-03-02,21
2019-03-03,40
2019-03-04,53
2019-03-05,39
2019-03-06,42
2019-03-07,85
2019-03-08,74
2019-03-09,84
2019-03-10,74
2019-03-11,91
2019-03-12,90
2019-03-13,78
2019-03-14,54
2019-03-15,70
2019-03-16,79
2019-03-17,72
2019-03-18,61
2019-03-19,62
2019-03-20,69
2019-03-21,48
2019-03-22,53
2019-03-23,38
2019-03-24,51
2019-03-25,43
2019-03-26,61
2019-03-27,55
2019-03-28,40
2019-03-29,53
2019-03-30,72
2019-03-31,54
2019-02-01,59
2019-02-02,51
2019-02-03,66
2019-02-04,97
2019-02-05,58
2019-02-06,70
2019-02-07,39
2019-02-08,23
2019-02-09,21
2019-02-10,27
2019-02-11,35
2019-02-12,33
2019-02-13,19
2019-02-14,20
2019-02-15,12
2019-02-16,25
2019-02-17,68
2019-02-18,24
2019-02-19,24
2019-02-20,34
2019-02-21,27
2019-02-22,30
2019-02-23,37
2019-02-24,78
2019-02-25,91
2019-02-26,124
2019-02-27,55
2019-02-28,45
2019-01-01,54
2019-01-02,55
2019-01-03,71
2019-01-04,21
2019-01-05,62
2019-01-06,92
2019-01-07,63
2019-01-08,98
2019-01-09,25
2019-01-10,19
2019-01-11,25
2019-01-12,43
2019-01-13,65
2019-01-14,97
2019-01-15,92
2019-01-16,118
2019-01-17,98
2019-01-18,78
2019-01-19,72
2019-01-20,119
2019-01-21,155
2019-01-22,116
2019-01-23,100
2019-01-24,93
2019-01-25,105
2019-01-26,91
2019-01-27,65
2019-01-28,86
2019-01-29,91
2019-01-30,109
2019-01-31,56
2018-12-01,133
2018-12-02,110
2018-12-03,42
