date,score
2019-07-01,38
2019-07-02,39
2019-07-03,46
2019-07-04,25
2019-07-05,30
2019-07-06,31
2019-07-07,33
2019-07-12,33
2019-07-13,37
2019-07-14,16
2019-07-15,41
2019-06-01,33
2019-06-02,41
2019-06-03,60
2019-06-04,43
2019-06-05,30
2019-06-06,30
2019-06-07,27
2019-06-08,26
2019-06-09,34
2019-06-10,31
2019-06-11,32
2019-06-14,44
2019-06-15,46
2019-06-17,26
2019-06-18,28
2019-06-19,31
2019-06-20,28
2019-06-25,35
2019-06-26,38
2019-06-27,37
2019-06-28,36
2019-06-29,37
2019-06-30,37
2019-05-01,40
2019-05-02,56
2019-05-03,59
2019-05-04,33
2019-05-05,19
2019-05-06,25
2019-05-07,21
2019-05-08,18
2019-05-09,40
2019-05-10,57
2019-05-11,59
2019-05-12,45
2019-05-13,46
2019-05-14,37
2019-05-15,41
2019-05-16,45
2019-05-17,49
2019-05-18,51
2019-05-19,53
2019-05-20,45
2019-05-21,60
2019-05-22,69
2019-05-23,76
2019-05-24,71
2019-05-25,36
2019-05-26,36
2019-05-27,40
2019-05-28,37
2019-05-29,47
2019-05-30,56
2019-05-31,34
2019-04-01,34
2019-04-02,37
2019-04-03,42
2019-04-04,25
2019-04-05,32
2019-04-06,51
2019-04-07,52
2019-04-08,41
2019-04-09,47
2019-04-10,54
2019-04-11,53
2019-04-12,39
2019-04-13,56
2019-04-14,41
2019-04-15,37
2019-04-16,30
2019-04-17,58
2019-04-18,38
2019-04-19,51
2019-04-20,57
2019-04-21,56
2019-04-22,53
2019-04-23,43
2019-04-24,46
2019-04-25,52
2019-04-26,54
2019-04-27,48
2019-04-28,38
2019-04-29,43
2019-04-30,36
2019-03-01,65
2019-03-02,50
2019-03-03,38
2019-03-04,77
2019-03-05,41
2019-03-06,21
2019-03-07,19
2019-03-08,17
2019-03-09,20
2019-03-10,35
2019-03-11,65
2019-03-12,84
2019-03-13,101
2019-03-14,103
2019-03-15,51
2019-03-16,45
2019-03-17,20
2019-03-18,34
2019-03-19,56
2019-03-20,49
2019-03-21,50
2019-03-22,65
2019-03-23,37
2019-03-24,29
2019-03-25,33
2019-03-26,40
2019-03-27,46
2019-03-28,54
2019-03-29,54
2019-03-30,61
2019-03-31,56
2019-02-01,38
2019-02-02,69
2019-02-03,42
2019-02-04,66
2019-02-05,156
2019-02-06,71
2019-02-07,28
2019-02-08,34
2019-02-09,43
2019-02-10,58
2019-02-11,23
2019-02-12,38
2019-02-13,74
2019-02-14,55
2019-02-15,54
2019-02-16,41
