date,score
2013/10/31,59
2013/10/30,56
2013/10/29,60
2013/10/28,48
2013/11/30,108
2013/11/29,85
2013/11/28,79
2013/11/27,143
2013/11/26,171
2013/11/25,93
2013/11/24,80
2013/11/23,81
2013/11/22,103
2013/11/21,168
2013/11/20,134
2013/11/19,97
2013/11/18,83
2013/11/17,150
2013/11/16,233
2013/11/15,187
2013/11/14,56
2013/11/13,43
2013/11/12,52
2013/11/11,50
2013/11/10,95
2013/11/9,86
2013/11/8,214
2013/11/7,229
2013/11/6,112
2013/11/5,62
2013/11/4,80
2013/11/3,103
2013/11/2,69
2013/11/1,48
2013/12/31,157
2013/12/30,195
2013/12/29,171
2013/12/28,107
2013/12/27,161
2013/12/26,213
2013/12/25,169
2013/12/24,125
2013/12/23,69
2013/12/22,76
2013/12/21,169
2013/12/20,206
2013/12/19,94
2013/12/18,33
2013/12/17,22
2013/12/16,81
2013/12/15,99
2013/12/14,83
2013/12/13,173
2013/12/12,115
2013/12/11,140
2013/12/10,164
2013/12/9,210
2013/12/8,168
2013/12/7,354
2013/12/6,421
2013/12/5,205
2013/12/4,170
2013/12/3,245
2013/12/2,307
2013/12/1,197
2014/1/31,180
2014/1/30,237
2014/1/29,79
2014/1/28,69
2014/1/27,34
2014/1/26,52
2014/1/25,133
2014/1/24,43
2014/1/22,67
2014/1/21,72
2014/1/20,234
2014/1/19,158
2014/1/18,207
2014/1/17,126
2014/1/16,103
2014/1/15,43
2014/1/14,30
2014/1/13,72
2014/1/12,108
2014/1/11,61
2014/1/10,68
2014/1/9,52
2014/1/8,53
2014/1/7,63
2014/1/6,44
2014/1/5,64
2014/1/4,144
2014/1/3,182
2014/1/2,166
2014/1/1,168
2014/2/28,108
2014/2/27,127
2014/2/26,70
2014/2/25,47
2014/2/24,111
2014/2/23,113
2014/2/22,77
2014/2/21,134
2014/2/20,197
2014/2/19,79
2014/2/18,36
2014/2/17,39
2014/2/16,31
2014/2/15,41
2014/2/14,58
2014/2/13,39
2014/2/12,36
2014/2/11,49
2014/2/10,38
2014/2/9,63
2014/2/8,58
2014/2/7,27
2014/2/6,25
2014/2/5,31
2014/2/4,39
2014/2/3,72
2014/2/2,230
2014/2/1,89
