date,score
2013/10/31,192
2013/10/30,163
2013/10/29,350
2013/10/28,469
2013/11/30,153
2013/11/29,152
2013/11/28,113
2013/11/27,110
2013/11/26,131
2013/11/25,127
2013/11/24,407
2013/11/23,457
2013/11/22,275
2013/11/21,171
2013/11/20,151
2013/11/19,124
2013/11/18,116
2013/11/17,118
2013/11/16,200
2013/11/15,205
2013/11/14,351
2013/11/13,268
2013/11/12,142
2013/11/11,103
2013/11/10,148
2013/11/9,174
2013/11/8,154
2013/11/7,104
2013/11/6,161
2013/11/5,190
2013/11/4,140
2013/11/3,150
2013/11/2,228
2013/11/1,302
2013/12/31,129
2013/12/30,153
2013/12/29,116
2013/12/28,127
2013/12/27,123
2013/12/26,430
2013/12/25,500
2013/12/24,500
2013/12/23,500
2013/12/22,433
2013/12/21,500
2013/12/20,500
2013/12/19,339
2013/12/18,238
2013/12/17,461
2013/12/16,500
2013/12/15,464
2013/12/14,270
2013/12/13,135
2013/12/12,164
2013/12/11,145
2013/12/10,159
2013/12/9,380
2013/12/8,499
2013/12/7,413
2013/12/6,215
2013/12/5,257
2013/12/4,314
2013/12/3,424
2013/12/2,297
2013/12/1,180
2014/1/31,353
2014/1/30,381
2014/1/29,377
2014/1/28,306
2014/1/27,334
2014/1/26,213
2014/1/25,189
2014/1/24,391
2014/1/22,244
2014/1/21,151
2014/1/20,128
2014/1/19,418
2014/1/18,349
2014/1/17,499
2014/1/16,497
2014/1/15,429
2014/1/14,308
2014/1/13,231
2014/1/12,250
2014/1/11,444
2014/1/10,296
2014/1/9,269
2014/1/8,206
2014/1/7,360
2014/1/6,339
2014/1/5,283
2014/1/4,239
2014/1/3,197
2014/1/2,232
2014/1/1,112
2014/2/28,128
2014/2/27,197
2014/2/26,373
2014/2/25,451
2014/2/24,479
2014/2/23,498
2014/2/22,488
2014/2/21,385
2014/2/20,270
2014/2/19,248
2014/2/18,133
2014/2/17,228
2014/2/16,485
2014/2/15,452
2014/2/14,330
2014/2/13,336
2014/2/12,340
2014/2/11,204
2014/2/10,109
2014/2/9,87
2014/2/8,214
2014/2/7,173
2014/2/6,196
2014/2/5,126
2014/2/4,149
2014/2/3,141
2014/2/2,338
2014/2/1,257
2014/3/31,149
2014/3/30,239
2014/3/29,213
2014/3/28,245
2014/3/27,267
2014/3/26,309
2014/3/25,285
2014/3/23,228
2014/3/22,249
2014/3/21,149
2014/3/20,103
2014/3/19,115
2014/3/18,375
2014/3/17,447
2014/3/16,308
2014/3/15,184
2014/3/14,130
2014/3/13,95
2014/3/12,218
2014/3/11,213
2014/3/10,258
2014/3/9,296
2014/3/8,266
2014/3/7,231
2014/3/6,158
2014/3/5,143
2014/3/4,275
2014/3/3,290
2014/3/2,273
2014/3/1,187
2014/4/30,211
2014/4/29,143
2014/4/28,137
2014/4/27,130
2014/4/26,120
2014/4/25,153
2014/4/24,137
2014/4/23,171
2014/4/22,150
2014/4/21,250
2014/4/20,227
2014/4/19,157
2014/4/18,241
2014/4/17,180
2014/4/16,130
2014/4/15,120
2014/4/14,176
2014/4/13,284
2014/4/12,180
2014/4/11,132
2014/4/10,220
2014/4/9,253
2014/4/8,230
2014/4/7,205
2014/4/6,224
2014/4/5,154
2014/4/4,146
2014/4/3,127
2014/4/2,212
2014/4/1,117
2014/5/31,186
2014/5/30,199
2014/5/29,146
2014/5/28,99
2014/5/27,116
2014/5/26,85
2014/5/25,167
2014/5/24,157
2014/5/23,127
2014/5/22,173
2014/5/21,203
2014/5/20,163
2014/5/19,175
2014/5/18,162
2014/5/17,144
2014/5/16,134
2014/5/15,112
2014/5/14,121
2014/5/13,166
2014/5/12,90
2014/5/11,79
2014/5/10,141
2014/5/9,171
2014/5/8,142
2014/5/7,148
2014/5/6,208
2014/5/5,102
2014/5/4,101
2014/5/3,191
2014/5/2,111
2014/5/1,270
2014/6/30,97
2014/6/29,86
2014/6/28,80
2014/6/27,87
2014/6/26,105
2014/6/25,136
2014/6/24,130
2014/6/23,98
2014/6/22,127
2014/6/21,101
2014/6/20,68
2014/6/19,184
2014/6/18,228
2014/6/17,209
2014/6/16,199
2014/6/15,166
2014/6/14,139
2014/6/13,183
2014/6/12,96
2014/6/11,117
2014/6/10,180
2014/6/9,110
2014/6/8,120
2014/6/7,89
2014/6/6,162
2014/6/5,104
2014/6/4,93
2014/6/3,82
2014/6/2,69
2014/6/1,102
2014/7/31,157
2014/7/30,160
2014/7/29,153
2014/7/28,132
2014/7/27,136
2014/7/26,147
2014/7/25,107
2014/7/24,58
2014/7/23,51
2014/7/22,61
2014/7/21,111
2014/7/20,79
2014/7/19,92
2014/7/18,108
2014/7/17,133
2014/7/16,155
2014/7/15,111
2014/7/14,93
2014/7/13,73
2014/7/12,92
2014/7/11,144
2014/7/10,104
2014/7/9,75
2014/7/8,181
2014/7/7,206
2014/7/6,177
2014/7/5,107
2014/7/4,81
2014/7/3,159
2014/7/2,136
2014/7/1,143
2014/8/31,88
2014/8/30,104
2014/8/29,89
2014/8/28,100
2014/8/27,86
2014/8/26,85
2014/8/25,62
2014/8/24,49
2014/8/23,138
2014/8/21,146
2014/8/20,118
2014/8/19,83
2014/8/18,84
2014/8/17,79
2014/8/16,123
2014/8/15,77
2014/8/14,65
2014/8/13,83
2014/8/12,83
2014/8/11,154
2014/8/10,146
2014/8/9,72
2014/8/7,42
2014/8/6,37
2014/8/5,41
2014/8/4,184
2014/8/3,179
2014/8/2,172
2014/8/1,158
2014/9/30,50
2014/9/29,98
2014/9/28,181
2014/9/27,207
2014/9/26,179
2014/9/25,115
2014/9/24,129
2014/9/23,181
2014/9/22,200
2014/9/21,229
2014/9/20,204
2014/9/19,145
2014/9/18,78
2014/9/17,48
2014/9/16,52
2014/9/15,39
2014/9/14,125
2014/9/13,82
2014/9/12,57
2014/9/11,117
2014/9/10,96
2014/9/9,74
2014/9/8,125
2014/9/7,122
2014/9/6,104
2014/9/5,102
2014/9/4,56
2014/9/3,31
2014/9/2,84
2014/9/1,128
2014/10/31,243
2014/10/30,277
2014/10/29,207
2014/10/28,102
2014/10/27,71
2014/10/26,231
2014/10/25,277
2014/10/24,466
2014/10/23,327
2014/10/22,170
2014/10/21,126
2014/10/20,255
2014/10/19,285
2014/10/18,146
2014/10/17,130
2014/10/16,88
2014/10/15,109
2014/10/14,102
2014/10/13,48
2014/10/12,94
2014/10/11,276
2014/10/10,407
2014/10/9,487
2014/10/8,379
2014/10/7,256
2014/10/6,90
2014/10/5,159
2014/10/4,219
2014/10/3,222
2014/10/2,189
2014/10/1,133
2014/11/30,161
2014/11/29,167
2014/11/28,114
2014/11/27,311
2014/11/26,330
2014/11/25,225
2014/11/24,232
2014/11/23,220
2014/11/22,345
2014/11/21,461
2014/11/20,390
2014/11/19,232
2014/11/18,193
2014/11/17,91
2014/11/16,106
2014/11/15,125
2014/11/14,94
2014/11/13,89
2014/11/12,55
2014/11/11,126
2014/11/10,206
2014/11/9,178
2014/11/8,111
2014/11/7,70
2014/11/6,86
2014/11/5,150
2014/11/4,145
2014/11/3,81
2014/11/2,55
2014/11/1,155
2014/12/31,104
2014/12/30,180
2014/12/29,112
2014/12/28,177
2014/12/27,288
2014/12/26,215
2014/12/25,137
2014/12/24,157
2014/12/23,257
2014/12/22,111
2014/12/21,104
2014/12/20,100
2014/12/19,237
2014/12/18,173
2014/12/17,101
2014/12/16,56
2014/12/15,185
2014/12/14,182
2014/12/13,109
2014/12/12,64
2014/12/11,133
2014/12/10,166
2014/12/9,256
2014/12/8,229
2014/12/7,262
2014/12/6,257
2014/12/5,116
2014/12/4,67
2014/12/3,151
2014/12/2,166
2014/12/1,72
2015/1/31,150
2015/1/30,122
2015/1/29,177
2015/1/28,98
2015/1/27,70
2015/1/26,278
2015/1/25,142
2015/1/24,273
2015/1/23,233
2015/1/22,149
2015/1/21,119
2015/1/20,190
2015/1/19,98
2015/1/18,110
2015/1/17,137
2015/1/16,327
2015/1/15,364
2015/1/14,312
2015/1/13,223
2015/1/12,144
2015/1/11,176
2015/1/10,273
2015/1/9,304
2015/1/8,301
2015/1/7,170
2015/1/6,99
2015/1/5,436
2015/1/4,483
2015/1/3,321
2015/1/2,183
2015/1/1,128
2015/2/28,131
2015/2/27,95
2015/2/26,116
2015/2/25,309
2015/2/24,291
2015/2/23,150
2015/2/22,87
2015/2/21,256
2015/2/20,310
2015/2/19,305
2015/2/18,109
2015/2/17,199
2015/2/16,229
2015/2/15,267
2015/2/14,230
2015/2/13,162
2015/2/12,185
2015/2/11,125
2015/2/10,158
2015/2/9,152
2015/2/8,93
2015/2/7,102
2015/2/6,184
2015/2/5,89
2015/2/4,122
2015/2/3,280
2015/2/2,219
2015/2/1,165
2015/3/31,158
2015/3/30,155
2015/3/29,167
2015/3/28,139
2015/3/27,122
2015/3/26,92
2015/3/25,117
2015/3/24,132
2015/3/23,107
2015/3/22,216
2015/3/21,113
2015/3/20,142
2015/3/19,186
2015/3/18,91
2015/3/17,196
2015/3/16,230
2015/3/15,200
2015/3/14,170
2015/3/13,180
2015/3/12,150
2015/3/11,111
2015/3/10,114
2015/3/9,124
2015/3/8,203
2015/3/7,170
2015/3/6,188
2015/3/5,126
2015/3/4,89
2015/3/3,91
2015/3/2,125
2015/3/1,73
2015/4/30,133
2015/4/29,89
2015/4/28,94
2015/4/27,91
2015/4/26,113
2015/4/25,126
2015/4/24,120
2015/4/23,98
2015/4/22,79
2015/4/21,109
2015/4/20,99
2015/4/19,68
2015/4/18,167
2015/4/17,138
2015/4/16,173
2015/4/15,152
2015/4/14,88
2015/4/13,65
2015/4/12,85
2015/4/11,161
2015/4/10,138
2015/4/9,139
2015/4/8,129
2015/4/7,80
2015/4/6,65
2015/4/5,123
2015/4/4,93
2015/4/3,145
2015/4/2,67
2015/4/1,64
2015/5/31,107
2015/5/30,88
2015/5/29,107
2015/5/28,129
2015/5/27,149
2015/5/26,116
2015/5/25,112
2015/5/24,119
2015/5/23,134
2015/5/22,92
2015/5/21,79
2015/5/20,62
2015/5/19,86
2015/5/18,98
2015/5/17,124
2015/5/16,101
2015/5/15,85
2015/5/14,84
2015/5/13,69
2015/5/12,52
2015/5/11,56
2015/5/10,44
2015/5/9,60
2015/5/8,102
2015/5/7,105
2015/5/6,109
2015/5/5,126
2015/5/4,83
2015/5/3,123
2015/5/2,56
2015/5/1,104
2015/6/30,88
2015/6/29,91
2015/6/28,144
2015/6/27,126
2015/6/26,144
2015/6/25,99
2015/6/24,91
2015/6/23,145
2015/6/22,137
2015/6/21,83
2015/6/20,109
2015/6/19,81
2015/6/18,87
2015/6/17,178
2015/6/16,136
2015/6/15,116
2015/6/14,80
2015/6/13,61
2015/6/12,74
2015/6/11,58
2015/6/10,167
2015/6/9,131
2015/6/8,72
2015/6/7,98
2015/6/6,121
2015/6/5,113
2015/6/4,113
2015/6/3,88
2015/6/2,130
2015/6/1,149
2015/7/31,76
2015/7/30,118
2015/7/29,123
2015/7/28,140
2015/7/27,136
2015/7/26,172
2015/7/25,123
2015/7/24,140
2015/7/23,135
2015/7/22,181
2015/7/21,145
2015/7/20,207
2015/7/19,156
2015/7/18,126
2015/7/17,121
2015/7/16,84
2015/7/15,165
2015/7/14,149
2015/7/13,141
2015/7/12,88
2015/7/11,73
2015/7/10,112
2015/7/9,161
2015/7/8,115
2015/7/7,142
2015/7/6,146
2015/7/5,94
2015/7/4,84
2015/7/3,66
2015/7/2,68
2015/7/1,54
2015/8/31,58
2015/8/30,76
2015/8/29,81
2015/8/28,88
2015/8/27,86
2015/8/26,70
2015/8/25,61
2015/8/24,57
2015/8/23,83
2015/8/22,108
2015/8/21,119
2015/8/20,134
2015/8/19,92
2015/8/18,127
2015/8/17,149
2015/8/16,88
2015/8/15,93
2015/8/14,116
2015/8/13,148
2015/8/12,167
2015/8/11,132
2015/8/10,134
2015/8/9,127
2015/8/8,123
2015/8/7,106
2015/8/6,77
2015/8/5,94
2015/8/4,55
2015/8/3,75
2015/8/2,188
2015/8/1,77
2015/9/30,56
2015/9/29,87
2015/9/28,131
2015/9/27,143
2015/9/26,85
2015/9/25,105
2015/9/24,137
2015/9/23,120
2015/9/22,133
2015/9/21,118
2015/9/20,78
2015/9/19,113
2015/9/18,127
2015/9/17,107
2015/9/16,98
2015/9/15,90
2015/9/14,95
2015/9/13,75
2015/9/12,43
2015/9/11,45
2015/9/10,71
2015/9/9,106
2015/9/8,83
2015/9/7,56
2015/9/6,43
2015/9/5,75
2015/9/4,42
2015/9/3,29
2015/9/2,25
2015/9/1,42
2015/10/31,135
2015/10/30,86
2015/10/29,60
2015/10/28,82
2015/10/27,70
2015/10/26,71
2015/10/25,68
2015/10/24,133
2015/10/23,96
2015/10/22,56
2015/10/21,131
2015/10/20,238
2015/10/19,129
2015/10/18,212
2015/10/17,208
2015/10/16,136
2015/10/15,137
2015/10/14,164
2015/10/13,104
2015/10/12,55
2015/10/11,62
2015/10/10,67
2015/10/9,61
2015/10/8,77
2015/10/7,99
2015/10/6,156
2015/10/5,128
2015/10/4,108
2015/10/3,82
2015/10/2,82
