date,score
2019-07-01,60
2019-07-02,77
2019-07-03,89
2019-07-04,41
2019-07-05,30
2019-07-06,31
2019-07-07,30
2019-07-12,31
2019-07-13,31
2019-07-14,34
2019-07-15,31
2019-06-01,36
2019-06-02,60
2019-06-03,66
2019-06-04,67
2019-06-05,40
2019-06-06,31
2019-06-07,43
2019-06-08,25
2019-06-09,29
2019-06-10,34
2019-06-11,28
2019-06-14,56
2019-06-15,56
2019-06-17,32
2019-06-18,25
2019-06-19,34
2019-06-20,32
2019-06-25,65
2019-06-26,86
2019-06-27,64
2019-06-28,48
2019-06-29,41
2019-06-30,49
2019-05-01,73
2019-05-02,75
2019-05-03,83
2019-05-04,75
2019-05-05,53
2019-05-06,46
2019-05-07,53
2019-05-08,48
2019-05-09,67
2019-05-10,79
2019-05-11,88
2019-05-12,71
2019-05-13,55
2019-05-14,115
2019-05-15,39
2019-05-16,40
2019-05-17,43
2019-05-18,52
2019-05-19,44
2019-05-20,66
2019-05-21,82
2019-05-22,89
2019-05-23,95
2019-05-24,64
2019-05-25,39
2019-05-26,31
2019-05-27,59
2019-05-28,74
2019-05-29,54
2019-05-30,48
2019-05-31,42
2019-04-01,63
2019-04-02,47
2019-04-03,30
2019-04-04,55
2019-04-05,50
2019-04-06,61
2019-04-07,67
2019-04-08,64
2019-04-09,48
2019-04-10,31
2019-04-11,38
2019-04-12,57
2019-04-13,70
2019-04-14,73
2019-04-15,52
2019-04-16,63
2019-04-17,56
2019-04-18,50
2019-04-19,48
2019-04-20,79
2019-04-21,77
2019-04-22,71
2019-04-23,82
2019-04-24,72
2019-04-25,67
2019-04-26,67
2019-04-27,62
2019-04-28,32
2019-04-29,34
2019-04-30,53
2019-03-01,50
2019-03-02,29
2019-03-03,76
2019-03-04,59
2019-03-05,46
2019-03-06,72
2019-03-07,79
2019-03-08,69
2019-03-09,104
2019-03-10,91
2019-03-11,90
2019-03-12,75
2019-03-13,83
2019-03-14,74
2019-03-15,76
2019-03-16,81
2019-03-17,72
2019-03-18,67
2019-03-19,56
2019-03-20,57
2019-03-21,57
2019-03-22,32
2019-03-23,50
2019-03-24,62
2019-03-25,57
2019-03-26,53
2019-03-27,58
2019-03-28,76
2019-03-29,78
2019-03-30,78
2019-03-31,67
2019-02-01,93
2019-02-02,61
2019-02-03,87
2019-02-04,134
2019-02-05,206
2019-02-06,97
2019-02-07,109
2019-02-08,19
2019-02-09,29
2019-02-10,42
2019-02-11,98
2019-02-12,43
2019-02-13,36
2019-02-14,37
2019-02-15,25
2019-02-16,24
2019-02-17,76
2019-02-18,57
2019-02-19,88
2019-02-20,84
2019-02-21,75
2019-02-22,120
2019-02-23,57
2019-02-24,41
2019-02-25,61
2019-02-26,64
2019-02-27,86
2019-02-28,55
2019-01-01,63
2019-01-02,98
2019-01-03,98
2019-01-04,59
2019-01-05,181
2019-01-06,212
2019-01-07,216
2019-01-08,217
2019-01-09,46
2019-01-10,21
2019-01-11,65
2019-01-12,77
2019-01-13,154
2019-01-14,118
2019-01-15,132
2019-01-16,101
2019-01-17,71
2019-01-18,75
2019-01-19,70
2019-01-20,175
2019-01-21,155
2019-01-22,127
2019-01-23,107
2019-01-24,97
2019-01-25,169
2019-01-26,235
2019-01-27,187
2019-01-28,188
2019-01-29,194
2019-01-30,212
2019-01-31,63
2018-12-01,321
2018-12-02,252
2018-12-03,73
2018-12-04,67
2018-12-05,72
2018-12-06,13
2018-12-07,14
2018-12-08,22
2018-12-09,34
2018-12-10,52
2018-12-11,97
2018-12-12,157
2018-12-13,165
2018-12-14,142
2018-12-15,151
2018-12-16,133
2018-12-17,110
2018-12-18,85
2018-12-19,80
2018-12-20,119
2018-12-21,95
2018-12-28,38
2018-12-29,53
2018-12-30,56
2018-12-31,53
2018-11-01,77
2018-11-02,66
2018-11-03,56
2018-11-04,56
2018-11-05,142
2018-11-06,24
2018-11-07,20
2018-11-08,22
2018-11-09,42
2018-11-10,43
2018-11-11,44
2018-11-12,103
2018-11-13,92
2018-11-14,41
2018-11-15,47
2018-11-16,43
2018-11-17,23
2018-11-18,23
2018-11-19,36
2018-11-20,40
2018-11-21,77
2018-11-22,95
2018-11-23,71
2018-11-24,80
2018-11-25,95
2018-11-26,82
2018-11-27,83
2018-11-28,94
2018-11-29,82
2018-11-30,190
2018-10-01,59
2018-10-02,63
2018-10-03,72
2018-10-04,116
2018-10-05,98
2018-10-06,112
2018-10-07,118
2018-10-08,137
2018-10-09,84
2018-10-10,82
2018-10-11,65
2018-10-12,59
2018-10-13,63
2018-10-14,51
2018-10-15,55
2018-10-16,70
2018-10-17,61
2018-10-18,61
2018-10-19,65
2018-10-20,37
2018-10-21,30
2018-10-22,90
2018-10-23,67
2018-10-24,51
2018-10-25,42
2018-10-26,56
2018-10-27,63
2018-10-28,70
2018-10-29,73
2018-10-30,78
2018-10-31,90
2018-09-02,38
2018-09-03,50
2018-09-04,60
2018-09-05,66
2018-09-06,53
2018-09-07,48
2018-09-08,56
2018-09-09,69
2018-09-10,72
2018-09-11,79
2018-09-12,76
2018-09-13,79
2018-09-14,75
2018-09-15,72
2018-09-16,66
2018-09-17,72
2018-09-18,75
2018-09-19,52
2018-09-20,49
2018-09-21,37
2018-09-22,37
2018-09-23,23
2018-09-24,36
2018-09-25,72
2018-09-26,38
2018-09-27,38
2018-09-28,54
2018-09-29,60
2018-09-30,67
2018-08-01,47
2018-08-02,47
2018-08-03,56
2018-08-04,56
2018-08-05,64
2018-08-06,33
2018-08-07,44
2018-08-08,60
2018-08-09,68
2018-08-10,67
2018-08-11,69
2018-08-12,83
2018-08-13,65
2018-08-14,42
2018-08-15,44
2018-08-16,50
2018-08-17,43
2018-08-18,46
2018-08-19,72
2018-08-20,76
2018-08-21,65
2018-08-22,76
2018-08-23,65
2018-08-25,106
2018-08-27,53
2018-08-29,42
2018-08-31,34
2018-07-01,36
2018-07-02,52
2018-07-03,42
2018-07-04,45
2018-07-05,59
2018-07-06,40
2018-07-07,29
2018-07-08,21
2018-07-09,41
2018-07-10,55
2018-07-11,63
2018-07-12,32
2018-07-13,43
2018-07-14,37
2018-07-15,45
2018-07-16,60
2018-07-17,54
2018-07-18,57
2018-07-19,59
2018-07-20,68
2018-07-21,67
2018-07-22,60
2018-07-23,53
2018-07-24,49
2018-07-25,42
2018-07-26,52
2018-07-27,54
2018-07-28,52
2018-07-29,60
2018-07-30,59
2018-07-31,61
2018-06-01,44
2018-06-02,51
2018-06-03,69
2018-06-04,63
2018-06-05,37
2018-06-06,48
2018-06-07,51
2018-06-08,34
2018-06-09,51
2018-06-10,86
2018-06-11,96
2018-06-12,65
2018-06-13,40
2018-06-14,51
2018-06-15,93
2018-06-16,90
2018-06-17,102
2018-06-18,90
2018-06-19,62
2018-06-20,44
2018-06-21,43
2018-06-22,49
2018-06-23,54
2018-06-24,36
2018-06-25,42
2018-06-26,34
2018-06-27,33
2018-06-28,36
2018-06-29,42
2018-06-30,50
2018-05-01,37
2018-05-02,64
2018-05-03,80
2018-05-04,63
2018-05-05,51
2018-05-06,40
2018-05-07,48
2018-05-08,59
2018-05-09,52
2018-05-10,72
2018-05-11,59
2018-05-12,45
2018-05-13,59
2018-05-14,47
2018-05-15,44
2018-05-16,47
2018-05-17,52
2018-05-18,54
2018-05-19,56
2018-05-20,64
2018-05-21,43
2018-05-22,38
2018-05-23,88
2018-05-24,64
2018-05-25,57
2018-05-26,40
2018-05-27,130
2018-05-28,106
2018-05-29,103
2018-05-30,63
2018-05-31,51
2018-04-01,121
2018-04-02,82
2018-04-03,84
2018-04-04,78
2018-04-05,38
2018-04-05,38
2018-04-06,67
2018-04-07,95
2018-04-08,81
2018-04-09,76
2018-04-10,78
2018-04-11,61
2018-04-12,52
2018-04-13,22
2018-04-14,46
2018-04-15,130
2018-04-16,238
2018-04-17,125
2018-04-18,93
2018-04-19,83
2018-04-20,76
2018-04-21,46
2018-04-22,42
2018-04-23,39
2018-04-24,73
2018-04-25,80
2018-04-26,90
2018-04-27,62
2018-04-28,84
2018-04-29,56
2018-04-30,43
2018-03-01,62
2018-03-02,80
2018-03-03,93
2018-03-04,54
2018-03-05,44
2018-03-06,36
2018-03-07,37
2018-03-08,56
2018-03-09,71
2018-03-10,63
2018-03-11,69
2018-03-12,83
2018-03-13,96
2018-03-14,72
2018-03-15,49
