date,score
2019-07-01,94
2019-07-02,66
2019-07-03,54
2019-07-04,38
2019-07-05,52
2019-07-06,54
2019-07-07,41
2019-07-12,26
2019-07-13,33
2019-07-14,50
2019-07-15,39
2019-06-01,64
2019-06-02,70
2019-06-03,96
2019-06-04,115
2019-06-05,68
2019-06-06,63
2019-06-07,63
2019-06-08,54
2019-06-09,54
2019-06-10,53
2019-06-11,50
2019-06-14,34
2019-06-15,26
2019-06-17,40
2019-06-18,35
2019-06-19,32
2019-06-20,38
2019-06-25,35
2019-06-26,42
2019-06-27,43
2019-06-28,35
2019-06-29,63
2019-06-30,74
2019-05-01,62
2019-05-02,51
2019-05-03,57
2019-05-04,57
2019-05-05,46
2019-05-06,31
2019-05-07,43
2019-05-08,40
2019-05-09,38
2019-05-10,54
2019-05-11,78
2019-05-12,60
2019-05-13,61
2019-05-14,73
2019-05-15,67
2019-05-16,57
2019-05-17,65
2019-05-18,64
2019-05-19,56
2019-05-20,54
2019-05-21,67
2019-05-22,67
2019-05-23,84
2019-05-24,73
2019-05-25,78
2019-05-26,71
2019-05-27,61
2019-05-28,41
2019-05-29,30
2019-05-30,48
2019-05-31,63
2019-04-01,64
2019-04-02,56
2019-04-03,46
2019-04-04,63
2019-04-05,70
2019-04-06,67
2019-04-07,87
2019-04-08,80
2019-04-09,64
2019-04-10,54
2019-04-11,44
2019-04-12,73
2019-04-13,72
2019-04-14,41
2019-04-15,50
2019-04-16,67
2019-04-17,72
2019-04-18,87
2019-04-19,98
2019-04-20,50
2019-04-21,49
2019-04-22,67
2019-04-23,81
2019-04-24,95
2019-04-25,95
2019-04-26,87
2019-04-27,61
2019-04-28,40
2019-04-29,46
2019-04-30,48
2019-03-01,52
2019-03-02,34
2019-03-03,55
2019-03-04,68
2019-03-05,60
2019-03-06,54
2019-03-07,43
2019-03-08,44
2019-03-09,61
2019-03-10,65
2019-03-11,83
2019-03-12,92
2019-03-13,83
2019-03-14,52
2019-03-15,62
2019-03-16,56
2019-03-17,59
2019-03-18,74
2019-03-19,86
2019-03-20,90
2019-03-21,71
2019-03-22,62
2019-03-23,52
2019-03-24,61
2019-03-25,64
2019-03-26,77
2019-03-27,74
2019-03-28,57
2019-03-29,81
2019-03-30,78
2019-03-31,62
2019-02-01,80
2019-02-02,96
2019-02-03,63
2019-02-04,78
2019-02-05,119
2019-02-06,101
2019-02-07,81
2019-02-08,71
2019-02-09,59
2019-02-10,49
2019-02-11,59
2019-02-12,55
2019-02-13,76
2019-02-14,88
2019-02-15,70
2019-02-16,70
2019-02-17,52
2019-02-18,39
2019-02-19,58
2019-02-20,69
2019-02-21,64
2019-02-22,104
2019-02-23,102
2019-02-24,71
2019-02-25,70
2019-02-26,67
2019-02-27,59
2019-02-28,73
2019-01-01,68
2019-01-02,80
2019-01-03,86
2019-01-04,71
2019-01-05,89
2019-01-06,113
2019-01-07,110
2019-01-08,119
2019-01-09,120
2019-01-10,89
2019-01-11,85
2019-01-12,97
2019-01-13,91
2019-01-14,125
2019-01-15,70
2019-01-16,80
2019-01-17,111
2019-01-18,94
2019-01-19,78
2019-01-20,81
2019-01-21,61
2019-01-22,93
2019-01-23,124
2019-01-24,121
2019-01-25,136
2019-01-26,136
2019-01-27,83
2019-01-28,73
2019-01-29,97
2019-01-30,95
2019-01-31,80
2018-12-01,81
2018-12-02,68
2018-12-03,80
2018-12-04,136
2018-12-05,101
2018-12-06,78
2018-12-07,61
2018-12-08,36
2018-12-09,28
2018-12-10,44
2018-12-11,61
2018-12-12,76
2018-12-13,106
2018-12-14,108
2018-12-15,95
2018-12-16,81
2018-12-17,123
2018-12-18,146
2018-12-19,167
2018-12-20,170
2018-12-21,131
2018-12-28,50
2018-12-29,65
2018-12-30,75
2018-12-31,69
2018-11-01,85
2018-11-02,113
2018-11-03,98
2018-11-04,66
2018-11-05,42
2018-11-06,52
2018-11-07,42
2018-11-08,46
2018-11-09,67
2018-11-10,84
2018-11-11,78
2018-11-12,73
2018-11-13,68
2018-11-14,81
2018-11-15,50
2018-11-16,23
2018-11-17,28
2018-11-18,40
2018-11-19,56
2018-11-20,74
2018-11-21,78
2018-11-22,65
2018-11-23,93
2018-11-24,98
2018-11-25,127
2018-11-26,91
2018-11-27,84
2018-11-28,80
2018-11-29,100
2018-11-30,120
2018-10-01,32
2018-10-02,38
2018-10-03,33
2018-10-04,45
2018-10-05,61
2018-10-06,78
2018-10-07,41
2018-10-08,39
2018-10-09,38
2018-10-10,45
2018-10-11,78
2018-10-12,90
2018-10-13,59
2018-10-14,51
2018-10-15,52
2018-10-16,72
2018-10-17,80
2018-10-18,49
2018-10-19,32
2018-10-20,32
2018-10-21,37
2018-10-22,65
2018-10-23,55
2018-10-24,61
2018-10-25,57
2018-10-26,75
2018-10-27,88
2018-10-28,82
2018-10-29,111
2018-10-30,93
2018-10-31,64
2018-09-02,59
2018-09-03,47
2018-09-04,71
2018-09-05,42
2018-09-06,37
2018-09-07,51
2018-09-08,55
2018-09-09,50
2018-09-10,39
2018-09-11,46
2018-09-12,48
2018-09-13,41
2018-09-14,46
2018-09-15,37
2018-09-16,36
2018-09-17,48
2018-09-18,49
2018-09-19,41
2018-09-20,46
2018-09-21,44
2018-09-22,60
2018-09-23,64
2018-09-24,37
2018-09-25,31
2018-09-26,34
2018-09-27,33
2018-09-28,41
2018-09-29,49
2018-09-30,43
2018-08-01,54
2018-08-02,35
2018-08-03,38
2018-08-04,57
