date,score
2019-07-01,72
2019-07-02,63
2019-07-03,54
2019-07-04,33
2019-07-05,46
2019-07-06,52
2019-07-07,51
2019-07-12,23
2019-07-13,46
2019-07-14,56
2019-07-15,30
2019-06-01,56
2019-06-02,66
2019-06-03,78
2019-06-04,70
2019-06-05,38
2019-06-06,44
2019-06-07,45
2019-06-08,42
2019-06-09,38
2019-06-10,39
2019-06-11,36
2019-06-14,37
2019-06-15,25
2019-06-17,35
2019-06-18,42
2019-06-19,45
2019-06-20,41
2019-06-25,44
2019-06-26,50
2019-06-27,52
2019-06-28,25
2019-06-29,33
2019-06-30,50
2019-05-01,50
2019-05-02,48
2019-05-03,53
2019-05-04,53
2019-05-05,49
2019-05-06,33
2019-05-07,34
2019-05-08,39
2019-05-09,54
2019-05-10,58
2019-05-11,70
2019-05-12,47
2019-05-13,51
2019-05-14,46
2019-05-15,52
2019-05-16,56
2019-05-17,62
2019-05-18,44
2019-05-19,41
2019-05-20,30
2019-05-21,52
2019-05-22,55
2019-05-23,60
2019-05-24,49
2019-05-25,53
2019-05-26,59
2019-05-27,68
2019-05-28,40
2019-05-29,42
2019-05-30,45
2019-05-31,48
2019-04-01,42
2019-04-02,49
2019-04-03,51
2019-04-04,43
2019-04-05,54
2019-04-06,57
2019-04-07,62
2019-04-08,59
2019-04-09,56
2019-04-10,40
2019-04-11,38
2019-04-12,43
2019-04-13,51
2019-04-14,33
2019-04-15,36
2019-04-16,51
2019-04-17,54
2019-04-18,62
2019-04-19,66
2019-04-20,36
2019-04-21,40
2019-04-22,52
2019-04-23,54
2019-04-24,60
2019-04-25,72
2019-04-26,56
2019-04-27,48
2019-04-28,41
2019-04-29,32
2019-04-30,51
2019-03-01,60
2019-03-02,63
2019-03-03,53
2019-03-04,52
2019-03-05,88
2019-03-06,63
2019-03-07,44
2019-03-08,56
2019-03-09,67
2019-03-10,74
2019-03-11,75
2019-03-12,82
2019-03-13,83
2019-03-14,51
2019-03-15,54
2019-03-16,56
2019-03-17,62
2019-03-18,63
2019-03-19,64
2019-03-20,72
2019-03-21,65
2019-03-22,38
2019-03-23,31
2019-03-24,42
2019-03-25,51
2019-03-26,55
2019-03-27,63
2019-03-28,75
2019-03-29,68
2019-03-30,66
2019-03-31,39
2019-02-01,45
2019-02-02,55
2019-02-03,75
2019-02-04,81
2019-02-05,88
2019-02-06,82
2019-02-07,104
2019-02-08,77
2019-02-09,57
2019-02-10,27
2019-02-11,37
2019-02-12,65
2019-02-13,73
2019-02-14,59
2019-02-15,67
2019-02-16,38
2019-02-17,33
2019-02-18,35
2019-02-19,64
2019-02-20,86
2019-02-21,114
2019-02-22,98
2019-02-23,58
2019-02-24,38
2019-02-25,65
2019-02-26,65
2019-02-27,83
2019-02-28,78
2019-01-01,77
2019-01-02,82
2019-01-03,85
2019-01-04,77
2019-01-05,78
2019-01-06,70
2019-01-07,91
2019-01-08,127
2019-01-09,45
2019-01-10,42
2019-01-11,66
2019-01-12,74
2019-01-13,98
2019-01-14,121
2019-01-15,145
2019-01-16,77
2019-01-17,85
2019-01-18,88
2019-01-19,122
2019-01-20,125
2019-01-21,73
