date,score
2019-07-01,44
2019-07-02,55
2019-07-03,60
2019-07-04,51
2019-07-05,40
2019-07-06,26
2019-07-07,28
2019-07-12,18
2019-07-13,22
2019-07-14,41
2019-07-15,38
2019-06-01,46
2019-06-02,69
2019-06-03,69
2019-06-04,50
2019-06-05,39
2019-06-06,41
2019-06-07,38
2019-06-08,31
2019-06-09,33
2019-06-10,35
2019-06-11,39
2019-06-14,36
2019-06-15,29
2019-06-17,26
2019-06-18,18
2019-06-19,24
2019-06-20,27
2019-06-25,43
2019-06-26,31
2019-06-27,32
2019-06-28,33
2019-06-29,35
2019-06-30,48
2019-05-01,51
2019-05-02,52
2019-05-03,58
2019-05-04,45
2019-05-05,38
2019-05-06,23
2019-05-07,26
2019-05-08,34
2019-05-09,33
2019-05-10,39
2019-05-11,55
2019-05-12,48
2019-05-13,43
2019-05-14,49
2019-05-15,51
2019-05-16,50
2019-05-17,32
2019-05-18,57
2019-05-19,37
2019-05-20,30
2019-05-21,64
2019-05-22,53
2019-05-23,60
2019-05-24,52
2019-05-25,44
2019-05-26,33
2019-05-27,40
2019-05-28,58
2019-05-29,43
2019-05-30,28
2019-05-31,31
2019-04-01,46
2019-04-02,46
2019-04-03,35
2019-04-04,35
2019-04-05,46
2019-04-06,57
2019-04-07,54
2019-04-08,66
2019-04-09,67
2019-04-10,68
2019-04-11,39
2019-04-12,46
2019-04-13,48
2019-04-14,34
2019-04-15,34
2019-04-16,47
2019-04-17,52
2019-04-18,50
2019-04-19,60
2019-04-20,61
2019-04-21,42
2019-04-22,49
2019-04-23,65
2019-04-24,74
2019-04-25,73
2019-04-26,56
2019-04-27,56
2019-04-28,58
2019-04-29,33
2019-04-30,33
2019-03-01,41
2019-03-02,43
2019-03-03,57
2019-03-04,57
2019-03-05,55
2019-03-06,59
2019-03-07,35
2019-03-08,30
2019-03-09,40
2019-03-10,60
2019-03-11,79
2019-03-12,104
2019-03-13,93
2019-03-14,43
2019-03-15,38
2019-03-16,45
2019-03-17,50
2019-03-18,67
2019-03-19,52
2019-03-20,55
2019-03-21,62
2019-03-22,49
2019-03-23,34
2019-03-24,47
2019-03-25,63
2019-03-26,54
2019-03-27,60
2019-03-28,67
2019-03-29,73
2019-03-30,63
2019-03-31,42
2019-02-01,36
2019-02-02,35
2019-02-03,42
2019-02-04,51
2019-02-05,74
2019-02-06,47
2019-02-07,81
2019-02-08,45
2019-02-09,23
2019-02-10,17
2019-02-11,24
2019-02-12,22
2019-02-13,30
2019-02-14,39
2019-02-15,24
2019-02-16,17
2019-02-17,21
2019-02-18,32
2019-02-19,38
2019-02-20,32
2019-02-21,35
2019-02-22,47
2019-02-23,27
2019-02-24,43
2019-02-25,61
2019-02-26,53
2019-02-27,25
2019-02-28,41
2019-01-01,46
2019-01-02,44
2019-01-03,46
2019-01-04,40
2019-01-05,40
2019-01-06,40
2019-01-07,34
2019-01-08,20
2019-01-09,25
2019-01-10,32
2019-01-11,39
2019-01-12,41
2019-01-13,31
2019-01-14,39
2019-01-15,49
2019-01-16,90
2019-01-17,89
2019-01-18,43
2019-01-19,36
2019-01-20,29
2019-01-21,83
2019-01-22,85
2019-01-23,73
2019-01-24,63
2019-01-25,61
2019-01-26,79
2019-01-27,64
2019-01-28,53
2019-01-29,42
2019-01-30,47
2019-01-31,37
2018-12-01,62
2018-12-02,53
2018-12-03,59
2018-12-04,53
2018-12-05,47
2018-12-06,29
2018-12-07,20
2018-12-08,20
2018-12-09,21
2018-12-10,23
2018-12-11,45
2018-12-12,46
2018-12-13,66
2018-12-14,89
2018-12-15,76
2018-12-16,47
2018-12-17,82
2018-12-18,65
2018-12-19,57
2018-12-20,65
2018-12-21,66
2018-12-28,21
2018-12-29,17
2018-12-30,36
2018-12-31,60
2018-11-01,69
2018-11-02,67
2018-11-03,70
2018-11-04,72
2018-11-05,76
2018-11-06,33
2018-11-07,27
2018-11-08,36
2018-11-09,42
2018-11-10,43
2018-11-11,52
2018-11-12,45
2018-11-13,39
2018-11-14,29
2018-11-15,27
2018-11-16,19
2018-11-17,24
2018-11-18,26
2018-11-19,50
2018-11-20,23
2018-11-21,32
2018-11-22,47
2018-11-23,61
2018-11-24,44
2018-11-25,58
2018-11-26,70
2018-11-27,76
2018-11-28,101
2018-11-29,64
2018-11-30,68
2018-10-01,51
2018-10-02,53
2018-10-03,42
2018-10-04,48
2018-10-05,53
2018-10-06,62
2018-10-07,69
2018-10-08,67
2018-10-09,28
2018-10-10,54
2018-10-11,60
2018-10-12,57
2018-10-13,36
2018-10-14,29
2018-10-15,31
2018-10-16,36
2018-10-17,41
2018-10-18,43
2018-10-19,28
2018-10-20,33
2018-10-21,47
2018-10-22,26
2018-10-23,32
2018-10-24,35
2018-10-25,31
2018-10-26,40
2018-10-27,56
2018-10-28,59
2018-10-29,63
2018-10-30,54
2018-10-31,58
2018-09-02,27
2018-09-03,33
2018-09-04,34
2018-09-05,33
2018-09-06,37
2018-09-07,43
2018-09-08,39
2018-09-09,47
2018-09-10,52
2018-09-11,34
2018-09-12,22
2018-09-13,38
2018-09-14,50
2018-09-15,43
2018-09-16,44
2018-09-17,27
2018-09-18,20
2018-09-19,22
2018-09-20,24
2018-09-21,36
2018-09-22,41
2018-09-23,49
2018-09-24,46
2018-09-25,45
2018-09-26,27
2018-09-27,29
2018-09-28,31
2018-09-29,39
2018-09-30,45
2018-08-01,31
2018-08-02,32
2018-08-03,30
2018-08-04,32
2018-08-05,35
2018-08-06,32
2018-08-07,29
2018-08-08,29
2018-08-09,43
2018-08-10,48
2018-08-11,57
2018-08-12,54
2018-08-13,66
2018-08-14,70
2018-08-15,53
2018-08-16,43
2018-08-17,50
2018-08-18,41
