date,score
2019-07-01,55
2019-07-02,58
2019-07-03,43
2019-07-04,41
2019-07-05,26
2019-07-06,23
2019-07-07,23
2019-07-12,21
2019-07-13,20
2019-07-14,22
2019-07-15,30
2019-06-01,30
2019-06-02,46
2019-06-03,61
2019-06-04,46
2019-06-05,41
2019-06-06,43
2019-06-07,38
2019-06-08,36
2019-06-09,32
2019-06-10,32
2019-06-11,32
2019-06-14,28
2019-06-15,21
2019-06-17,29
2019-06-18,25
2019-06-19,24
2019-06-20,24
2019-06-25,22
2019-06-26,24
2019-06-27,26
2019-06-28,32
2019-06-29,34
2019-06-30,38
2019-05-01,51
2019-05-02,55
2019-05-03,58
2019-05-04,42
2019-05-05,43
2019-05-06,50
2019-05-07,61
2019-05-08,67
2019-05-09,59
2019-05-10,58
2019-05-11,74
2019-05-12,75
2019-05-13,69
2019-05-14,63
2019-05-15,67
2019-05-16,60
2019-05-17,59
2019-05-18,59
2019-05-19,59
2019-05-20,68
2019-05-21,64
2019-05-22,56
2019-05-23,57
2019-05-24,56
2019-05-25,51
2019-05-26,53
2019-05-27,43
2019-05-28,42
2019-05-29,44
2019-05-30,48
2019-05-31,30
2019-04-01,100
2019-04-02,74
2019-04-03,48
2019-04-04,47
2019-04-05,58
2019-04-06,47
2019-04-07,63
2019-04-08,53
2019-04-09,45
2019-04-10,49
2019-04-11,44
2019-04-12,54
2019-04-13,57
2019-04-14,64
2019-04-15,61
2019-04-16,63
2019-04-17,58
2019-04-18,57
2019-04-19,56
2019-04-20,57
2019-04-21,71
2019-04-22,84
2019-04-23,69
2019-04-24,74
2019-04-25,74
2019-04-26,71
2019-04-27,77
2019-04-28,83
2019-04-29,74
2019-04-30,61
2019-03-01,36
2019-03-02,35
2019-03-03,45
2019-03-04,45
2019-03-05,40
2019-03-06,35
2019-03-07,33
2019-03-08,42
2019-03-09,42
2019-03-10,45
2019-03-11,53
2019-03-12,54
2019-03-13,53
2019-03-14,68
2019-03-15,71
2019-03-16,64
2019-03-17,57
2019-03-18,57
2019-03-19,54
2019-03-20,49
2019-03-21,45
2019-03-22,46
