date,score
2019-07-01,51
2019-07-02,46
2019-07-03,42
2019-07-04,39
2019-07-05,48
2019-07-06,40
2019-07-07,43
2019-07-12,22
2019-07-13,26
2019-07-14,22
2019-07-15,27
2019-06-01,53
2019-06-02,56
2019-06-03,66
2019-06-04,80
2019-06-05,58
2019-06-06,51
2019-06-07,49
2019-06-08,44
2019-06-09,50
2019-06-10,53
2019-06-11,73
2019-06-14,36
2019-06-15,31
2019-06-17,34
2019-06-18,34
2019-06-19,34
2019-06-20,31
2019-06-25,46
2019-06-26,45
2019-06-27,48
2019-06-28,44
2019-06-29,55
2019-06-30,55
2019-05-01,66
2019-05-02,58
2019-05-03,58
2019-05-04,39
2019-05-05,49
2019-05-06,75
2019-05-07,59
2019-05-08,67
2019-05-09,65
2019-05-10,63
2019-05-11,66
2019-05-12,60
2019-05-13,70
2019-05-14,78
2019-05-15,56
2019-05-16,66
2019-05-17,58
2019-05-18,56
2019-05-19,64
2019-05-20,69
2019-05-21,65
2019-05-22,63
2019-05-23,58
2019-05-24,61
2019-05-25,58
2019-05-26,52
2019-05-27,80
2019-05-28,55
2019-05-29,52
2019-05-30,69
2019-05-31,58
2019-04-01,35
2019-04-02,51
2019-04-03,44
2019-04-04,57
2019-04-05,64
2019-04-06,53
2019-04-07,45
2019-04-08,58
2019-04-09,52
2019-04-10,52
2019-04-11,39
2019-04-12,42
2019-04-13,43
2019-04-14,51
2019-04-15,49
2019-04-16,50
2019-04-17,49
2019-04-18,57
2019-04-19,60
2019-04-20,62
2019-04-21,54
2019-04-22,52
2019-04-23,51
2019-04-24,54
2019-04-25,52
2019-04-26,52
2019-04-27,50
2019-04-28,61
2019-04-29,57
2019-04-30,52
2019-03-01,59
2019-03-02,45
2019-03-03,36
2019-03-04,55
2019-03-05,48
2019-03-06,50
2019-03-07,46
2019-03-08,52
2019-03-09,48
2019-03-10,43
2019-03-11,38
2019-03-12,49
2019-03-13,63
2019-03-14,44
2019-03-15,50
2019-03-16,48
2019-03-17,49
2019-03-18,43
2019-03-19,55
2019-03-20,48
2019-03-21,44
2019-03-22,43
2019-03-23,48
2019-03-24,40
2019-03-25,43
2019-03-26,45
2019-03-27,50
2019-03-28,48
2019-03-29,50
2019-03-30,42
2019-03-31,40
2019-02-01,46
2019-02-02,47
2019-02-03,36
2019-02-04,36
2019-02-05,36
2019-02-06,50
2019-02-07,46
2019-02-08,51
2019-02-09,48
2019-02-10,43
2019-02-11,35
2019-02-12,39
2019-02-13,32
2019-02-14,26
2019-02-15,38
2019-02-16,41
2019-02-17,39
2019-02-18,35
2019-02-19,50
2019-02-20,46
2019-02-21,38
2019-02-22,28
2019-02-23,41
2019-02-24,46
2019-02-25,74
2019-02-26,46
2019-02-27,51
2019-02-28,48
2019-01-01,51
2019-01-02,40
2019-01-03,37
2019-01-04,38
2019-01-05,42
2019-01-06,42
2019-01-07,38
2019-01-08,40
2019-01-09,34
2019-01-10,37
2019-01-11,36
2019-01-12,42
2019-01-13,41
2019-01-14,41
2019-01-15,50
2019-01-16,38
2019-01-17,36
2019-01-18,39
2019-01-19,34
2019-01-20,32
2019-01-21,36
2019-01-22,41
2019-01-23,39
2019-01-24,41
2019-01-25,30
2019-01-26,54
2019-01-27,54
2019-01-28,45
2019-01-29,41
2019-01-30,43
2019-01-31,32
2018-12-01,42
2018-12-02,45
2018-12-03,37
2018-12-04,45
2018-12-05,55
2018-12-06,54
2018-12-07,43
2018-12-08,39
2018-12-09,41
2018-12-10,45
2018-12-11,37
2018-12-12,42
2018-12-13,46
2018-12-14,41
2018-12-15,47
2018-12-16,43
2018-12-17,56
2018-12-18,45
2018-12-19,38
2018-12-20,37
2018-12-21,42
2018-12-28,42
2018-12-29,40
2018-12-30,38
2018-12-31,42
2018-11-01,48
2018-11-02,43
2018-11-03,44
2018-11-04,41
2018-11-05,40
2018-11-06,53
2018-11-07,51
2018-11-08,45
2018-11-09,52
2018-11-10,51
2018-11-11,41
2018-11-12,44
2018-11-13,52
2018-11-14,46
2018-11-15,42
2018-11-16,54
2018-11-17,52
2018-11-18,43
2018-11-19,47
2018-11-20,42
2018-11-21,41
2018-11-22,47
2018-11-23,49
2018-11-24,39
2018-11-25,41
2018-11-26,51
2018-11-27,51
2018-11-28,54
2018-11-29,58
2018-11-30,43
2018-10-01,38
2018-10-02,42
2018-10-03,46
2018-10-04,39
2018-10-05,45
2018-10-06,47
2018-10-07,45
2018-10-08,44
2018-10-09,46
2018-10-10,41
2018-10-11,38
2018-10-12,39
2018-10-13,34
2018-10-14,42
2018-10-15,43
2018-10-16,47
2018-10-17,44
2018-10-18,42
2018-10-19,41
2018-10-20,43
2018-10-21,42
2018-10-22,42
2018-10-23,41
2018-10-24,42
2018-10-25,40
2018-10-26,42
2018-10-27,43
2018-10-28,39
2018-10-29,41
2018-10-30,40
2018-10-31,42
2018-09-02,34
2018-09-03,34
2018-09-04,35
2018-09-05,37
2018-09-06,43
2018-09-07,41
2018-09-08,42
2018-09-09,47
2018-09-10,32
2018-09-11,37
2018-09-12,45
2018-09-13,43
2018-09-14,32
2018-09-15,37
2018-09-16,32
2018-09-17,39
2018-09-18,43
2018-09-19,44
2018-09-20,39
2018-09-21,32
2018-09-22,33
2018-09-23,31
2018-09-24,33
2018-09-25,37
2018-09-26,37
2018-09-27,43
2018-09-28,39
2018-09-29,39
2018-09-30,36
2018-08-01,34
2018-08-02,26
2018-08-03,38
2018-08-04,40
2018-08-05,38
2018-08-06,34
2018-08-07,43
2018-08-08,52
2018-08-09,44
2018-08-10,43
2018-08-11,38
2018-08-12,39
2018-08-13,46
2018-08-14,43
2018-08-15,41
2018-08-16,45
2018-08-17,42
2018-08-18,41
2018-08-19,49
2018-08-20,50
2018-08-21,50
2018-08-22,39
2018-08-23,38
2018-08-25,33
2018-08-27,37
2018-08-29,33
2018-08-31,39
2018-07-01,44
2018-07-02,44
2018-07-03,36
2018-07-04,48
2018-07-05,53
2018-07-06,46
2018-07-07,57
2018-07-08,50
2018-07-09,39
2018-07-10,47
2018-07-11,42
2018-07-12,46
2018-07-13,35
2018-07-14,34
2018-07-15,38
2018-07-16,42
2018-07-17,40
2018-07-18,37
2018-07-19,31
2018-07-20,43
2018-07-21,34
2018-07-22,31
2018-07-23,35
2018-07-24,45
2018-07-25,52
2018-07-26,56
2018-07-27,45
2018-07-28,46
2018-07-29,41
2018-07-30,38
2018-07-31,34
2018-06-01,85
2018-06-02,81
2018-06-03,67
2018-06-04,63
2018-06-05,80
2018-06-06,78
2018-06-07,61
2018-06-08,67
2018-06-09,69
2018-06-10,64
2018-06-11,73
2018-06-12,73
2018-06-13,56
2018-06-14,57
2018-06-15,79
2018-06-16,61
2018-06-17,68
2018-06-18,66
2018-06-19,57
2018-06-20,66
2018-06-21,53
2018-06-22,58
2018-06-23,56
2018-06-24,54
2018-06-25,52
2018-06-26,66
2018-06-27,63
2018-06-28,46
2018-06-29,41
2018-06-30,38
2018-05-01,66
2018-05-02,58
2018-05-03,58
2018-05-04,66
2018-05-05,63
2018-05-06,66
2018-05-07,65
2018-05-08,61
2018-05-09,67
2018-05-10,85
2018-05-11,90
2018-05-12,76
2018-05-13,70
2018-05-14,72
2018-05-15,70
2018-05-16,84
2018-05-17,82
2018-05-18,78
2018-05-19,53
2018-05-20,55
2018-05-21,63
2018-05-22,79
2018-05-23,72
2018-05-24,66
2018-05-25,57
2018-05-26,58
2018-05-27,58
2018-05-28,63
2018-05-29,84
2018-05-30,93
