date,score
2019-07-01,62
2019-07-02,76
2019-07-03,72
2019-07-04,79
2019-07-05,82
2019-07-06,55
2019-07-07,60
2019-07-12,52
2019-07-13,34
2019-07-14,52
2019-07-15,78
2019-06-01,86
2019-06-02,93
2019-06-03,88
2019-06-04,102
2019-06-05,94
2019-06-06,45
2019-06-07,62
2019-06-08,87
2019-06-09,108
2019-06-10,77
2019-06-11,50
2019-06-14,40
2019-06-15,76
2019-06-17,68
2019-06-18,29
2019-06-19,49
2019-06-20,54
2019-06-25,46
2019-06-26,36
2019-06-27,75
2019-06-28,89
2019-06-29,39
2019-06-30,52
2019-05-01,71
2019-05-02,70
2019-05-03,77
2019-05-04,76
2019-05-05,74
2019-05-06,61
2019-05-07,61
2019-05-08,61
2019-05-09,93
2019-05-10,102
2019-05-11,110
2019-05-12,110
2019-05-13,76
2019-05-14,77
2019-05-15,45
2019-05-16,52
2019-05-17,77
2019-05-18,38
2019-05-19,40
2019-05-20,69
2019-05-21,77
2019-05-22,91
2019-05-23,96
2019-05-24,100
2019-05-25,71
2019-05-26,29
2019-05-27,43
2019-05-28,47
2019-05-29,63
2019-05-30,53
2019-05-31,64
2019-04-01,69
2019-04-02,67
2019-04-03,83
2019-04-04,86
2019-04-05,82
2019-04-06,76
2019-04-07,79
2019-04-08,119
2019-04-09,53
2019-04-10,46
2019-04-11,53
2019-04-12,78
2019-04-13,79
2019-04-14,70
2019-04-15,73
2019-04-16,71
2019-04-17,88
2019-04-18,81
2019-04-19,74
2019-04-20,78
2019-04-21,54
2019-04-22,49
2019-04-23,45
2019-04-24,57
2019-04-25,67
2019-04-26,44
2019-04-27,60
2019-04-28,55
2019-04-29,29
2019-04-30,38
2019-03-01,108
2019-03-02,111
2019-03-03,71
2019-03-04,97
2019-03-05,99
2019-03-06,119
2019-03-07,81
2019-03-08,57
2019-03-09,74
2019-03-10,90
2019-03-11,101
2019-03-12,95
2019-03-13,77
2019-03-14,76
2019-03-15,68
2019-03-16,76
2019-03-17,89
2019-03-18,106
2019-03-19,73
2019-03-20,51
2019-03-21,81
2019-03-22,42
2019-03-23,51
2019-03-24,86
2019-03-25,71
2019-03-26,69
2019-03-27,81
2019-03-28,89
2019-03-29,86
2019-03-30,102
2019-03-31,60
2019-02-01,70
2019-02-02,103
2019-02-03,122
2019-02-04,146
2019-02-05,132
2019-02-06,120
2019-02-07,87
2019-02-08,31
2019-02-09,41
2019-02-10,43
2019-02-11,47
2019-02-12,64
2019-02-13,46
2019-02-14,44
2019-02-15,53
2019-02-16,76
2019-02-17,52
2019-02-18,41
2019-02-19,35
2019-02-20,104
2019-02-21,137
2019-02-22,73
2019-02-23,155
2019-02-24,127
2019-02-25,140
2019-02-26,91
2019-02-27,50
2019-02-28,70
2019-01-01,68
2019-01-02,110
2019-01-03,138
2019-01-04,80
2019-01-05,88
2019-01-06,93
2019-01-07,74
2019-01-08,123
2019-01-09,48
2019-01-10,54
2019-01-11,46
2019-01-12,71
2019-01-13,141
2019-01-14,184
2019-01-15,195
2019-01-16,66
2019-01-17,89
2019-01-18,105
2019-01-19,147
2019-01-20,141
2019-01-21,105
