date,score
2019-07-01,38
2019-07-02,39
2019-07-03,53
2019-07-04,55
2019-07-05,54
2019-07-06,64
2019-07-07,71
2019-07-12,41
2019-07-13,27
2019-07-14,45
2019-07-15,35
2019-06-01,57
2019-06-02,61
2019-06-03,61
2019-06-04,69
2019-06-05,73
2019-06-06,41
2019-06-07,50
2019-06-08,61
2019-06-09,64
2019-06-10,62
2019-06-11,56
2019-06-14,43
2019-06-15,88
2019-06-17,54
2019-06-18,30
2019-06-19,43
2019-06-20,31
2019-06-25,41
2019-06-26,29
2019-06-27,56
2019-06-28,81
2019-06-29,59
2019-06-30,45
2019-05-01,92
2019-05-02,74
2019-05-03,66
2019-05-04,70
2019-05-05,77
2019-05-06,56
2019-05-07,55
2019-05-08,55
2019-05-09,81
2019-05-10,76
2019-05-11,92
2019-05-12,76
2019-05-13,50
2019-05-14,50
2019-05-15,32
2019-05-16,60
2019-05-17,34
2019-05-18,55
2019-05-19,77
2019-05-20,66
2019-05-21,83
2019-05-22,102
2019-05-23,134
2019-05-24,92
2019-05-25,55
2019-05-26,42
2019-05-27,50
2019-05-28,51
2019-05-29,52
2019-05-30,53
2019-05-31,85
2019-04-01,55
2019-04-02,59
2019-04-03,70
2019-04-04,57
2019-04-05,90
2019-04-06,93
2019-04-07,115
2019-04-08,107
2019-04-09,57
2019-04-10,39
2019-04-11,47
2019-04-12,82
2019-04-13,57
2019-04-14,64
2019-04-15,66
2019-04-16,53
2019-04-17,64
2019-04-18,82
2019-04-19,61
2019-04-20,37
2019-04-21,38
2019-04-22,29
2019-04-23,63
2019-04-24,128
2019-04-25,53
2019-04-26,44
2019-04-27,51
2019-04-28,51
2019-04-29,50
2019-04-30,39
2019-03-01,119
2019-03-02,71
2019-03-03,99
2019-03-04,125
2019-03-05,112
2019-03-06,96
2019-03-07,106
2019-03-08,42
2019-03-09,48
2019-03-10,70
2019-03-11,97
2019-03-12,116
2019-03-13,60
2019-03-14,39
2019-03-15,66
2019-03-16,67
2019-03-17,107
2019-03-18,57
2019-03-19,61
2019-03-20,57
2019-03-21,77
2019-03-22,42
2019-03-23,49
2019-03-24,58
2019-03-25,76
2019-03-26,86
2019-03-27,66
2019-03-28,88
2019-03-29,67
2019-03-30,84
2019-03-31,52
2019-02-01,80
2019-02-02,77
2019-02-03,89
2019-02-04,132
2019-02-05,61
2019-02-06,64
2019-02-07,46
2019-02-08,35
2019-02-09,36
2019-02-10,33
2019-02-11,41
2019-02-12,37
2019-02-13,45
2019-02-14,47
2019-02-15,30
2019-02-16,58
