date,score
2019-07-01,67
2019-07-02,97
2019-07-03,88
2019-07-04,59
2019-07-05,61
2019-07-06,45
2019-07-07,75
2019-07-12,37
2019-07-13,31
2019-07-14,50
2019-07-15,49
2019-06-01,76
2019-06-02,61
2019-06-03,68
2019-06-04,77
2019-06-05,61
2019-06-06,56
2019-06-07,70
2019-06-08,63
2019-06-09,69
2019-06-10,79
2019-06-11,66
2019-06-14,63
2019-06-15,76
2019-06-17,28
2019-06-18,26
2019-06-19,36
2019-06-20,37
2019-06-25,85
2019-06-26,85
2019-06-27,83
2019-06-28,56
2019-06-29,39
2019-06-30,46
2019-05-01,68
2019-05-02,66
2019-05-03,93
2019-05-04,84
2019-05-05,70
2019-05-06,59
2019-05-07,54
2019-05-08,65
2019-05-09,68
2019-05-10,79
2019-05-11,96
2019-05-12,92
2019-05-13,116
2019-05-14,116
2019-05-15,42
2019-05-16,59
2019-05-17,56
2019-05-18,68
2019-05-19,42
2019-05-20,79
2019-05-21,77
2019-05-22,96
2019-05-23,103
2019-05-24,78
2019-05-25,51
2019-05-26,38
2019-05-27,66
2019-05-28,63
2019-05-29,51
2019-05-30,50
2019-05-31,69
2019-04-01,74
2019-04-02,55
2019-04-03,50
2019-04-04,70
2019-04-05,52
2019-04-06,68
2019-04-07,79
2019-04-08,73
2019-04-09,42
2019-04-10,42
2019-04-11,52
2019-04-12,56
2019-04-13,66
2019-04-14,65
2019-04-15,68
2019-04-16,52
2019-04-17,65
2019-04-18,71
2019-04-19,68
2019-04-20,82
2019-04-21,55
2019-04-22,78
2019-04-23,58
2019-04-24,88
2019-04-25,80
2019-04-26,51
2019-04-27,50
2019-04-28,36
2019-04-29,22
2019-04-30,57
2019-03-01,40
2019-03-02,61
2019-03-03,69
2019-03-04,72
2019-03-05,54
2019-03-06,59
2019-03-07,68
2019-03-08,82
2019-03-09,99
2019-03-10,97
2019-03-11,98
2019-03-12,84
2019-03-13,96
2019-03-14,72
2019-03-15,72
2019-03-16,81
2019-03-17,72
2019-03-18,70
2019-03-19,74
2019-03-20,60
2019-03-21,71
2019-03-22,44
2019-03-23,52
2019-03-24,76
2019-03-25,49
2019-03-26,72
2019-03-27,65
2019-03-28,76
2019-03-29,82
2019-03-30,90
2019-03-31,57
2019-02-01,106
2019-02-02,78
2019-02-03,95
2019-02-04,148
2019-02-05,145
2019-02-06,93
2019-02-07,142
2019-02-08,28
2019-02-09,47
2019-02-10,73
2019-02-11,97
2019-02-12,57
2019-02-13,81
2019-02-14,44
2019-02-15,60
2019-02-16,90
2019-02-17,99
2019-02-18,67
2019-02-19,88
2019-02-20,123
2019-02-21,107
2019-02-22,63
2019-02-23,73
2019-02-24,81
2019-02-25,100
2019-02-26,155
2019-02-27,55
2019-02-28,50
2019-01-01,63
2019-01-02,80
2019-01-03,95
2019-01-04,122
2019-01-05,209
2019-01-06,213
2019-01-07,154
2019-01-08,120
2019-01-09,55
2019-01-10,48
2019-01-11,93
2019-01-12,141
2019-01-13,145
2019-01-14,112
2019-01-15,147
2019-01-16,81
2019-01-17,127
2019-01-18,130
2019-01-19,125
2019-01-20,184
2019-01-21,187
2019-01-22,149
2019-01-23,105
2019-01-24,108
2019-01-25,171
2019-01-26,196
2019-01-27,93
2019-01-28,176
2019-01-29,124
2019-01-30,63
2019-01-31,73
2018-12-01,215
2018-12-02,150
2018-12-03,72
2018-12-04,88
2018-12-05,59
2018-12-06,19
2018-12-07,59
2018-12-08,34
2018-12-09,54
2018-12-10,80
2018-12-11,130
2018-12-12,180
2018-12-13,140
2018-12-14,112
2018-12-15,140
2018-12-16,174
2018-12-17,130
2018-12-18,117
2018-12-19,92
2018-12-20,60
2018-12-21,74
2018-12-28,57
2018-12-29,49
2018-12-30,47
2018-12-31,65
2018-11-01,81
2018-11-02,63
2018-11-03,60
2018-11-04,70
2018-11-05,85
2018-11-06,13
2018-11-07,20
2018-11-08,44
2018-11-09,50
2018-11-10,45
2018-11-11,48
2018-11-12,94
2018-11-13,80
2018-11-14,61
2018-11-15,64
2018-11-16,61
2018-11-17,53
2018-11-18,40
2018-11-19,73
2018-11-20,60
2018-11-21,96
2018-11-22,113
2018-11-23,88
2018-11-24,100
2018-11-25,172
2018-11-26,135
2018-11-27,127
2018-11-28,138
2018-11-29,141
2018-11-30,256
2018-10-01,48
2018-10-02,54
2018-10-03,62
2018-10-04,74
2018-10-05,74
2018-10-06,97
2018-10-07,103
2018-10-08,95
2018-10-09,89
2018-10-10,65
2018-10-11,57
2018-10-12,65
2018-10-13,70
2018-10-14,59
2018-10-15,57
2018-10-16,50
2018-10-17,58
2018-10-18,74
2018-10-19,54
2018-10-20,49
2018-10-21,57
2018-10-22,52
2018-10-23,72
2018-10-24,90
2018-10-25,72
2018-10-26,57
2018-10-27,52
2018-10-28,67
2018-10-29,64
2018-10-30,80
2018-10-31,76
2018-09-02,41
2018-09-03,53
2018-09-04,78
2018-09-05,89
2018-09-06,48
2018-09-07,42
2018-09-08,48
2018-09-09,63
2018-09-10,55
2018-09-11,63
2018-09-12,69
2018-09-13,72
2018-09-14,60
2018-09-15,51
2018-09-16,58
2018-09-17,43
2018-09-18,34
2018-09-19,42
2018-09-20,41
2018-09-21,38
2018-09-22,54
2018-09-23,85
2018-09-24,75
2018-09-25,58
2018-09-26,35
2018-09-27,40
2018-09-28,55
2018-09-29,61
2018-09-30,75
2018-08-01,80
2018-08-02,75
2018-08-03,51
2018-08-04,48
2018-08-05,61
2018-08-06,67
2018-08-07,78
2018-08-08,71
2018-08-09,86
2018-08-10,79
2018-08-11,105
2018-08-12,104
2018-08-13,41
2018-08-14,35
2018-08-15,48
2018-08-16,47
2018-08-17,37
2018-08-18,38
2018-08-19,38
2018-08-20,32
2018-08-21,49
2018-08-22,59
2018-08-23,69
2018-08-25,81
2018-08-27,43
2018-08-29,53
2018-08-31,41
2018-07-01,46
