date,score
2019-07-01,28
2019-07-02,55
2019-07-03,64
2019-07-04,89
2019-07-05,69
2019-07-06,67
2019-07-07,60
2019-07-12,48
2019-07-13,44
2019-07-14,51
2019-07-15,54
2019-06-01,59
2019-06-02,80
2019-06-03,57
2019-06-04,66
2019-06-05,72
2019-06-06,78
2019-06-07,67
2019-06-08,56
2019-06-09,52
2019-06-10,44
2019-06-11,59
2019-06-14,24
2019-06-15,18
2019-06-17,47
2019-06-18,44
2019-06-19,46
2019-06-20,53
2019-06-25,64
2019-06-26,58
2019-06-27,67
2019-06-28,60
2019-06-29,44
2019-06-30,29
2019-05-01,75
2019-05-02,75
2019-05-03,82
2019-05-04,102
2019-05-05,64
2019-05-06,60
2019-05-07,56
2019-05-08,92
2019-05-09,93
2019-05-10,127
2019-05-11,88
2019-05-12,93
2019-05-13,68
2019-05-14,75
2019-05-15,72
2019-05-16,57
2019-05-17,45
2019-05-18,56
2019-05-19,51
2019-05-20,56
2019-05-21,75
2019-05-22,67
2019-05-23,86
2019-05-24,118
2019-05-25,110
2019-05-26,58
2019-05-27,39
2019-05-28,63
2019-05-29,58
2019-05-30,51
2019-05-31,36
2019-04-01,50
2019-04-02,59
2019-04-03,87
2019-04-04,248
2019-04-05,91
2019-04-06,73
2019-04-07,49
2019-04-08,44
2019-04-09,61
2019-04-10,63
2019-04-11,70
2019-04-12,103
2019-04-13,147
2019-04-14,63
2019-04-15,77
2019-04-16,94
2019-04-17,87
2019-04-18,92
2019-04-19,78
2019-04-20,69
2019-04-21,82
2019-04-22,125
2019-04-23,72
2019-04-24,73
2019-04-25,51
2019-04-26,49
2019-04-27,69
2019-04-28,60
2019-04-29,46
2019-04-30,68
2019-03-01,163
2019-03-02,184
2019-03-03,237
2019-03-04,239
2019-03-05,227
2019-03-06,72
2019-03-07,81
2019-03-08,103
2019-03-09,104
2019-03-10,95
2019-03-11,105
2019-03-12,71
2019-03-13,55
2019-03-14,59
2019-03-15,56
2019-03-16,53
2019-03-17,57
2019-03-18,81
2019-03-19,84
2019-03-20,89
2019-03-21,50
2019-03-22,42
2019-03-23,34
2019-03-24,107
2019-03-25,83
2019-03-26,54
2019-03-27,55
2019-03-28,48
2019-03-29,79
2019-03-30,65
2019-03-31,45
2019-02-01,81
2019-02-02,102
2019-02-03,119
2019-02-04,59
2019-02-05,90
2019-02-06,81
2019-02-07,47
2019-02-08,58
2019-02-09,73
2019-02-10,95
2019-02-11,96
2019-02-12,51
2019-02-13,82
2019-02-14,97
2019-02-15,74
2019-02-16,52
2019-02-17,68
2019-02-18,89
2019-02-19,128
2019-02-20,113
2019-02-21,98
2019-02-22,187
2019-02-23,153
2019-02-24,80
2019-02-25,61
