date,score
2019-07-01,88
2019-07-02,118
2019-07-03,109
2019-07-04,130
2019-07-05,113
2019-07-06,41
2019-07-07,52
2019-07-12,80
2019-07-13,93
2019-07-14,81
2019-07-15,86
2019-07-16,64
2019-07-17,70
2019-07-18,91
2019-07-19,106
2019-07-20,77
2019-07-21,88
2019-07-22,85
2019-07-23,66
2019-07-24,80
2019-07-25,67
2019-07-26,94
2019-06-01,97
2019-06-02,120
2019-06-03,107
2019-06-04,86
2019-06-05,82
2019-06-06,53
2019-06-07,94
2019-06-08,81
2019-06-09,66
2019-06-10,90
2019-06-11,86
2019-06-14,85
2019-06-15,109
2019-06-17,70
2019-06-18,100
2019-06-19,97
2019-06-20,86
2019-06-25,114
2019-06-26,113
2019-06-27,116
2019-06-28,118
2019-06-29,97
2019-06-30,52
2019-05-01,51
2019-05-02,69
2019-05-03,88
2019-05-04,94
2019-05-05,95
2019-05-06,65
2019-05-07,72
2019-05-08,86
2019-05-09,62
2019-05-10,82
2019-05-11,72
2019-05-12,103
2019-05-13,63
2019-05-14,102
2019-05-15,120
2019-05-16,92
2019-05-17,110
2019-05-18,76
2019-05-19,75
2019-05-20,54
2019-05-21,67
2019-05-22,73
2019-05-23,98
2019-05-24,102
2019-05-25,124
2019-05-26,96
2019-05-27,55
2019-05-28,72
2019-05-29,93
2019-05-30,86
2019-05-31,57
2019-04-01,68
2019-04-02,91
2019-04-03,95
2019-04-04,124
2019-04-05,129
2019-04-06,143
2019-04-07,93
2019-04-08,80
2019-04-09,44
2019-04-10,59
2019-04-11,80
2019-04-12,96
2019-04-13,88
2019-04-14,52
2019-04-15,82
2019-04-16,79
2019-04-17,101
2019-04-18,185
2019-04-19,63
2019-04-20,77
2019-04-21,101
2019-04-22,160
2019-04-23,143
2019-04-24,82
2019-04-25,36
2019-04-26,53
2019-04-27,62
2019-04-28,58
2019-04-29,125
2019-04-30,120
2019-03-01,275
2019-03-02,182
2019-03-03,180
2019-03-04,218
2019-03-05,192
2019-03-06,58
2019-03-07,68
2019-03-08,88
2019-03-09,97
2019-03-10,132
2019-03-11,64
2019-03-12,54
2019-03-13,59
2019-03-14,62
2019-03-15,64
2019-03-16,68
2019-03-17,101
2019-03-18,106
2019-03-19,98
2019-03-20,83
2019-03-21,69
2019-03-22,62
2019-03-23,59
2019-03-24,81
2019-03-25,71
2019-03-26,81
2019-03-27,131
2019-03-28,67
2019-03-29,77
2019-03-30,48
2019-03-31,63
2019-02-01,76
2019-02-02,178
2019-02-03,158
2019-02-04,140
2019-02-05,215
2019-02-06,122
2019-02-07,72
2019-02-08,61
2019-02-09,83
2019-02-10,76
2019-02-11,159
2019-02-12,154
2019-02-13,90
2019-02-14,93
2019-02-15,106
2019-02-16,55
2019-02-17,76
2019-02-18,125
2019-02-19,217
2019-02-20,270
2019-02-21,277
2019-02-22,309
2019-02-23,229
2019-02-24,242
2019-02-25,229
2019-02-26,145
2019-02-27,138
2019-02-28,253
2019-01-01,155
2019-01-02,224
2019-01-03,253
2019-01-04,232
2019-01-05,237
2019-01-06,240
2019-01-07,267
2019-01-08,221
2019-01-09,115
2019-01-10,191
2019-01-11,304
2019-01-12,372
2019-01-13,335
2019-01-14,364
2019-01-15,112
2019-01-16,101
2019-01-17,89
2019-01-18,151
2019-01-19,129
2019-01-20,74
2019-01-21,75
2019-01-22,74
2019-01-23,127
2019-01-24,148
2019-01-25,109
2019-01-26,108
2019-01-27,166
2019-01-28,162
2019-01-29,161
2019-01-30,200
2019-01-31,60
2018-12-01,220
2018-12-02,220
2018-12-03,222
2018-12-04,124
2018-12-05,115
2018-12-06,117
2018-12-07,63
2018-12-08,56
2018-12-09,95
2018-12-10,135
2018-12-11,121
2018-12-12,113
2018-12-13,109
2018-12-14,129
2018-12-15,194
2018-12-16,163
2018-12-17,82
2018-12-18,117
2018-12-19,162
2018-12-20,167
2018-12-21,106
2018-12-28,57
2018-12-29,62
2018-12-30,90
2018-12-31,169
2018-11-01,141
2018-11-02,186
2018-11-03,194
2018-11-04,198
2018-11-05,48
2018-11-06,65
2018-11-07,73
2018-11-08,84
2018-11-09,94
2018-11-10,89
2018-11-11,80
2018-11-12,152
2018-11-13,241
2018-11-14,258
2018-11-15,215
2018-11-16,47
2018-11-17,80
2018-11-18,66
2018-11-19,94
2018-11-20,133
2018-11-21,108
2018-11-22,94
2018-11-23,152
2018-11-24,158
2018-11-25,198
2018-11-26,287
2018-11-27,303
2018-11-28,203
2018-11-29,157
2018-11-30,172
2018-10-01,39
2018-10-02,51
2018-10-03,60
2018-10-04,81
2018-10-05,102
2018-10-06,95
2018-10-07,75
2018-10-08,72
2018-10-09,66
2018-10-10,61
2018-10-11,74
2018-10-12,94
2018-10-13,120
2018-10-14,177
2018-10-15,251
2018-10-16,153
2018-10-17,112
2018-10-18,95
2018-10-19,90
2018-10-20,96
2018-10-21,116
2018-10-22,109
2018-10-23,57
2018-10-24,89
2018-10-25,118
2018-10-26,64
2018-10-27,59
2018-10-28,55
2018-10-29,66
2018-10-30,75
2018-10-31,103
2018-09-02,72
2018-09-03,51
2018-09-04,39
2018-09-05,52
2018-09-06,63
2018-09-07,36
2018-09-08,49
2018-09-09,64
2018-09-10,84
2018-09-11,88
2018-09-12,72
2018-09-13,64
2018-09-14,108
2018-09-15,91
2018-09-16,66
2018-09-17,67
2018-09-18,57
2018-09-19,57
2018-09-20,56
2018-09-21,66
2018-09-22,47
2018-09-23,51
2018-09-24,61
2018-09-25,77
2018-09-26,54
2018-09-27,116
2018-09-28,78
2018-09-29,63
2018-09-30,50
2018-08-01,83
2018-08-02,85
2018-08-03,96
2018-08-04,101
2018-08-05,63
2018-08-06,56
2018-08-07,79
2018-08-08,69
2018-08-09,40
2018-08-10,66
2018-08-11,87
2018-08-12,78
2018-08-13,66
2018-08-14,51
2018-08-15,49
2018-08-16,45
2018-08-17,80
2018-08-18,82
2018-08-19,41
2018-08-20,50
2018-08-21,60
2018-08-22,45
2018-08-23,57
2018-08-25,94
2018-08-27,114
2018-08-29,75
2018-08-31,45
2018-07-01,95
2018-07-02,92
2018-07-03,111
2018-07-04,124
2018-07-05,106
2018-07-06,119
2018-07-07,86
2018-07-08,74
2018-07-09,55
2018-07-10,46
2018-07-11,53
2018-07-12,58
2018-07-13,60
2018-07-14,51
2018-07-15,69
2018-07-16,78
2018-07-17,70
2018-07-18,85
2018-07-19,73
2018-07-20,96
2018-07-21,100
2018-07-22,82
2018-07-23,76
2018-07-24,85
2018-07-25,60
2018-07-26,74
2018-07-27,80
2018-07-28,82
2018-07-29,73
2018-07-30,78
2018-07-31,75
2018-06-01,104
2018-06-02,129
2018-06-03,113
2018-06-04,99
2018-06-05,87
2018-06-06,127
2018-06-07,109
2018-06-08,75
2018-06-09,48
2018-06-10,63
2018-06-11,99
2018-06-12,126
2018-06-13,92
