date,score
2019-07-01,63
2019-07-02,70
2019-07-03,75
2019-07-04,86
2019-07-05,82
2019-07-06,66
2019-07-07,63
2019-07-12,85
2019-07-13,80
2019-07-14,63
2019-07-15,73
2019-06-01,69
2019-06-02,84
2019-06-03,74
2019-06-04,72
2019-06-05,95
2019-06-06,92
2019-06-07,79
2019-06-08,77
2019-06-09,65
2019-06-10,71
2019-06-11,63
2019-06-14,79
2019-06-15,56
2019-06-17,52
2019-06-18,86
2019-06-19,78
2019-06-20,115
2019-06-25,89
2019-06-26,76
2019-06-27,85
2019-06-28,70
2019-06-29,79
2019-06-30,58
2019-05-01,63
2019-05-02,67
2019-05-03,76
2019-05-04,79
2019-05-05,75
2019-05-06,64
2019-05-07,67
2019-05-08,87
2019-05-09,99
2019-05-10,82
2019-05-11,95
2019-05-12,154
2019-05-13,81
2019-05-14,97
2019-05-15,98
2019-05-16,90
2019-05-17,83
2019-05-18,58
2019-05-19,75
2019-05-20,65
2019-05-21,64
2019-05-22,72
2019-05-23,99
2019-05-24,77
2019-05-25,82
2019-05-26,79
2019-05-27,58
2019-05-28,63
2019-05-29,86
2019-05-30,68
2019-05-31,60
2019-04-01,65
2019-04-02,65
2019-04-03,72
2019-04-04,122
2019-04-05,211
2019-04-06,79
2019-04-07,73
2019-04-08,63
2019-04-09,60
2019-04-10,66
2019-04-11,84
2019-04-12,98
2019-04-13,133
2019-04-14,69
2019-04-15,76
2019-04-16,91
2019-04-17,102
2019-04-18,117
2019-04-19,66
2019-04-20,71
2019-04-21,87
2019-04-22,104
2019-04-23,101
2019-04-24,73
2019-04-25,59
2019-04-26,68
2019-04-27,74
2019-04-28,77
2019-04-29,102
2019-04-30,98
2019-03-01,156
2019-03-02,153
2019-03-03,166
2019-03-04,158
2019-03-05,132
2019-03-06,56
2019-03-07,63
2019-03-08,72
2019-03-09,89
2019-03-10,85
2019-03-11,81
2019-03-12,43
2019-03-13,49
2019-03-14,58
2019-03-15,52
2019-03-16,67
2019-03-17,79
2019-03-18,108
2019-03-19,83
2019-03-20,87
2019-03-21,59
2019-03-22,62
2019-03-23,59
2019-03-24,71
2019-03-25,88
2019-03-26,96
2019-03-27,91
2019-03-28,58
2019-03-29,71
2019-03-30,63
2019-03-31,61
2019-02-01,95
2019-02-02,128
2019-02-03,128
2019-02-04,119
2019-02-05,154
2019-02-06,60
2019-02-07,42
2019-02-08,48
2019-02-09,40
2019-02-10,54
2019-02-11,115
2019-02-12,89
2019-02-13,62
2019-02-14,44
2019-02-15,50
2019-02-16,33
2019-02-17,37
2019-02-18,106
2019-02-19,151
2019-02-20,144
2019-02-21,209
2019-02-22,257
2019-02-23,110
2019-02-24,199
2019-02-25,74
2019-02-26,56
2019-02-27,81
2019-02-28,179
2019-01-01,79
2019-01-02,92
2019-01-03,148
2019-01-04,89
2019-01-05,48
2019-01-06,69
2019-01-07,82
2019-01-08,46
2019-01-09,61
2019-01-10,128
2019-01-11,240
2019-01-12,261
2019-01-13,254
2019-01-14,236
2019-01-15,63
2019-01-16,80
2019-01-17,109
2019-01-18,145
2019-01-19,99
2019-01-20,47
2019-01-21,89
2019-01-22,102
2019-01-23,73
2019-01-24,65
2019-01-25,58
2019-01-26,50
2019-01-27,110
2019-01-28,51
2019-01-29,113
2019-01-30,129
2019-01-31,44
2018-12-01,137
2018-12-02,138
2018-12-03,177
2018-12-04,75
2018-12-05,75
2018-12-06,57
2018-12-07,45
2018-12-08,52
2018-12-09,68
2018-12-10,75
2018-12-11,72
2018-12-12,94
2018-12-13,77
2018-12-14,67
2018-12-15,148
2018-12-16,260
2018-12-17,76
2018-12-18,83
2018-12-19,73
2018-12-20,77
2018-12-21,79
2018-12-28,52
2018-12-29,58
2018-12-30,56
2018-12-31,67
2018-11-01,89
2018-11-02,111
2018-11-03,139
2018-11-04,125
2018-11-05,56
2018-11-06,54
2018-11-07,64
2018-11-08,75
2018-11-09,86
2018-11-10,58
2018-11-11,63
2018-11-12,99
