date,score
2019-07-01,61
2019-07-02,74
2019-07-03,71
2019-07-04,63
2019-07-05,57
2019-07-06,60
2019-07-07,71
2019-07-12,44
2019-07-13,47
2019-07-14,81
2019-07-15,43
2019-06-01,61
2019-06-02,60
2019-06-03,44
2019-06-04,49
2019-06-05,48
2019-06-06,52
2019-06-07,54
2019-06-08,49
2019-06-09,52
2019-06-10,43
2019-06-11,48
2019-06-14,39
2019-06-15,47
2019-06-17,35
2019-06-18,47
2019-06-19,55
2019-06-20,39
2019-06-25,46
2019-06-26,58
2019-06-27,56
2019-06-28,57
2019-06-29,64
2019-06-30,62
2019-05-01,48
2019-05-02,52
2019-05-03,177
2019-05-04,37
2019-05-05,33
2019-05-06,39
2019-05-07,56
2019-05-08,58
2019-05-09,65
2019-05-10,64
2019-05-11,71
2019-05-12,172
2019-05-13,105
2019-05-14,53
2019-05-15,50
2019-05-16,38
2019-05-17,35
2019-05-18,47
2019-05-19,72
2019-05-20,81
2019-05-21,98
2019-05-22,95
2019-05-23,50
2019-05-24,40
2019-05-25,44
2019-05-26,63
2019-05-27,57
2019-05-28,35
2019-05-29,43
2019-05-30,55
2019-05-31,65
2019-04-01,75
2019-04-02,64
2019-04-03,94
2019-04-04,94
2019-04-05,112
2019-04-06,87
2019-04-07,40
2019-04-08,37
2019-04-09,54
2019-04-10,68
2019-04-11,64
2019-04-12,53
2019-04-13,68
2019-04-14,59
2019-04-15,67
2019-04-16,76
2019-04-17,42
2019-04-18,47
2019-04-19,66
2019-04-20,62
2019-04-21,54
2019-04-22,50
2019-04-23,35
2019-04-24,50
2019-04-25,48
2019-04-26,25
2019-04-27,44
2019-04-28,44
2019-04-29,48
2019-04-30,56
2019-03-01,251
2019-03-02,251
2019-03-03,211
2019-03-04,162
2019-03-05,196
2019-03-06,123
2019-03-07,203
2019-03-08,141
2019-03-09,105
2019-03-10,89
2019-03-11,61
2019-03-12,90
2019-03-13,101
2019-03-14,70
2019-03-15,115
2019-03-16,154
2019-03-17,135
2019-03-18,87
2019-03-19,41
2019-03-20,53
2019-03-21,55
2019-03-22,57
2019-03-23,89
2019-03-24,95
2019-03-25,79
2019-03-26,53
2019-03-27,47
2019-03-28,57
2019-03-29,65
2019-03-30,83
2019-03-31,85
2019-02-01,76
2019-02-02,78
2019-02-03,117
2019-02-04,185
2019-02-05,257
2019-02-06,245
2019-02-07,119
2019-02-08,92
2019-02-09,162
2019-02-10,200
2019-02-11,163
2019-02-12,215
2019-02-13,135
2019-02-14,120
2019-02-15,115
2019-02-16,123
2019-02-17,179
2019-02-18,158
2019-02-19,167
2019-02-20,249
2019-02-21,194
2019-02-22,72
2019-02-23,76
2019-02-24,65
2019-02-25,111
2019-02-26,138
2019-02-27,152
2019-02-28,220
2019-01-01,206
2019-01-02,211
2019-01-03,211
2019-01-04,230
2019-01-05,178
2019-01-06,166
2019-01-07,214
2019-01-08,137
2019-01-09,90
2019-01-10,182
2019-01-11,242
2019-01-12,265
2019-01-13,215
2019-01-14,254
2019-01-15,206
2019-01-16,132
2019-01-17,138
2019-01-18,172
2019-01-19,158
2019-01-20,105
2019-01-21,95
2019-01-22,72
2019-01-23,186
2019-01-24,240
2019-01-25,287
2019-01-26,233
2019-01-27,195
2019-01-28,154
2019-01-29,71
2019-01-30,94
2019-01-31,77
2018-12-01,393
2018-12-02,246
2018-12-03,65
2018-12-04,101
2018-12-05,85
2018-12-06,111
2018-12-07,102
2018-12-08,106
2018-12-09,134
2018-12-10,145
2018-12-11,121
2018-12-12,158
2018-12-13,218
2018-12-14,277
2018-12-15,291
2018-12-16,283
2018-12-17,153
2018-12-18,227
2018-12-19,211
2018-12-20,80
2018-12-21,77
2018-12-28,174
2018-12-29,137
2018-12-30,133
2018-12-31,189
2018-11-01,59
2018-11-02,24
2018-11-03,40
2018-11-04,53
2018-11-05,52
2018-11-06,60
2018-11-07,69
2018-11-08,82
2018-11-09,41
2018-11-10,59
2018-11-11,65
2018-11-12,53
2018-11-13,35
2018-11-14,66
2018-11-15,69
2018-11-16,103
2018-11-17,116
2018-11-18,201
2018-11-19,171
2018-11-20,137
2018-11-21,154
2018-11-22,145
2018-11-23,134
2018-11-24,145
2018-11-25,358
2018-11-26,326
2018-11-27,203
2018-11-28,144
2018-11-29,149
2018-11-30,127
2018-10-01,77
2018-10-02,70
2018-10-03,67
2018-10-04,75
2018-10-05,67
2018-10-06,77
2018-10-07,79
2018-10-08,89
2018-10-09,78
2018-10-10,77
2018-10-11,74
2018-10-12,74
2018-10-13,85
2018-10-14,72
2018-10-15,72
2018-10-16,74
2018-10-17,48
2018-10-18,17
2018-10-19,29
2018-10-20,46
2018-10-21,64
2018-10-22,66
2018-10-23,77
2018-10-24,55
2018-10-25,74
2018-10-26,87
2018-10-27,102
2018-10-28,106
2018-10-29,40
2018-10-30,48
2018-10-31,67
2018-09-02,50
2018-09-03,36
2018-09-04,46
2018-09-05,53
2018-09-06,64
2018-09-07,77
2018-09-08,75
2018-09-09,72
2018-09-10,55
2018-09-11,46
2018-09-12,49
2018-09-13,29
2018-09-14,50
2018-09-15,60
2018-09-16,70
2018-09-17,81
2018-09-18,68
2018-09-19,51
2018-09-20,70
2018-09-21,96
2018-09-22,80
2018-09-23,86
2018-09-24,81
2018-09-25,22
2018-09-26,29
2018-09-27,50
2018-09-28,66
2018-09-29,74
2018-09-30,64
2018-08-01,84
2018-08-02,88
2018-08-03,79
2018-08-04,57
2018-08-05,70
2018-08-06,77
2018-08-07,83
2018-08-08,75
2018-08-09,63
2018-08-10,65
2018-08-11,64
2018-08-12,192
2018-08-13,36
2018-08-14,40
2018-08-15,66
2018-08-16,84
2018-08-17,86
2018-08-18,83
2018-08-19,66
2018-08-20,68
2018-08-21,98
2018-08-22,54
2018-08-23,46
2018-08-25,61
2018-08-27,59
2018-08-29,49
2018-08-31,38
2018-07-01,66
2018-07-02,64
2018-07-03,63
2018-07-04,55
2018-07-05,44
2018-07-06,58
2018-07-07,69
2018-07-08,85
2018-07-09,61
2018-07-10,53
2018-07-11,71
2018-07-12,66
2018-07-13,50
2018-07-14,65
2018-07-15,58
2018-07-16,68
2018-07-17,67
2018-07-18,52
2018-07-19,54
2018-07-20,65
2018-07-21,82
2018-07-22,99
2018-07-23,104
2018-07-24,72
2018-07-25,50
2018-07-26,53
2018-07-27,56
2018-07-28,68
2018-07-29,79
2018-07-30,63
2018-07-31,48
2018-06-01,67
2018-06-02,79
2018-06-03,146
2018-06-04,54
2018-06-05,63
2018-06-06,61
2018-06-07,71
2018-06-08,71
2018-06-09,63
2018-06-10,72
2018-06-11,75
2018-06-12,63
2018-06-13,47
2018-06-14,62
2018-06-15,62
2018-06-16,50
2018-06-17,57
2018-06-18,48
2018-06-19,43
2018-06-20,71
2018-06-21,53
2018-06-22,57
2018-06-23,62
2018-06-24,75
2018-06-25,62
2018-06-26,51
2018-06-27,71
2018-06-28,75
2018-06-29,62
2018-06-30,70
2018-05-01,80
2018-05-02,158
2018-05-03,66
2018-05-04,55
2018-05-05,68
2018-05-06,99
2018-05-07,70
2018-05-08,40
2018-05-09,75
2018-05-10,98
2018-05-11,70
2018-05-12,93
2018-05-13,63
2018-05-14,41
2018-05-15,41
2018-05-16,59
2018-05-17,72
2018-05-18,62
2018-05-19,55
2018-05-20,90
2018-05-21,53
2018-05-22,69
2018-05-23,81
2018-05-24,77
2018-05-25,43
2018-05-26,60
2018-05-27,90
2018-05-28,170
2018-05-29,99
2018-05-30,83
2018-05-31,179
2018-04-01,74
2018-04-02,40
2018-04-03,49
2018-04-04,47
2018-04-05,76
2018-04-05,76
2018-04-06,107
2018-04-07,114
2018-04-08,114
2018-04-09,37
2018-04-10,54
2018-04-11,43
2018-04-12,42
2018-04-13,55
2018-04-14,107
2018-04-15,136
2018-04-16,142
2018-04-17,67
2018-04-18,110
2018-04-19,37
2018-04-20,37
2018-04-21,58
2018-04-22,69
2018-04-23,87
2018-04-24,106
2018-04-25,115
2018-04-26,107
2018-04-27,42
2018-04-28,50
2018-04-29,61
2018-04-30,62
2018-03-01,180
2018-03-02,164
2018-03-03,51
2018-03-04,63
2018-03-05,64
2018-03-06,50
2018-03-07,74
2018-03-08,53
2018-03-09,79
2018-03-10,118
2018-03-11,319
2018-03-12,80
2018-03-13,35
2018-03-14,38
2018-03-15,33
2018-03-16,50
2018-03-17,61
2018-03-18,26
2018-03-19,41
2018-03-20,69
2018-03-21,81
2018-03-22,94
2018-03-23,84
2018-03-24,86
2018-03-25,207
2018-03-26,110
2018-03-27,64
2018-03-28,61
2018-03-29,61
2018-03-30,68
2018-03-31,106
2018-02-01,244
2018-02-02,251
2018-02-03,232
2018-02-04,168
2018-02-05,196
2018-02-06,272
2018-02-07,177
2018-02-08,73
2018-02-09,107
2018-02-10,175
2018-02-11,152
2018-02-12,155
2018-02-13,195
2018-02-14,268
2018-02-15,253
2018-02-16,91
2018-02-17,66
2018-02-18,111
2018-02-19,139
2018-02-20,115
2018-02-21,163
2018-02-22,105
2018-02-23,137
2018-02-24,177
2018-02-25,170
2018-02-26,183
2018-02-27,127
2018-02-28,111
2018-01-01,142
2018-01-02,147
2018-01-03,113
2018-01-04,64
2018-01-05,97
2018-01-06,134
2018-01-07,194
2018-01-08,229
2018-01-09,250
2018-01-10,292
2018-01-11,287
2018-01-12,161
2018-01-13,186
2018-01-14,188
2018-01-15,134
2018-01-16,151
2018-01-17,195
2018-01-18,244
2018-01-19,294
2018-01-20,258
2018-01-21,277
2018-01-22,228
2018-01-23,194
2018-01-24,105
2018-01-25,82
2018-01-26,120
2018-01-27,135
2018-01-28,153
2018-01-29,183
2018-01-30,181
2018-01-31,235
2017-12-01,127
2017-12-02,169
2017-12-03,141
2017-12-04,143
2017-12-05,133
2017-12-06,134
2017-12-07,122
2017-12-08,119
2017-12-09,123
2017-12-10,124
2017-12-11,106
2017-12-12,99
2017-12-13,105
2017-12-14,72
2017-12-15,91
2017-12-16,87
2017-12-17,140
2017-12-18,176
2017-12-19,227
2017-12-20,281
2017-12-21,245
2017-12-22,86
2017-12-23,92
2017-12-24,145
2017-12-25,142
2017-12-26,104
2017-12-27,105
2017-12-28,49
2017-12-29,45
2017-12-30,97
2017-12-31,116
2017-11-01,124
2017-11-02,163
2017-11-03,154
2017-11-04,116
2017-11-05,41
2017-11-06,77
2017-11-07,96
2017-11-08,40
2017-11-09,53
2017-11-10,67
2017-11-11,34
2017-11-12,58
2017-11-13,56
2017-11-14,90
2017-11-15,112
2017-11-16,124
2017-11-17,81
