date,score
2019-07-01,69
2019-07-02,78
2019-07-03,71
2019-07-04,59
2019-07-05,60
2019-07-06,70
2019-07-07,78
2019-07-12,43
2019-07-13,71
2019-07-14,72
2019-07-15,44
2019-06-01,56
2019-06-02,73
2019-06-03,67
2019-06-04,97
2019-06-05,38
2019-06-06,60
2019-06-07,76
2019-06-08,89
2019-06-09,89
2019-06-10,90
2019-06-11,61
2019-06-14,42
2019-06-15,39
2019-06-17,49
2019-06-18,63
2019-06-19,51
2019-06-20,25
2019-06-25,80
2019-06-26,75
2019-06-27,58
2019-06-28,37
2019-06-29,49
2019-06-30,62
2019-05-01,95
2019-05-02,67
2019-05-03,71
2019-05-04,73
2019-05-05,73
2019-05-06,59
2019-05-07,47
2019-05-08,51
2019-05-09,53
2019-05-10,53
2019-05-11,60
2019-05-12,306
2019-05-13,368
2019-05-14,197
2019-05-15,109
2019-05-16,88
2019-05-17,70
2019-05-18,86
2019-05-19,80
2019-05-20,70
2019-05-21,74
2019-05-22,77
2019-05-23,70
2019-05-24,80
2019-05-25,88
2019-05-26,91
2019-05-27,64
2019-05-28,32
2019-05-29,36
2019-05-30,47
2019-05-31,68
2019-04-01,97
2019-04-02,107
2019-04-03,80
2019-04-04,63
2019-04-05,71
2019-04-06,75
2019-04-07,112
2019-04-08,144
2019-04-09,61
2019-04-10,73
2019-04-11,73
2019-04-12,77
2019-04-13,60
2019-04-14,60
2019-04-15,72
2019-04-16,75
2019-04-17,105
2019-04-18,102
2019-04-19,117
2019-04-20,56
2019-04-21,54
2019-04-22,60
2019-04-23,68
2019-04-24,98
2019-04-25,147
2019-04-26,73
2019-04-27,54
2019-04-28,70
2019-04-29,42
2019-04-30,73
2019-03-01,92
2019-03-02,54
2019-03-03,60
2019-03-04,88
2019-03-05,89
2019-03-06,94
2019-03-07,90
2019-03-08,70
2019-03-09,94
2019-03-10,77
2019-03-11,63
2019-03-12,64
2019-03-13,68
2019-03-14,58
2019-03-15,66
2019-03-16,81
2019-03-17,89
2019-03-18,65
2019-03-19,76
2019-03-20,137
2019-03-21,116
2019-03-22,80
2019-03-23,81
2019-03-24,85
2019-03-25,88
2019-03-26,106
2019-03-27,96
2019-03-28,103
2019-03-29,104
2019-03-30,73
2019-03-31,77
2019-02-01,77
2019-02-02,135
2019-02-03,91
2019-02-04,88
2019-02-05,266
2019-02-06,215
2019-02-07,152
2019-02-08,107
2019-02-09,134
2019-02-10,126
2019-02-11,212
2019-02-12,236
2019-02-13,161
2019-02-14,118
2019-02-15,133
2019-02-16,97
2019-02-17,176
2019-02-18,201
2019-02-19,188
2019-02-20,214
2019-02-21,172
2019-02-22,135
2019-02-23,146
2019-02-24,193
2019-02-25,162
2019-02-26,84
2019-02-27,96
2019-02-28,111
2019-01-01,209
2019-01-02,272
2019-01-03,337
2019-01-04,299
2019-01-05,260
2019-01-06,343
2019-01-07,239
2019-01-08,126
2019-01-09,187
2019-01-10,195
2019-01-11,231
2019-01-12,262
2019-01-13,286
2019-01-14,279
2019-01-15,82
2019-01-16,65
2019-01-17,99
2019-01-18,146
2019-01-19,114
2019-01-20,84
2019-01-21,64
2019-01-22,92
2019-01-23,123
2019-01-24,203
2019-01-25,114
2019-01-26,137
2019-01-27,182
2019-01-28,158
2019-01-29,147
2019-01-30,131
2019-01-31,64
2018-12-01,248
2018-12-02,300
2018-12-03,400
2018-12-04,225
2018-12-05,141
2018-12-06,115
2018-12-07,60
2018-12-08,56
2018-12-09,79
2018-12-10,153
2018-12-11,105
2018-12-12,89
2018-12-13,127
2018-12-14,161
2018-12-15,133
2018-12-16,84
2018-12-17,101
2018-12-18,157
2018-12-19,215
2018-12-20,228
2018-12-21,142
2018-12-28,68
2018-12-29,60
2018-12-30,100
2018-12-31,135
2018-11-01,123
2018-11-02,92
2018-11-03,95
2018-11-04,65
2018-11-05,46
2018-11-06,29
2018-11-07,40
2018-11-08,59
2018-11-09,95
2018-11-10,128
2018-11-11,105
2018-11-12,128
2018-11-13,171
2018-11-14,187
2018-11-15,97
2018-11-16,49
2018-11-17,41
2018-11-18,59
2018-11-19,83
2018-11-20,109
2018-11-21,71
2018-11-22,84
2018-11-23,120
2018-11-24,182
2018-11-25,175
2018-11-26,327
2018-11-27,408
2018-11-28,183
2018-11-29,194
2018-11-30,247
2018-10-01,46
2018-10-02,56
2018-10-03,60
2018-10-04,67
2018-10-05,79
2018-10-06,72
2018-10-07,72
2018-10-08,87
2018-10-09,57
2018-10-10,60
2018-10-11,75
2018-10-12,96
2018-10-13,78
2018-10-14,93
2018-10-15,85
2018-10-16,92
2018-10-17,102
2018-10-18,66
2018-10-19,52
2018-10-20,46
2018-10-21,66
2018-10-22,64
2018-10-23,88
2018-10-24,102
2018-10-25,78
2018-10-26,74
2018-10-27,78
2018-10-28,71
2018-10-29,65
2018-10-30,70
2018-10-31,80
2018-09-02,31
2018-09-03,53
2018-09-04,67
2018-09-05,39
2018-09-06,50
2018-09-07,49
2018-09-08,51
2018-09-09,64
2018-09-10,58
2018-09-11,62
2018-09-12,63
2018-09-13,58
2018-09-14,62
2018-09-15,36
2018-09-16,21
2018-09-17,35
2018-09-18,40
2018-09-19,26
2018-09-20,33
2018-09-21,50
2018-09-22,63
2018-09-23,70
2018-09-24,71
2018-09-25,40
2018-09-26,42
2018-09-27,52
2018-09-28,54
2018-09-29,65
2018-09-30,56
2018-08-01,51
2018-08-02,42
2018-08-03,70
2018-08-04,97
2018-08-05,96
2018-08-06,107
2018-08-07,92
2018-08-08,91
2018-08-09,73
2018-08-10,60
2018-08-11,65
2018-08-12,78
2018-08-13,78
2018-08-14,90
2018-08-15,83
2018-08-16,70
2018-08-17,53
2018-08-18,72
2018-08-19,70
2018-08-20,94
2018-08-21,66
2018-08-22,37
2018-08-23,54
2018-08-25,85
2018-08-27,91
2018-08-29,110
2018-08-31,84
2018-07-01,70
2018-07-02,69
2018-07-03,47
2018-07-04,35
2018-07-05,60
2018-07-06,83
2018-07-07,96
2018-07-08,54
2018-07-09,37
2018-07-10,35
2018-07-11,32
2018-07-12,51
2018-07-13,73
2018-07-14,65
2018-07-15,57
2018-07-16,61
2018-07-17,60
2018-07-18,48
2018-07-19,48
2018-07-20,53
2018-07-21,71
2018-07-22,69
2018-07-23,74
2018-07-24,71
2018-07-25,87
2018-07-26,63
2018-07-27,49
2018-07-28,55
2018-07-29,67
2018-07-30,68
2018-07-31,54
2018-06-01,86
2018-06-02,93
2018-06-03,89
2018-06-04,68
2018-06-05,83
2018-06-06,102
2018-06-07,91
2018-06-08,44
2018-06-09,51
2018-06-10,73
2018-06-11,87
2018-06-12,87
2018-06-13,86
2018-06-14,103
2018-06-15,80
2018-06-16,62
2018-06-17,86
2018-06-18,58
2018-06-19,66
2018-06-20,88
2018-06-21,65
2018-06-22,84
2018-06-23,94
2018-06-24,81
2018-06-25,61
2018-06-26,41
2018-06-27,53
2018-06-28,68
2018-06-29,96
2018-06-30,83
2018-05-01,94
2018-05-02,84
2018-05-03,91
2018-05-04,80
2018-05-05,87
2018-05-06,51
2018-05-07,59
2018-05-08,81
2018-05-09,84
2018-05-10,72
2018-05-11,55
2018-05-12,70
2018-05-13,88
2018-05-14,90
2018-05-15,87
2018-05-16,101
2018-05-17,106
2018-05-18,92
2018-05-19,62
2018-05-20,48
2018-05-21,64
2018-05-22,118
2018-05-23,86
2018-05-24,99
2018-05-25,90
2018-05-26,162
2018-05-27,122
2018-05-28,94
2018-05-29,82
2018-05-30,81
2018-05-31,85
2018-04-01,123
2018-04-02,128
2018-04-03,138
2018-04-04,244
2018-04-05,88
2018-04-05,88
2018-04-06,134
2018-04-07,85
2018-04-08,88
2018-04-09,109
2018-04-10,235
2018-04-11,218
2018-04-12,93
2018-04-13,43
2018-04-14,84
2018-04-15,93
2018-04-16,94
2018-04-17,105
2018-04-18,111
2018-04-19,96
2018-04-20,82
2018-04-21,75
