date,score
2019-07-01,52
2019-07-02,59
2019-07-03,41
2019-07-04,56
2019-07-05,55
2019-07-06,69
2019-07-07,58
2019-07-12,42
2019-07-13,49
2019-07-14,34
2019-07-15,42
2019-06-01,63
2019-06-02,60
2019-06-03,57
2019-06-04,45
2019-06-05,43
2019-06-06,56
2019-06-07,58
2019-06-08,48
2019-06-09,53
2019-06-10,49
2019-06-11,55
2019-06-14,47
2019-06-15,34
2019-06-17,39
2019-06-18,37
2019-06-19,38
2019-06-20,43
2019-06-25,40
2019-06-26,38
2019-06-27,34
2019-06-28,44
2019-06-29,31
2019-06-30,40
2019-05-01,57
2019-05-02,64
2019-05-03,50
2019-05-04,54
2019-05-05,46
2019-05-06,37
2019-05-07,45
2019-05-08,44
2019-05-09,46
2019-05-10,51
2019-05-11,56
2019-05-12,316
2019-05-13,371
2019-05-14,86
2019-05-15,55
2019-05-16,70
2019-05-17,72
2019-05-18,67
2019-05-19,120
2019-05-20,75
2019-05-21,62
2019-05-22,58
2019-05-23,61
2019-05-24,67
2019-05-25,59
2019-05-26,65
2019-05-27,45
2019-05-28,64
2019-05-29,58
2019-05-30,58
2019-05-31,43
2019-04-01,82
2019-04-02,75
2019-04-03,72
2019-04-04,65
2019-04-05,71
2019-04-06,76
2019-04-07,111
2019-04-08,88
2019-04-09,67
2019-04-10,55
2019-04-11,59
2019-04-12,54
2019-04-13,41
2019-04-14,46
2019-04-15,70
2019-04-16,60
2019-04-17,71
2019-04-18,77
2019-04-19,102
2019-04-20,76
2019-04-21,59
2019-04-22,54
2019-04-23,69
2019-04-24,67
2019-04-25,77
2019-04-26,72
2019-04-27,73
2019-04-28,54
2019-04-29,47
2019-04-30,46
2019-03-01,63
2019-03-02,57
2019-03-03,55
2019-03-04,64
2019-03-05,56
2019-03-06,62
2019-03-07,66
2019-03-08,57
2019-03-09,49
2019-03-10,52
2019-03-11,53
2019-03-12,62
2019-03-13,52
2019-03-14,57
2019-03-15,53
2019-03-16,79
2019-03-17,69
2019-03-18,73
2019-03-19,69
2019-03-20,92
2019-03-21,88
2019-03-22,67
2019-03-23,67
2019-03-24,84
2019-03-25,80
2019-03-26,88
2019-03-27,108
2019-03-28,103
2019-03-29,92
2019-03-30,96
2019-03-31,78
2019-02-01,77
2019-02-02,77
2019-02-03,57
2019-02-04,62
2019-02-05,82
2019-02-06,50
2019-02-07,57
2019-02-08,75
2019-02-09,68
2019-02-10,73
2019-02-11,78
2019-02-12,68
2019-02-13,65
2019-02-14,97
2019-02-15,98
2019-02-16,80
2019-02-17,55
2019-02-18,61
2019-02-19,72
2019-02-20,93
2019-02-21,72
2019-02-22,75
2019-02-23,63
2019-02-24,51
2019-02-25,56
2019-02-26,57
2019-02-27,58
2019-02-28,65
2019-01-01,128
2019-01-02,127
2019-01-03,79
2019-01-04,66
2019-01-05,88
2019-01-06,74
2019-01-07,63
2019-01-08,72
2019-01-09,117
2019-01-10,113
2019-01-11,127
2019-01-12,87
2019-01-13,101
2019-01-14,90
2019-01-15,51
2019-01-16,62
2019-01-17,69
2019-01-18,53
2019-01-19,69
2019-01-20,55
2019-01-21,77
2019-01-22,64
2019-01-23,74
2019-01-24,86
2019-01-25,84
2019-01-26,86
2019-01-27,56
2019-01-28,79
2019-01-29,60
2019-01-30,54
2019-01-31,65
2018-12-01,87
2018-12-02,187
2018-12-03,348
2018-12-04,117
2018-12-05,99
2018-12-06,69
2018-12-07,80
2018-12-08,94
2018-12-09,108
2018-12-10,101
2018-12-11,92
2018-12-12,119
2018-12-13,93
2018-12-14,109
2018-12-15,107
2018-12-16,82
2018-12-17,73
2018-12-18,79
2018-12-19,86
2018-12-20,86
2018-12-21,78
2018-12-28,66
2018-12-29,88
2018-12-30,101
2018-12-31,118
2018-11-01,64
2018-11-02,73
2018-11-03,49
2018-11-04,28
2018-11-05,31
2018-11-06,34
2018-11-07,48
2018-11-08,73
2018-11-09,78
2018-11-10,62
2018-11-11,82
2018-11-12,71
2018-11-13,75
2018-11-14,63
2018-11-15,49
2018-11-16,41
2018-11-17,49
2018-11-18,53
2018-11-19,70
2018-11-20,87
2018-11-21,63
2018-11-22,70
2018-11-23,77
2018-11-24,75
2018-11-25,73
2018-11-26,356
2018-11-27,392
2018-11-28,71
2018-11-29,80
2018-11-30,91
2018-10-01,44
2018-10-02,40
2018-10-03,51
2018-10-04,52
2018-10-05,58
2018-10-06,54
2018-10-07,52
2018-10-08,36
2018-10-09,49
2018-10-10,59
2018-10-11,49
2018-10-12,60
2018-10-13,48
2018-10-14,51
2018-10-15,54
2018-10-16,51
2018-10-17,60
2018-10-18,54
2018-10-19,27
2018-10-20,27
2018-10-21,41
2018-10-22,116
2018-10-23,90
2018-10-24,86
2018-10-25,52
2018-10-26,68
2018-10-27,70
2018-10-28,63
2018-10-29,48
2018-10-30,63
2018-10-31,62
2018-09-02,36
2018-09-03,50
2018-09-04,40
2018-09-05,34
2018-09-06,48
2018-09-07,47
2018-09-08,53
2018-09-09,39
2018-09-10,48
2018-09-11,53
2018-09-12,51
2018-09-13,37
2018-09-14,42
2018-09-15,31
