date,score
2019-07-01,58
2019-07-02,56
2019-07-03,70
2019-07-04,58
2019-07-05,64
2019-07-06,48
2019-07-07,62
2019-07-12,50
2019-07-13,66
2019-07-14,56
2019-07-15,49
2019-06-01,58
2019-06-02,61
2019-06-03,58
2019-06-04,61
2019-06-05,56
2019-06-06,70
2019-06-07,61
2019-06-08,56
2019-06-09,60
2019-06-10,63
2019-06-11,57
2019-06-14,75
2019-06-15,36
2019-06-17,50
2019-06-18,45
2019-06-19,38
2019-06-20,38
2019-06-25,48
2019-06-26,42
2019-06-27,38
2019-06-28,41
2019-06-29,57
2019-06-30,51
2019-05-01,67
2019-05-02,74
2019-05-03,63
2019-05-04,59
2019-05-05,138
2019-05-06,55
2019-05-07,49
2019-05-08,46
2019-05-09,50
2019-05-10,55
2019-05-11,75
2019-05-12,189
2019-05-13,77
2019-05-14,89
2019-05-15,123
2019-05-16,159
2019-05-17,69
2019-05-18,123
2019-05-19,69
2019-05-20,59
2019-05-21,64
2019-05-22,59
2019-05-23,63
2019-05-24,68
2019-05-25,83
2019-05-26,83
2019-05-27,46
2019-05-28,58
2019-05-29,55
2019-05-30,59
2019-05-31,52
2019-04-01,63
2019-04-02,56
2019-04-03,59
2019-04-04,70
2019-04-05,66
2019-04-06,85
2019-04-07,67
2019-04-08,66
2019-04-09,42
2019-04-10,46
2019-04-11,44
2019-04-12,52
2019-04-13,49
2019-04-14,51
2019-04-15,70
2019-04-16,74
2019-04-17,59
2019-04-18,84
2019-04-19,116
2019-04-20,68
2019-04-21,82
2019-04-22,71
2019-04-23,68
2019-04-24,192
2019-04-25,93
2019-04-26,73
2019-04-27,55
2019-04-28,57
2019-04-29,67
2019-04-30,68
2019-03-01,74
2019-03-02,84
2019-03-03,81
2019-03-04,85
2019-03-05,56
2019-03-06,52
2019-03-07,62
2019-03-08,80
2019-03-09,77
2019-03-10,58
2019-03-11,50
2019-03-12,45
2019-03-13,53
2019-03-14,49
2019-03-15,51
2019-03-16,58
2019-03-17,69
2019-03-18,60
