date,score
2019-07-01,98
2019-07-02,104
2019-07-03,124
2019-07-04,81
2019-07-05,86
2019-07-06,68
2019-07-07,57
2019-07-12,62
2019-07-13,87
2019-07-14,77
2019-07-15,75
2019-06-01,88
2019-06-02,92
2019-06-03,81
2019-06-04,94
2019-06-05,108
2019-06-06,69
2019-06-07,96
2019-06-08,102
2019-06-09,92
2019-06-10,80
2019-06-11,70
2019-06-14,85
2019-06-15,70
2019-06-17,76
2019-06-18,89
2019-06-19,59
2019-06-20,32
2019-06-25,90
2019-06-26,95
2019-06-27,91
2019-06-28,53
2019-06-29,53
2019-06-30,70
2019-05-01,102
2019-05-02,79
2019-05-03,89
2019-05-04,79
2019-05-05,149
2019-05-06,67
2019-05-07,85
2019-05-08,71
2019-05-09,71
2019-05-10,82
2019-05-11,70
2019-05-12,135
2019-05-13,131
2019-05-14,140
2019-05-15,119
2019-05-16,103
2019-05-17,100
2019-05-18,61
2019-05-19,114
2019-05-20,76
2019-05-21,80
2019-05-22,85
2019-05-23,94
2019-05-24,91
2019-05-25,97
2019-05-26,97
2019-05-27,87
2019-05-28,57
2019-05-29,70
2019-05-30,70
2019-05-31,75
2019-04-01,89
2019-04-02,129
2019-04-03,129
2019-04-04,122
2019-04-05,99
2019-04-06,137
2019-04-07,128
2019-04-08,154
2019-04-09,51
2019-04-10,75
2019-04-11,131
2019-04-12,99
2019-04-13,91
2019-04-14,61
2019-04-15,72
2019-04-16,65
2019-04-17,87
2019-04-18,144
2019-04-19,76
2019-04-20,78
2019-04-21,77
2019-04-22,70
2019-04-23,67
2019-04-24,74
2019-04-25,52
2019-04-26,61
2019-04-27,64
2019-04-28,78
2019-04-29,89
2019-04-30,131
2019-03-01,91
2019-03-02,129
2019-03-03,131
2019-03-04,114
2019-03-05,140
2019-03-06,122
2019-03-07,68
2019-03-08,69
2019-03-09,119
2019-03-10,143
2019-03-11,68
2019-03-12,70
2019-03-13,94
2019-03-14,75
2019-03-15,61
2019-03-16,72
2019-03-17,96
2019-03-18,73
2019-03-19,73
2019-03-20,88
2019-03-21,95
2019-03-22,73
2019-03-23,83
2019-03-24,92
2019-03-25,83
2019-03-26,106
2019-03-27,95
2019-03-28,102
2019-03-29,89
2019-03-30,90
2019-03-31,78
2019-02-01,76
2019-02-02,136
2019-02-03,136
2019-02-04,82
2019-02-05,159
2019-02-06,303
2019-02-07,87
2019-02-08,58
2019-02-09,66
2019-02-10,62
2019-02-11,118
2019-02-12,138
2019-02-13,167
2019-02-14,122
2019-02-15,167
2019-02-16,146
2019-02-17,152
2019-02-18,75
2019-02-19,149
2019-02-20,238
2019-02-21,254
2019-02-22,251
2019-02-23,248
2019-02-24,225
2019-02-25,252
2019-02-26,310
2019-02-27,172
2019-02-28,113
2019-01-01,151
2019-01-02,197
2019-01-03,199
2019-01-04,324
2019-01-05,151
2019-01-06,116
2019-01-07,211
2019-01-08,184
2019-01-09,64
2019-01-10,156
2019-01-11,234
2019-01-12,249
2019-01-13,235
2019-01-14,282
2019-01-15,174
2019-01-16,94
2019-01-17,73
2019-01-18,127
2019-01-19,204
2019-01-20,130
2019-01-21,76
